sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
511,3,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_warmup_same,0.0,0.015,Stay after warmup because the current strategy is already the recent leader.
639,4,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
767,5,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
895,6,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
1023,7,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
1151,8,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
1279,9,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
1407,10,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
1535,11,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
1663,12,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
1791,13,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
1919,14,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
2047,15,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
2175,16,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
2303,17,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
2431,18,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
2559,19,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
2687,20,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
2815,21,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
2943,22,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3071,23,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3199,24,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3327,25,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3455,26,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3583,27,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3711,28,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3839,29,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
3967,30,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
4095,31,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
4223,32,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
4351,33,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_incumbent_floor,0.0234375,0.015,Stay because the candidate fails the incumbent floor check: 0.947381 + 0.002000 < 0.951057.
4479,34,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_incumbent_floor,0.0234375,0.015,Stay because the candidate fails the incumbent floor check: 0.947545 + 0.002000 < 0.950670.
4607,35,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
4735,36,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
4863,37,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
4991,38,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
5119,39,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
5247,40,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
5375,41,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
5503,42,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
5631,43,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
5759,44,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
5887,45,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
6015,46,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
6143,47,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
6271,48,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
6399,49,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
6527,50,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
6655,51,sgd_lr_1_0,sgd_lr_0_1,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
6783,52,sgd_lr_1_0,sgd_lr_0_1,stay,False,recent_leader_margin_too_small,0.01171875,0.015,Stay because the recent leader advantage is below the switching margin: 0.011719 < 0.015000.
6911,53,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
7039,54,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
7167,55,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
7295,56,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
7423,57,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
7551,58,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
7679,59,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
7807,60,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
7935,61,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
8063,62,sgd_lr_1_0,sgd_lr_1_0,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
8191,63,sgd_lr_1_0,sgd_lr_0_5,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
8319,64,sgd_lr_1_0,sgd_lr_0_5,switch,True,recent_leader_advantage,0.015625,0.015,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.957031 - 0.941406 = 0.015625.
8447,65,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_cooldown,0.0,0.015,Stay because the controller is within the post-switch cooldown window: 4 block(s) remaining.
8575,66,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_cooldown,0.0,0.015,Stay because the controller is within the post-switch cooldown window: 3 block(s) remaining.
8703,67,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_cooldown,0.0,0.015,Stay because the controller is within the post-switch cooldown window: 2 block(s) remaining.
8831,68,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_cooldown,0.0,0.015,Stay because the controller is within the post-switch cooldown window: 1 block(s) remaining.
8959,69,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
9087,70,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
9215,71,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0,0.015,Stay because the recent leader advantage is below the switching margin: 0.000000 < 0.015000.
9343,72,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
9471,73,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
9599,74,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
9727,75,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
9855,76,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0,0.015,Stay because the recent leader advantage is below the switching margin: 0.000000 < 0.015000.
9983,77,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0,0.015,Stay because the recent leader advantage is below the switching margin: 0.000000 < 0.015000.
10111,78,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0,0.015,Stay because the recent leader advantage is below the switching margin: 0.000000 < 0.015000.
10239,79,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0,0.015,Stay because the recent leader advantage is below the switching margin: 0.000000 < 0.015000.
10367,80,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0,0.015,Stay because the recent leader advantage is below the switching margin: 0.000000 < 0.015000.
10495,81,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
10623,82,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0,0.015,Stay because the recent leader advantage is below the switching margin: 0.000000 < 0.015000.
10751,83,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
10879,84,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.01171875,0.015,Stay because the recent leader advantage is below the switching margin: 0.011719 < 0.015000.
11007,85,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
11135,86,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
11263,87,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.00390625,0.015,Stay because the recent leader advantage is below the switching margin: 0.003906 < 0.015000.
11391,88,sgd_lr_0_5,sgd_lr_1_0,stay,False,recent_leader_margin_too_small,0.0078125,0.015,Stay because the recent leader advantage is below the switching margin: 0.007812 < 0.015000.
11519,89,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
11647,90,sgd_lr_0_5,sgd_lr_0_1,stay,False,recent_leader_incumbent_floor,0.0234375,0.015,Stay because the candidate fails the incumbent floor check: 0.911745 + 0.002000 < 0.942995.
11775,91,sgd_lr_0_5,sgd_lr_0_1,stay,False,recent_leader_incumbent_floor,0.05078125,0.015,Stay because the candidate fails the incumbent floor check: 0.912279 + 0.002000 < 0.942510.
11903,92,sgd_lr_0_5,sgd_lr_0_1,stay,False,recent_leader_incumbent_floor,0.02734375,0.015,Stay because the candidate fails the incumbent floor check: 0.912298 + 0.002000 < 0.942288.
12031,93,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
12159,94,sgd_lr_0_5,sgd_lr_0_1,stay,False,recent_leader_incumbent_floor,0.03515625,0.015,Stay because the candidate fails the incumbent floor check: 0.912089 + 0.002000 < 0.940707.
12287,95,sgd_lr_0_5,sgd_lr_0_1,stay,False,recent_leader_incumbent_floor,0.0390625,0.015,Stay because the candidate fails the incumbent floor check: 0.912598 + 0.002000 < 0.940837.
12415,96,sgd_lr_0_5,sgd_lr_0_1,stay,False,recent_leader_incumbent_floor,0.02734375,0.015,Stay because the candidate fails the incumbent floor check: 0.912532 + 0.002000 < 0.939997.
12543,97,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
12671,98,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
12799,99,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
12927,100,sgd_lr_0_5,sgd_lr_0_5,stay,False,recent_leader_same,0.0,0.015,Stay because the current strategy remains the recent block leader.
