sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
383,1,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.0013635339930913037,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0014, threshold=0.0100."
511,2,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0014124002167944516,0.01,"Stay because utility uncertainty is too high: current_std=0.0129, candidate_std=0.0133, threshold=0.0100."
639,3,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0005239595338055736,0.01,"Stay because utility uncertainty is too high: current_std=0.0140, candidate_std=0.0125, threshold=0.0100."
767,4,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0019311026113568719,0.01,"Stay because utility uncertainty is too high: current_std=0.0106, candidate_std=0.0106, threshold=0.0100."
895,5,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0001080548050808039,0.01,"Stay because utility uncertainty is too high: current_std=0.0234, candidate_std=0.0251, threshold=0.0100."
1023,6,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.0006232561347920829,0.01,"Stay because utility uncertainty is too high: current_std=0.0172, candidate_std=0.0162, threshold=0.0100."
1151,7,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0010401623162819007,0.01,"Stay because utility uncertainty is too high: current_std=0.0300, candidate_std=0.0306, threshold=0.0100."
1279,8,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0004889449305756077,0.01,"Stay because utility uncertainty is too high: current_std=0.0124, candidate_std=0.0113, threshold=0.0100."
1407,9,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,-6.763836097345433e-05,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0001, threshold=0.0100."
1535,10,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.001578079807064925,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0016, threshold=0.0100."
1663,11,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0018895133829082145,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0019, threshold=0.0100."
1791,12,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.001721339366214547,0.01,"Stay because utility uncertainty is too high: current_std=0.0369, candidate_std=0.0363, threshold=0.0100."
1919,13,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-7.946805175895744e-05,0.01,"Stay because utility uncertainty is too high: current_std=0.0207, candidate_std=0.0231, threshold=0.0100."
2047,14,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.003547539908899333,0.01,"Stay because utility uncertainty is too high: current_std=0.0618, candidate_std=0.0607, threshold=0.0100."
2175,15,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.0010633372320827394,0.01,"Stay because utility uncertainty is too high: current_std=0.0442, candidate_std=0.0478, threshold=0.0100."
2303,16,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.002019440079600754,0.01,"Stay because utility uncertainty is too high: current_std=0.0184, candidate_std=0.0179, threshold=0.0100."
2431,17,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0020146553661307687,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0020, threshold=0.0100."
2559,18,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0020732124859045298,0.01,"Stay because utility uncertainty is too high: current_std=0.0699, candidate_std=0.0704, threshold=0.0100."
2687,19,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0019585442300870115,0.01,"Stay because utility uncertainty is too high: current_std=0.0868, candidate_std=0.0810, threshold=0.0100."
2815,20,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.0056633311234493,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0057, threshold=0.0100."
2943,21,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.004951887852578718,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0050, threshold=0.0100."
3071,22,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.008009458671741188,0.01,"Stay because utility uncertainty is too high: current_std=0.0207, candidate_std=0.0190, threshold=0.0100."
3199,23,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.00764712823450675,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0076, threshold=0.0100."
3327,24,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0041770286144728885,0.01,"Stay because utility uncertainty is too high: current_std=0.0115, candidate_std=0.0101, threshold=0.0100."
3455,25,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.004934676957180639,0.01,"Stay because utility uncertainty is too high: current_std=0.0580, candidate_std=0.0643, threshold=0.0100."
3583,26,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.01070920120506158,0.01,"Stay because utility uncertainty is too high: current_std=0.0196, candidate_std=0.0192, threshold=0.0100."
3711,27,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.006794851889555198,0.01,"Stay because utility uncertainty is too high: current_std=0.0238, candidate_std=0.0273, threshold=0.0100."
3839,28,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.005384052106043091,0.01,"Stay because utility uncertainty is too high: current_std=0.0561, candidate_std=0.0582, threshold=0.0100."
3967,29,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0060526032604044655,0.01,"Stay because utility uncertainty is too high: current_std=0.0373, candidate_std=0.0359, threshold=0.0100."
4095,30,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00247654580753931,0.01,"Stay because utility uncertainty is too high: current_std=0.0137, candidate_std=0.0159, threshold=0.0100."
4223,31,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0004344402968412542,0.01,"Stay because utility uncertainty is too high: current_std=0.0099, candidate_std=0.0101, threshold=0.0100."
4351,32,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0012161284612900447,0.01,"Stay because utility uncertainty is too high: current_std=0.0143, candidate_std=0.0150, threshold=0.0100."
4479,33,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0019310382716322128,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0019, threshold=0.0100."
4607,34,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0017150763639759425,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0017, threshold=0.0100."
4735,35,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0007342021477472205,0.01,"Stay because utility uncertainty is too high: current_std=0.0101, candidate_std=0.0108, threshold=0.0100."
4863,36,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0017237256133634249,0.01,"Stay because utility uncertainty is too high: current_std=0.0224, candidate_std=0.0200, threshold=0.0100."
4991,37,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.004701627799741925,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0047, threshold=0.0100."
