sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_0_0005,sgd_lr_0_001,stay,False,hedge_margin_too_small,0.0015188965569621349,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0015, threshold=0.0100."
255,1,sgd_lr_0_0005,sgd_lr_0_0001,switch,True,warmup_leader,,0.01,Switch after warmup because cumulative reward leader differs from the starting strategy: sgd_lr_0_0001.
255,1,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
383,2,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
511,3,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
639,4,sgd_lr_0_0001,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.055072657595251984,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.3553 - 0.3002 = 0.0551 >= 0.0100.
767,5,sgd_lr_0_001,sgd_lr_0_0005,stay,False,hedge_margin_too_small,0.00727074320553911,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0073, threshold=0.0100."
895,6,sgd_lr_0_001,sgd_lr_0_0005,switch,True,hedge_weight_advantage,0.05847532805427519,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.3946 - 0.3361 = 0.0585 >= 0.0100.
1023,7,sgd_lr_0_0005,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.010627766038606712,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.3957 - 0.3851 = 0.0106 >= 0.0100.
1151,8,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1279,9,sgd_lr_0_001,sgd_lr_0_0005,switch,True,hedge_weight_advantage,0.020614208791936484,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4039 - 0.3833 = 0.0206 >= 0.0100.
1407,10,sgd_lr_0_0005,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.0392512554980714,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4292 - 0.3900 = 0.0393 >= 0.0100.
1535,11,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1663,12,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1791,13,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1919,14,sgd_lr_0_001,sgd_lr_0_0005,switch,True,hedge_weight_advantage,0.022902345119030443,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4941 - 0.4712 = 0.0229 >= 0.0100.
2047,15,sgd_lr_0_0005,sgd_lr_0_0005,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
2175,16,sgd_lr_0_0005,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.12184158366457215,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.5592 - 0.4373 = 0.1218 >= 0.0100.
2303,17,sgd_lr_0_001,sgd_lr_0_0001,stay,False,hedge_margin_too_small,nan,0.01,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0100."
2431,18,sgd_lr_0_001,sgd_lr_0_0001,stay,False,hedge_margin_too_small,nan,0.01,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0100."
2559,19,sgd_lr_0_001,sgd_lr_0_0001,stay,False,hedge_margin_too_small,nan,0.01,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0100."
2687,20,sgd_lr_0_001,sgd_lr_0_0001,stay,False,hedge_margin_too_small,nan,0.01,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0100."
2815,21,sgd_lr_0_001,sgd_lr_0_0001,stay,False,hedge_margin_too_small,nan,0.01,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0100."
2943,22,sgd_lr_0_001,sgd_lr_0_0001,stay,False,hedge_margin_too_small,nan,0.01,"Stay because candidate Hedge weight advantage is too small: margin=nan, threshold=0.0100."
