sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
255,1,sgd_lr_0_0005,sgd_lr_0_0001,switch,True,recent_leader_warmup,,0.0005,Switch after warmup because the recent block leader outperformed the initial incumbent: sgd_lr_0_0001.
383,2,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
511,3,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
639,4,sgd_lr_0_0001,sgd_lr_0_001,switch,True,recent_leader_advantage,0.01099279580214585,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.731741 - 0.720749 = 0.010993.
767,5,sgd_lr_0_001,sgd_lr_0_0005,switch,True,recent_leader_advantage,0.0008816527105630634,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.725525 - 0.724643 = 0.000882.
895,6,sgd_lr_0_0005,sgd_lr_0_0005,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
1023,7,sgd_lr_0_0005,sgd_lr_0_001,switch,True,recent_leader_advantage,0.0032570310468368335,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.659928 - 0.656671 = 0.003257.
1151,8,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
1279,9,sgd_lr_0_001,sgd_lr_0_0001,switch,True,recent_leader_advantage,0.0024268609805173647,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.707398 - 0.704971 = 0.002427.
1407,10,sgd_lr_0_0001,sgd_lr_0_001,switch,True,recent_leader_advantage,0.004794743075446584,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.722145 - 0.717351 = 0.004795.
1535,11,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
1663,12,sgd_lr_0_001,sgd_lr_0_0005,stay,False,recent_leader_margin_too_small,0.0002692969125546174,0.0005,Stay because the recent leader advantage is below the switching margin: 0.000269 < 0.000500.
1791,13,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
1919,14,sgd_lr_0_001,sgd_lr_0_0005,switch,True,recent_leader_advantage,0.009643442462928142,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.637792 - 0.628148 = 0.009643.
2047,15,sgd_lr_0_0005,sgd_lr_0_001,stay,False,recent_leader_margin_too_small,0.0002992917060361533,0.0005,Stay because the recent leader advantage is below the switching margin: 0.000299 < 0.000500.
2175,16,sgd_lr_0_0005,sgd_lr_0_001,switch,True,recent_leader_advantage,0.004791510122525433,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.819351 - 0.814560 = 0.004792.
2303,17,sgd_lr_0_001,sgd_lr_0_0001,stay,False,recent_leader_incumbent_floor,0.0023260552600283813,0.0005,Stay because the candidate fails the incumbent floor check: 0.718016 + 0.002000 < 0.722775.
2431,18,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
2559,19,sgd_lr_0_001,sgd_lr_0_0001,stay,False,recent_leader_incumbent_floor,0.009572973848000599,0.0005,Stay because the candidate fails the incumbent floor check: 0.714490 + 0.002000 < 0.719314.
2687,20,sgd_lr_0_001,sgd_lr_0_0001,stay,False,recent_leader_incumbent_floor,0.01346153832743685,0.0005,Stay because the candidate fails the incumbent floor check: 0.701485 + 0.002000 < 0.705438.
2815,21,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
2943,22,sgd_lr_0_001,sgd_lr_0_0001,stay,False,recent_leader_incumbent_floor,0.025489452508951627,0.0005,Stay because the candidate fails the incumbent floor check: 0.686480 + 0.002000 < 0.689111.
3071,23,sgd_lr_0_001,sgd_lr_0_0001,stay,False,recent_leader_incumbent_floor,0.012502039875878113,0.0005,Stay because the candidate fails the incumbent floor check: 0.678797 + 0.002000 < 0.680798.
3199,24,sgd_lr_0_001,sgd_lr_0_0001,switch,True,recent_leader_advantage,0.01095904461676006,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.510317 - 0.499358 = 0.010959.
3327,25,sgd_lr_0_0001,sgd_lr_0_001,switch,True,recent_leader_advantage,0.002827304672570974,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.545212 - 0.542384 = 0.002827.
3455,26,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
3583,27,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
3711,28,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
3839,29,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
3967,30,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
4095,31,sgd_lr_0_001,sgd_lr_0_0005,stay,False,recent_leader_margin_too_small,0.0002831017162098215,0.0005,Stay because the recent leader advantage is below the switching margin: 0.000283 < 0.000500.
4223,32,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
4351,33,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
4479,34,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
4607,35,sgd_lr_0_001,sgd_lr_0_001,stay,False,recent_leader_same,0.0,0.0005,Stay because the current strategy remains the recent block leader.
4735,36,sgd_lr_0_001,sgd_lr_0_0005,switch,True,recent_leader_advantage,0.0010972163074407515,0.0005,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.769047 - 0.767950 = 0.001097.
4863,37,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,recent_leader_incumbent_floor,0.008212996109396853,0.0005,Stay because the candidate fails the incumbent floor check: 0.697634 + 0.002000 < 0.700523.
4991,38,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,recent_leader_incumbent_floor,0.002465490464589215,0.0005,Stay because the candidate fails the incumbent floor check: 0.698781 + 0.002000 < 0.701532.
