sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_0_0005,sgd_lr_0_001,switch,True,fixed_share_warmup_leader,,0.01,Switch after warmup because the cumulative reward leader differs from the starting strategy: sgd_lr_0_001.
127,0,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
255,1,sgd_lr_0_001,sgd_lr_0_0001,switch,True,fixed_share_weight_advantage,0.04138362228135617,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3544 - 0.3130 = 0.0414 >= 0.0100.
383,2,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
511,3,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
639,4,sgd_lr_0_0001,sgd_lr_0_001,switch,True,fixed_share_weight_advantage,0.08113995702712962,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3747 - 0.2935 = 0.0811 >= 0.0100.
767,5,sgd_lr_0_001,sgd_lr_0_0005,switch,True,fixed_share_weight_advantage,0.01389801757590542,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3464 - 0.3325 = 0.0139 >= 0.0100.
895,6,sgd_lr_0_0005,sgd_lr_0_0005,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1023,7,sgd_lr_0_0005,sgd_lr_0_001,switch,True,fixed_share_weight_advantage,0.031142453908831524,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3633 - 0.3321 = 0.0311 >= 0.0100.
1151,8,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1279,9,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1407,10,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1535,11,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1663,12,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1791,13,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1919,14,sgd_lr_0_001,sgd_lr_0_0005,switch,True,fixed_share_weight_advantage,0.1831652769305775,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4351 - 0.2519 = 0.1832 >= 0.0100.
2047,15,sgd_lr_0_0005,sgd_lr_0_0005,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2175,16,sgd_lr_0_0005,sgd_lr_0_001,switch,True,fixed_share_weight_advantage,0.0396908339013064,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3999 - 0.3602 = 0.0397 >= 0.0100.
2303,17,sgd_lr_0_001,sgd_lr_0_0005,stay,False,fixed_share_margin_too_small,0.002777492652768443,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0028, threshold=0.0100."
2431,18,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2559,19,sgd_lr_0_001,sgd_lr_0_0001,switch,True,fixed_share_weight_advantage,0.12064905684842347,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4012 - 0.2806 = 0.1206 >= 0.0100.
2687,20,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2815,21,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2943,22,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3071,23,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3199,24,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
3327,25,sgd_lr_0_0001,sgd_lr_0_001,switch,True,fixed_share_weight_advantage,0.01593292528646506,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3434 - 0.3275 = 0.0159 >= 0.0100.
3455,26,sgd_lr_0_001,sgd_lr_0_001,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
