sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_warmup_leader,,0.01,Switch after warmup because the cumulative reward leader differs from the starting strategy: sgd_lr_0_5.
127,0,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.03842157299353116,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3723 - 0.3339 = 0.0384 >= 0.0100.
255,1,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
383,2,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
511,3,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
639,4,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.019586689473533037,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3566 - 0.3370 = 0.0196 >= 0.0100.
767,5,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.02507091258479266,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3899 - 0.3649 = 0.0251 >= 0.0100.
895,6,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1023,7,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1151,8,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1279,9,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1407,10,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1535,11,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.017376223940413826,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3958 - 0.3784 = 0.0174 >= 0.0100.
1663,12,sgd_lr_0_5,sgd_lr_0_5,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1791,13,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.045992914028201826,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4197 - 0.3737 = 0.0460 >= 0.0100.
1919,14,sgd_lr_1_0,sgd_lr_1_0,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2047,15,sgd_lr_1_0,sgd_lr_0_5,switch,True,fixed_share_weight_advantage,0.021169394658857976,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4303 - 0.4091 = 0.0212 >= 0.0100.
2175,16,sgd_lr_0_5,sgd_lr_1_0,switch,True,fixed_share_weight_advantage,0.20759767558955516,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.5274 - 0.3198 = 0.2076 >= 0.0100.
