sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
255,0,softmax_lr_0_01,softmax_lr_0_1,switch,True,fixed_share_weight_advantage,0.2836612348386482,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.6262 - 0.3425 = 0.2837 >= 0.0100.
511,1,softmax_lr_0_1,softmax_lr_0_01,switch,True,fixed_share_warmup_leader,,0.01,Switch after warmup because the cumulative reward leader differs from the starting strategy: softmax_lr_0_01.
511,1,softmax_lr_0_01,softmax_lr_0_01,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
767,2,softmax_lr_0_01,softmax_lr_0_01,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1023,3,softmax_lr_0_01,softmax_lr_0_1,switch,True,fixed_share_weight_advantage,0.22545362578319472,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.5926 - 0.3672 = 0.2255 >= 0.0100.
1279,4,softmax_lr_0_1,softmax_lr_0_01,switch,True,fixed_share_weight_advantage,0.32741729848802875,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.6449 - 0.3175 = 0.3274 >= 0.0100.
1535,5,softmax_lr_0_01,softmax_lr_0_1,switch,True,fixed_share_weight_advantage,0.2363466248381324,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.5701 - 0.3338 = 0.2363 >= 0.0100.
1791,6,softmax_lr_0_1,softmax_lr_0_01,switch,True,fixed_share_weight_advantage,0.22727830008722985,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4460 - 0.2187 = 0.2273 >= 0.0100.
2047,7,softmax_lr_0_01,softmax_lr_0_01,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
2303,8,softmax_lr_0_01,softmax_lr_0_1,switch,True,fixed_share_weight_advantage,0.12802595301498604,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4540 - 0.3259 = 0.1280 >= 0.0100.
