sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
383,1,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,no_candidate_improvement,0.0012656444856502524,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0013, threshold=0.0100."
511,2,sgd_lr_0_0005,sgd_lr_0_0001,stay,False,high_uncertainty,0.0013009726877794003,0.01,"Stay because utility uncertainty is too high: current_std=0.0122, candidate_std=0.0125, threshold=0.0100."
639,3,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00047310732395777766,0.01,"Stay because utility uncertainty is too high: current_std=0.0129, candidate_std=0.0115, threshold=0.0100."
767,4,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0017809074387309387,0.01,"Stay because utility uncertainty is too high: current_std=0.0102, candidate_std=0.0102, threshold=0.0100."
895,5,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.00010414481396736619,0.01,"Stay because utility uncertainty is too high: current_std=0.0224, candidate_std=0.0241, threshold=0.0100."
1023,6,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.0006076575403404227,0.01,"Stay because utility uncertainty is too high: current_std=0.0164, candidate_std=0.0155, threshold=0.0100."
1151,7,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0008911139190865836,0.01,"Stay because utility uncertainty is too high: current_std=0.0286, candidate_std=0.0292, threshold=0.0100."
1279,8,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0004334890218767873,0.01,"Stay because utility uncertainty is too high: current_std=0.0121, candidate_std=0.0110, threshold=0.0100."
1407,9,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,-2.7121366499183175e-05,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0000, threshold=0.0100."
1535,10,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0014792635075613347,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0015, threshold=0.0100."
1663,11,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0017444423787877916,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0017, threshold=0.0100."
1791,12,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0016274497719982461,0.01,"Stay because utility uncertainty is too high: current_std=0.0350, candidate_std=0.0344, threshold=0.0100."
1919,13,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.00016144931301576015,0.01,"Stay because utility uncertainty is too high: current_std=0.0196, candidate_std=0.0219, threshold=0.0100."
2047,14,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.003611466870506286,0.01,"Stay because utility uncertainty is too high: current_std=0.0586, candidate_std=0.0575, threshold=0.0100."
2175,15,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,-0.00127324086436309,0.01,"Stay because utility uncertainty is too high: current_std=0.0417, candidate_std=0.0452, threshold=0.0100."
2303,16,sgd_lr_0_0005,sgd_lr_0_001,stay,False,high_uncertainty,0.0017266120800032425,0.01,"Stay because utility uncertainty is too high: current_std=0.0170, candidate_std=0.0166, threshold=0.0100."
2431,17,sgd_lr_0_0005,sgd_lr_0_001,stay,False,no_candidate_improvement,0.0017962004327396475,0.01,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0018, threshold=0.0100."
