sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
511,1,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.015625,0.006,"Stay because utility uncertainty is too high: current_std=0.0078, candidate_std=0.0078, threshold=0.0060."
767,2,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.04296875,0.006,"Stay because utility uncertainty is too high: current_std=0.0137, candidate_std=0.0137, threshold=0.0060."
1023,3,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.005859375,0.006,"Stay because utility uncertainty is too high: current_std=0.0977, candidate_std=0.0332, threshold=0.0060."
1279,4,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,0.025390625,0.006,"Stay because utility uncertainty is too high: current_std=0.0508, candidate_std=0.0176, threshold=0.0060."
1535,5,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.01171875,0.006,"Stay because utility uncertainty is too high: current_std=0.0391, candidate_std=0.0352, threshold=0.0060."
1791,6,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.03515625,0.006,"Stay because utility uncertainty is too high: current_std=0.0332, candidate_std=0.0527, threshold=0.0060."
2047,7,softmax_lr_0_01,tree_classifier,stay,False,high_uncertainty,-0.05078125,0.006,"Stay because utility uncertainty is too high: current_std=0.0059, candidate_std=0.0137, threshold=0.0060."
2303,8,softmax_lr_0_01,tree_classifier,stay,False,high_uncertainty,-0.0390625,0.006,"Stay because utility uncertainty is too high: current_std=0.0273, candidate_std=0.0312, threshold=0.0060."
2559,9,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.01953125,0.006,"Stay because utility uncertainty is too high: current_std=0.0156, candidate_std=0.0195, threshold=0.0060."
2815,10,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.025390625,0.006,"Stay because utility uncertainty is too high: current_std=0.0234, candidate_std=0.0254, threshold=0.0060."
3071,11,softmax_lr_0_01,tree_classifier,stay,False,high_uncertainty,-0.01171875,0.006,"Stay because utility uncertainty is too high: current_std=0.0137, candidate_std=0.0449, threshold=0.0060."
3327,12,softmax_lr_0_01,tree_classifier,stay,False,high_uncertainty,-0.033203125,0.006,"Stay because utility uncertainty is too high: current_std=0.0312, candidate_std=0.0215, threshold=0.0060."
3583,13,softmax_lr_0_01,tree_classifier,stay,False,high_uncertainty,-0.07421875,0.006,"Stay because utility uncertainty is too high: current_std=0.0039, candidate_std=0.0078, threshold=0.0060."
3839,14,softmax_lr_0_01,tree_classifier,stay,False,high_uncertainty,-0.064453125,0.006,"Stay because utility uncertainty is too high: current_std=0.0527, candidate_std=0.0547, threshold=0.0060."
4095,15,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.052734375,0.006,"Stay because utility uncertainty is too high: current_std=0.0195, candidate_std=0.0176, threshold=0.0060."
4351,16,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.017578125,0.006,"Stay because utility uncertainty is too high: current_std=0.0312, candidate_std=0.0293, threshold=0.0060."
4607,17,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.01171875,0.006,"Stay because utility uncertainty is too high: current_std=0.0137, candidate_std=0.0215, threshold=0.0060."
4863,18,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.041015625,0.006,"Stay because utility uncertainty is too high: current_std=0.0078, candidate_std=0.0293, threshold=0.0060."
5119,19,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.064453125,0.006,"Stay because utility uncertainty is too high: current_std=0.0000, candidate_std=0.0137, threshold=0.0060."
5375,20,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.060546875,0.006,"Stay because utility uncertainty is too high: current_std=0.0098, candidate_std=0.0195, threshold=0.0060."
5631,21,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.05859375,0.006,"Stay because utility uncertainty is too high: current_std=0.0117, candidate_std=0.0234, threshold=0.0060."
5887,22,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.041015625,0.006,"Stay because utility uncertainty is too high: current_std=0.0137, candidate_std=0.0078, threshold=0.0060."
6143,23,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.05078125,0.006,"Stay because utility uncertainty is too high: current_std=0.0137, candidate_std=0.0293, threshold=0.0060."
6399,24,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.05859375,0.006,"Stay because utility uncertainty is too high: current_std=0.0078, candidate_std=0.0000, threshold=0.0060."
6655,25,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.05078125,0.006,"Stay because utility uncertainty is too high: current_std=0.0137, candidate_std=0.0137, threshold=0.0060."
6911,26,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.072265625,0.006,"Stay because utility uncertainty is too high: current_std=0.0195, candidate_std=0.0020, threshold=0.0060."
7167,27,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.072265625,0.006,"Stay because utility uncertainty is too high: current_std=0.0566, candidate_std=0.0352, threshold=0.0060."
7423,28,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.0703125,0.006,"Stay because utility uncertainty is too high: current_std=0.0488, candidate_std=0.0293, threshold=0.0060."
7679,29,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.07421875,0.006,"Stay because utility uncertainty is too high: current_std=0.0059, candidate_std=0.0098, threshold=0.0060."
7935,30,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.00390625,0.006,"Stay because utility uncertainty is too high: current_std=0.0938, candidate_std=0.0391, threshold=0.0060."
8191,31,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,0.01171875,0.006,"Stay because utility uncertainty is too high: current_std=0.0859, candidate_std=0.0469, threshold=0.0060."
8447,32,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.041015625,0.006,"Stay because utility uncertainty is too high: current_std=0.0020, candidate_std=0.0117, threshold=0.0060."
8703,33,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.037109375,0.006,"Stay because utility uncertainty is too high: current_std=0.0059, candidate_std=0.0117, threshold=0.0060."
8959,34,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.041015625,0.006,"Stay because utility uncertainty is too high: current_std=0.0039, candidate_std=0.0176, threshold=0.0060."
9215,35,softmax_lr_0_01,softmax_lr_0_1,stay,False,no_candidate_improvement,-0.06640625,0.006,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0664, threshold=0.0060."
9471,36,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.052734375,0.006,"Stay because utility uncertainty is too high: current_std=0.0254, candidate_std=0.0430, threshold=0.0060."
9727,37,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.048828125,0.006,"Stay because utility uncertainty is too high: current_std=0.0156, candidate_std=0.0293, threshold=0.0060."
9983,38,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.068359375,0.006,"Stay because utility uncertainty is too high: current_std=0.0117, candidate_std=0.0176, threshold=0.0060."
10239,39,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.060546875,0.006,"Stay because utility uncertainty is too high: current_std=0.0234, candidate_std=0.0371, threshold=0.0060."
10495,40,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.03515625,0.006,"Stay because utility uncertainty is too high: current_std=0.0020, candidate_std=0.0098, threshold=0.0060."
10751,41,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.0390625,0.006,"Stay because utility uncertainty is too high: current_std=0.0254, candidate_std=0.0410, threshold=0.0060."
11007,42,softmax_lr_0_01,softmax_lr_0_1,stay,False,no_candidate_improvement,-0.05078125,0.006,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0508, threshold=0.0060."
11263,43,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.041015625,0.006,"Stay because utility uncertainty is too high: current_std=0.0039, candidate_std=0.0098, threshold=0.0060."
11519,44,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.0546875,0.006,"Stay because utility uncertainty is too high: current_std=0.0000, candidate_std=0.0195, threshold=0.0060."
11775,45,softmax_lr_0_01,softmax_lr_0_1,stay,False,high_uncertainty,-0.0703125,0.006,"Stay because utility uncertainty is too high: current_std=0.0156, candidate_std=0.0117, threshold=0.0060."
