sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
255,0,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
511,1,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
767,2,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1023,3,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1279,4,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1535,5,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
1791,6,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
2047,7,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
2303,8,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
2559,9,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
2815,10,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
3071,11,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
3327,12,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
3583,13,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
3839,14,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
4095,15,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
4351,16,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
4607,17,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
4863,18,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
5119,19,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
5375,20,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
5631,21,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
5887,22,softmax_lr_0_01,softmax_lr_0_01,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
