sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
511,1,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_warmup_same,0.0,0.002,Stay after warmup because the current strategy is already the recent leader.
767,2,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1023,3,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1279,4,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
1535,5,softmax_lr_0_01,softmax_lr_0_1,stay,False,recent_leader_incumbent_floor,0.01171875,0.002,Stay because the candidate fails the incumbent floor check: 0.720703 + 0.001000 < 0.731771.
1791,6,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
2047,7,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
2303,8,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
2559,9,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
2815,10,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
3071,11,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
3327,12,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
3583,13,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
3839,14,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
4095,15,softmax_lr_0_01,softmax_lr_0_01,stay,False,recent_leader_same,0.0,0.002,Stay because the current strategy remains the recent block leader.
