sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,sgd_lr_0_0005,sgd_lr_0_001,stay,False,hedge_margin_too_small,0.0023451130647971774,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0023, threshold=0.0100."
255,1,sgd_lr_0_0005,sgd_lr_0_0001,switch,True,warmup_leader,,0.01,Switch after warmup because cumulative reward leader differs from the starting strategy: sgd_lr_0_0001.
255,1,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
383,2,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
511,3,sgd_lr_0_0001,sgd_lr_0_0001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
639,4,sgd_lr_0_0001,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.06976384372065408,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.3620 - 0.2922 = 0.0698 >= 0.0100.
767,5,sgd_lr_0_001,sgd_lr_0_0005,stay,False,hedge_margin_too_small,0.0047617552660922935,0.01,"Stay because candidate Hedge weight advantage is too small: margin=0.0048, threshold=0.0100."
895,6,sgd_lr_0_001,sgd_lr_0_0005,switch,True,hedge_weight_advantage,0.06587592441046058,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4038 - 0.3380 = 0.0659 >= 0.0100.
1023,7,sgd_lr_0_0005,sgd_lr_0_001,switch,True,hedge_weight_advantage,0.023913436685626566,0.01,Switch because candidate Hedge weight exceeds current weight beyond the switch threshold: 0.4129 - 0.3890 = 0.0239 >= 0.0100.
1151,8,sgd_lr_0_001,sgd_lr_0_001,stay,False,hedge_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Hedge expert.
