sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
63,0,lin_lr_0_0005,lin_lr_0_002,switch,True,fixed_share_weight_advantage,0.010892742864790084,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2688 - 0.2579 = 0.0109 >= 0.0100.
127,1,lin_lr_0_002,lin_lr_0_002,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
191,2,lin_lr_0_002,tree_regressor,switch,True,fixed_share_weight_advantage,0.3645946647756053,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.5306 - 0.1660 = 0.3646 >= 0.0100.
255,3,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
319,4,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
383,5,tree_regressor,lin_lr_0_0005,switch,True,fixed_share_weight_advantage,0.08000296383311223,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2912 - 0.2112 = 0.0800 >= 0.0100.
447,6,lin_lr_0_0005,tree_regressor,switch,True,fixed_share_weight_advantage,0.2023346562532716,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4094 - 0.2071 = 0.2023 >= 0.0100.
511,7,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
575,8,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
639,9,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
703,10,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
767,11,tree_regressor,lin_lr_0_0005,switch,True,fixed_share_weight_advantage,0.08566621023119422,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2804 - 0.1948 = 0.0857 >= 0.0100.
831,12,lin_lr_0_0005,lin_lr_0_0005,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
