sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
191,1,lin_lr_0_0005,lin_lr_0_002,stay,False,high_uncertainty,0.003841235505675611,0.003,"Stay because utility uncertainty is too high: current_std=0.0094, candidate_std=0.0078, threshold=0.0030."
255,2,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.06367517350353813,0.003,"Stay because utility uncertainty is too high: current_std=0.0125, candidate_std=0.0271, threshold=0.0030."
319,3,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.09456892730263988,0.003,"Stay because utility uncertainty is too high: current_std=0.0071, candidate_std=0.0017, threshold=0.0030."
383,4,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.04186802221355845,0.003,"Stay because utility uncertainty is too high: current_std=0.0152, candidate_std=0.0288, threshold=0.0030."
447,5,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,-0.0017020826867925054,0.003,"Stay because utility uncertainty is too high: current_std=0.0203, candidate_std=0.0199, threshold=0.0030."
511,6,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.025126746738458938,0.003,"Stay because utility uncertainty is too high: current_std=0.0277, candidate_std=0.0012, threshold=0.0030."
575,7,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.05581141862601513,0.003,"Stay because utility uncertainty is too high: current_std=0.0056, candidate_std=0.0099, threshold=0.0030."
639,8,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.043449726109316744,0.003,"Stay because utility uncertainty is too high: current_std=0.0158, candidate_std=0.0008, threshold=0.0030."
703,9,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.024172747059102773,0.003,"Stay because utility uncertainty is too high: current_std=0.0088, candidate_std=0.0061, threshold=0.0030."
767,10,lin_lr_0_0005,tree_regressor,stay,False,high_uncertainty,0.022517816482332975,0.003,"Stay because utility uncertainty is too high: current_std=0.0092, candidate_std=0.0081, threshold=0.0030."
831,11,lin_lr_0_0005,lin_lr_0_001,stay,False,high_uncertainty,-0.0015021933614112193,0.003,"Stay because utility uncertainty is too high: current_std=0.0258, candidate_std=0.0257, threshold=0.0030."
