sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
63,0,lin_lr_0_0005,lin_lr_0_002,switch,True,fixed_share_weight_advantage,0.010892742864790084,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2688 - 0.2579 = 0.0109 >= 0.0100.
127,1,lin_lr_0_002,lin_lr_0_002,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
191,2,lin_lr_0_002,tree_regressor,switch,True,fixed_share_weight_advantage,0.3645946647756053,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.5306 - 0.1660 = 0.3646 >= 0.0100.
255,3,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
319,4,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
383,5,tree_regressor,lin_lr_0_0005,switch,True,fixed_share_weight_advantage,0.08000296383311223,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2912 - 0.2112 = 0.0800 >= 0.0100.
447,6,lin_lr_0_0005,tree_regressor,switch,True,fixed_share_weight_advantage,0.2023346562532716,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4094 - 0.2071 = 0.2023 >= 0.0100.
511,7,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
575,8,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
639,9,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
703,10,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
767,11,tree_regressor,lin_lr_0_0005,switch,True,fixed_share_weight_advantage,0.08566621023119422,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2804 - 0.1948 = 0.0857 >= 0.0100.
831,12,lin_lr_0_0005,lin_lr_0_0005,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
895,13,lin_lr_0_0005,tree_regressor,switch,True,fixed_share_weight_advantage,0.03289703359441806,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2792 - 0.2463 = 0.0329 >= 0.0100.
959,14,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1023,15,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1087,16,tree_regressor,tree_regressor,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1151,17,tree_regressor,lin_lr_0_002,switch,True,fixed_share_weight_advantage,0.15902394543347825,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3042 - 0.1451 = 0.1590 >= 0.0100.
1215,18,lin_lr_0_002,lin_lr_0_0005,switch,True,fixed_share_weight_advantage,0.04498674121045859,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3024 - 0.2575 = 0.0450 >= 0.0100.
1279,19,lin_lr_0_0005,lin_lr_0_002,switch,True,fixed_share_weight_advantage,0.019212075078025637,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2946 - 0.2754 = 0.0192 >= 0.0100.
1343,20,lin_lr_0_002,lin_lr_0_002,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1407,21,lin_lr_0_002,lin_lr_0_001,stay,False,fixed_share_margin_too_small,0.0045022879890833645,0.01,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0045, threshold=0.0100."
1471,22,lin_lr_0_002,tree_regressor,switch,True,fixed_share_weight_advantage,0.0279100046975172,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2789 - 0.2510 = 0.0279 >= 0.0100.
1535,23,tree_regressor,lin_lr_0_002,switch,True,fixed_share_weight_advantage,0.14589446593223357,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2920 - 0.1461 = 0.1459 >= 0.0100.
1599,24,lin_lr_0_002,lin_lr_0_0005,switch,True,fixed_share_weight_advantage,0.05923277685001804,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3147 - 0.2555 = 0.0592 >= 0.0100.
1663,25,lin_lr_0_0005,lin_lr_0_001,switch,True,fixed_share_weight_advantage,0.011816532704899574,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2879 - 0.2761 = 0.0118 >= 0.0100.
1727,26,lin_lr_0_001,lin_lr_0_002,switch,True,fixed_share_weight_advantage,0.022622769289635913,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3041 - 0.2814 = 0.0226 >= 0.0100.
1791,27,lin_lr_0_002,lin_lr_0_002,stay,False,fixed_share_same_leader,0.0,0.01,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1855,28,lin_lr_0_002,tree_regressor,switch,True,fixed_share_weight_advantage,0.026283079605026294,0.01,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2862 - 0.2599 = 0.0263 >= 0.0100.
