sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,1,knn_regressor,knn_regressor,stay,False,recent_leader_warmup_same,0.0,0.001,Stay after warmup because the current strategy is already the recent leader.
191,2,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
255,3,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
319,4,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
383,5,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.021750811122639657,0.001,Stay because the candidate fails the incumbent floor check: 0.840782 + 0.001000 < 0.852659.
447,6,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.01869514049174925,0.001,Stay because the candidate fails the incumbent floor check: 0.823687 + 0.001000 < 0.836013.
511,7,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
575,8,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.02116810948151726,0.001,Stay because the candidate fails the incumbent floor check: 0.821170 + 0.001000 < 0.842366.
639,9,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.03229096988886315,0.001,Stay because the candidate fails the incumbent floor check: 0.827024 + 0.001000 < 0.846518.
703,10,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.025768294249121304,0.001,Stay because the candidate fails the incumbent floor check: 0.832413 + 0.001000 < 0.847291.
767,11,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.029119202590574655,0.001,Stay because the candidate fails the incumbent floor check: 0.834615 + 0.001000 < 0.846007.
831,12,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.03663269468059005,0.001,Stay because the candidate fails the incumbent floor check: 0.832190 + 0.001000 < 0.845399.
895,13,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.042699608562909996,0.001,Stay because the candidate fails the incumbent floor check: 0.840024 + 0.001000 < 0.843689.
959,14,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.021469043431265544,0.001,Stay because the candidate fails the incumbent floor check: 0.844602 + 0.001000 < 0.847944.
1023,15,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
1087,16,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.014316291974899142,0.001,Stay because the candidate fails the incumbent floor check: 0.833933 + 0.001000 < 0.843583.
1151,17,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.032025824576434325,0.001,Stay because the candidate fails the incumbent floor check: 0.834502 + 0.001000 < 0.842143.
1215,18,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.03315061123543517,0.001,Stay because the candidate fails the incumbent floor check: 0.835589 + 0.001000 < 0.840734.
1279,19,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.04784803447274022,0.001,Stay because the candidate fails the incumbent floor check: 0.836054 + 0.001000 < 0.838147.
1343,20,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.054672637389291734,0.001,Stay because the candidate fails the incumbent floor check: 0.799221 + 0.001000 < 0.837125.
1407,21,knn_regressor,lin_lr_0_002,switch,True,recent_leader_advantage,0.0562465485471092,0.001,Switch because the recent leader exceeds the current strategy over the lookback horizon: 0.852674 - 0.796427 = 0.056247.
1471,22,lin_lr_0_002,lin_lr_0_002,stay,False,recent_leader_cooldown,0.0,0.001,Stay because the controller is within the post-switch cooldown window: 1 block(s) remaining.
1535,23,lin_lr_0_002,lin_lr_0_002,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
1599,24,lin_lr_0_002,lin_lr_0_002,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
1663,25,lin_lr_0_002,lin_lr_0_002,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
1727,26,lin_lr_0_002,lin_lr_0_002,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
