sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,1,knn_regressor,knn_regressor,stay,False,recent_leader_warmup_same,0.0,0.001,Stay after warmup because the current strategy is already the recent leader.
191,2,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
255,3,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
319,4,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
383,5,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.023196631941623358,0.001,Stay because the candidate fails the incumbent floor check: 0.817145 + 0.001000 < 0.831368.
447,6,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.019004950677206534,0.001,Stay because the candidate fails the incumbent floor check: 0.798473 + 0.001000 < 0.813332.
511,7,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
575,8,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.02206440770269591,0.001,Stay because the candidate fails the incumbent floor check: 0.796299 + 0.001000 < 0.820478.
639,9,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.03359118413661255,0.001,Stay because the candidate fails the incumbent floor check: 0.802827 + 0.001000 < 0.825226.
703,10,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.027238053494403003,0.001,Stay because the candidate fails the incumbent floor check: 0.808701 + 0.001000 < 0.825897.
767,11,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.03294725516991348,0.001,Stay because the candidate fails the incumbent floor check: 0.811034 + 0.001000 < 0.824208.
831,12,knn_regressor,pa_regressor,stay,False,recent_leader_incumbent_floor,0.04397669242116575,0.001,Stay because the candidate fails the incumbent floor check: 0.808086 + 0.001000 < 0.822990.
