sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
191,1,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.02107473965866491,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0211, threshold=0.0030."
255,2,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.02046781756392413,0.003,"Stay because utility uncertainty is too high: current_std=0.0053, candidate_std=0.0075, threshold=0.0030."
319,3,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.013955204860468307,0.003,"Stay because utility uncertainty is too high: current_std=0.0001, candidate_std=0.0044, threshold=0.0030."
383,4,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.037890266977394615,0.003,"Stay because utility uncertainty is too high: current_std=0.0107, candidate_std=0.0390, threshold=0.0030."
447,5,knn_regressor,lin_lr_0_001,stay,False,no_candidate_improvement,-0.04483649517951749,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0448, threshold=0.0030."
511,6,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.036008884150640186,0.003,"Stay because utility uncertainty is too high: current_std=0.0078, candidate_std=0.0355, threshold=0.0030."
575,7,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.009607574809608943,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0096, threshold=0.0030."
639,8,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.008986585972821315,0.003,"Stay because utility uncertainty is too high: current_std=0.0025, candidate_std=0.0044, threshold=0.0030."
703,9,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.014914964775242678,0.003,"Stay because utility uncertainty is too high: current_std=0.0008, candidate_std=0.0070, threshold=0.0030."
767,10,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.022024110398899177,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0220, threshold=0.0030."
831,11,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.01824812499122963,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0182, threshold=0.0030."
895,12,knn_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.042933544354678554,0.003,"Stay because utility uncertainty is too high: current_std=0.0004, candidate_std=0.0060, threshold=0.0030."
959,13,knn_regressor,lin_lr_0_002,stay,False,high_uncertainty,-0.06092752409674196,0.003,"Stay because utility uncertainty is too high: current_std=0.0006, candidate_std=0.0122, threshold=0.0030."
