moment,station,clouds,description,humidity,pressure,temperature,wind,bikes_in_use
2016-04-01 00:00:07,metro-canal-du-midi,75,light rain,81,1017.0,6.54,9.3,1
2016-04-01 00:00:16,place-des-carmes,75,light rain,81,1017.0,6.54,9.3,3
2016-04-01 00:00:35,place-des-carmes,75,light rain,81,1017.0,6.54,9.3,3
2016-04-01 00:04:50,place-esquirol,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:05:29,place-esquirol,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:08:18,pomme,75,light rain,81,1017.0,6.54,9.3,8
2016-04-01 00:09:18,pomme,75,light rain,81,1017.0,6.54,9.3,8
2016-04-01 00:09:25,place-jeanne-darc,75,light rain,81,1017.0,6.54,9.3,11
2016-04-01 00:09:54,place-esquirol,75,light rain,81,1017.0,6.54,9.3,1
2016-04-01 00:10:09,metro-canal-du-midi,75,light rain,81,1017.0,6.54,9.3,1
2016-04-01 00:10:38,place-des-carmes,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:10:56,metro-canal-du-midi,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:11:54,place-jeanne-darc,75,light rain,81,1017.0,6.54,9.3,10
2016-04-01 00:13:05,place-esquirol,75,light rain,81,1017.0,6.54,9.3,1
2016-04-01 00:13:30,place-esquirol,75,light rain,81,1017.0,6.54,9.3,0
2016-04-01 00:18:34,place-esquirol,75,light rain,81,1017.0,6.54,9.3,0
2016-04-01 00:20:19,pomme,75,light rain,81,1017.0,6.54,9.3,6
2016-04-01 00:20:42,place-des-carmes,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:20:59,metro-canal-du-midi,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:21:18,pomme,75,light rain,81,1017.0,6.54,9.3,5
2016-04-01 00:21:57,place-jeanne-darc,75,light rain,81,1017.0,6.54,9.3,10
2016-04-01 00:22:18,pomme,75,light rain,81,1017.0,6.54,9.3,3
2016-04-01 00:23:11,place-des-carmes,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:23:21,pomme,75,light rain,81,1017.0,6.54,9.3,3
2016-04-01 00:23:56,pomme,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:24:15,place-des-carmes,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:25:13,pomme,75,light rain,81,1017.0,6.54,9.3,3
2016-04-01 00:25:23,pomme,75,light rain,81,1017.0,6.54,9.3,4
2016-04-01 00:25:55,place-des-carmes,75,light rain,81,1017.0,6.54,9.3,2
2016-04-01 00:28:38,place-esquirol,75,light rain,87,1017.0,6.59,5.7,0
2016-04-01 00:30:18,place-esquirol,75,light rain,87,1017.0,6.59,5.7,0
2016-04-01 00:30:46,place-esquirol,75,light rain,87,1017.0,6.59,5.7,0
2016-04-01 00:31:03,metro-canal-du-midi,75,light rain,87,1017.0,6.59,5.7,2
2016-04-01 00:32:01,place-jeanne-darc,75,light rain,87,1017.0,6.59,5.7,10
2016-04-01 00:32:20,pomme,75,light rain,87,1017.0,6.59,5.7,4
2016-04-01 00:33:18,pomme,75,light rain,87,1017.0,6.59,5.7,5
2016-04-01 00:34:01,pomme,75,light rain,87,1017.0,6.59,5.7,5
2016-04-01 00:35:09,place-esquirol,75,light rain,87,1017.0,6.59,5.7,1
2016-04-01 00:35:58,place-des-carmes,75,light rain,87,1017.0,6.59,5.7,1
2016-04-01 00:38:10,place-esquirol,75,light rain,87,1017.0,6.59,5.7,1
2016-04-01 00:41:07,metro-canal-du-midi,75,light rain,87,1017.0,6.59,5.7,2
2016-04-01 00:42:05,place-jeanne-darc,75,light rain,87,1017.0,6.59,5.7,10
2016-04-01 00:42:59,place-des-carmes,75,light rain,87,1017.0,6.59,5.7,1
2016-04-01 00:44:08,pomme,75,light rain,87,1017.0,6.59,5.7,5
2016-04-01 00:44:09,place-des-carmes,75,light rain,87,1017.0,6.59,5.7,0
2016-04-01 00:44:39,place-des-carmes,75,light rain,87,1017.0,6.59,5.7,0
2016-04-01 00:44:40,pomme,75,light rain,87,1017.0,6.59,5.7,5
2016-04-01 00:45:59,pomme,75,light rain,87,1017.0,6.59,5.7,4
2016-04-01 00:48:14,place-esquirol,90,light rain,87,1017.0,6.58,7.7,1
2016-04-01 00:49:09,pomme,90,light rain,87,1017.0,6.58,7.7,4
2016-04-01 00:50:14,pomme,90,light rain,87,1017.0,6.58,7.7,4
2016-04-01 00:51:11,metro-canal-du-midi,90,light rain,87,1017.0,6.58,7.7,2
2016-04-01 00:51:19,pomme,90,light rain,87,1017.0,6.58,7.7,3
2016-04-01 00:51:50,pomme,90,light rain,87,1017.0,6.58,7.7,4
2016-04-01 00:52:09,place-jeanne-darc,90,light rain,87,1017.0,6.58,7.7,10
2016-04-01 00:52:25,pomme,90,light rain,87,1017.0,6.58,7.7,4
2016-04-01 00:52:51,place-esquirol,90,light rain,87,1017.0,6.58,7.7,1
