sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
191,1,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.02601224067914787,0.003,"Stay because utility uncertainty is too high: current_std=0.0001, candidate_std=0.0052, threshold=0.0030."
255,2,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.02861609640041818,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0286, threshold=0.0030."
319,3,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.020850600487104298,0.003,"Stay because utility uncertainty is too high: current_std=0.0024, candidate_std=0.0076, threshold=0.0030."
383,4,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.02224493845144937,0.003,"Stay because utility uncertainty is too high: current_std=0.0015, candidate_std=0.0050, threshold=0.0030."
447,5,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.030111597458812644,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0301, threshold=0.0030."
511,6,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.02232186051747409,0.003,"Stay because utility uncertainty is too high: current_std=0.0009, candidate_std=0.0082, threshold=0.0030."
575,7,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.016754590424594595,0.003,"Stay because utility uncertainty is too high: current_std=0.0018, candidate_std=0.0054, threshold=0.0030."
639,8,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.022983805885746778,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0230, threshold=0.0030."
703,9,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.022474237873924996,0.003,"Stay because utility uncertainty is too high: current_std=0.0027, candidate_std=0.0058, threshold=0.0030."
767,10,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.027190193351460445,0.003,"Stay because utility uncertainty is too high: current_std=0.0005, candidate_std=0.0073, threshold=0.0030."
831,11,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.03226876014726554,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0323, threshold=0.0030."
895,12,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.023278922413893954,0.003,"Stay because utility uncertainty is too high: current_std=0.0005, candidate_std=0.0057, threshold=0.0030."
959,13,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.022443923491831774,0.003,"Stay because utility uncertainty is too high: current_std=0.0002, candidate_std=0.0052, threshold=0.0030."
1023,14,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.024906872980234196,0.003,"Stay because utility uncertainty is too high: current_std=0.0004, candidate_std=0.0033, threshold=0.0030."
1087,15,knn_regressor,tree_regressor,stay,False,no_candidate_improvement,-0.021972640560040002,0.003,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0220, threshold=0.0030."
1151,16,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.028275929625328988,0.003,"Stay because utility uncertainty is too high: current_std=0.0000, candidate_std=0.0064, threshold=0.0030."
1215,17,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.03616966435558289,0.003,"Stay because utility uncertainty is too high: current_std=0.0045, candidate_std=0.0060, threshold=0.0030."
1279,18,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.049020613436687066,0.003,"Stay because utility uncertainty is too high: current_std=0.0026, candidate_std=0.0139, threshold=0.0030."
1343,19,knn_regressor,tree_regressor,stay,False,high_uncertainty,-0.07666592113297677,0.003,"Stay because utility uncertainty is too high: current_std=0.0153, candidate_std=0.0317, threshold=0.0030."
1407,20,knn_regressor,lin_lr_0_0001,stay,False,high_uncertainty,-0.07592310751408327,0.003,"Stay because utility uncertainty is too high: current_std=0.0025, candidate_std=0.0307, threshold=0.0030."
