sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,0,tree_classifier,softmax_lr_0_10,switch,True,fixed_share_weight_advantage,0.07264482052622384,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3250 - 0.2524 = 0.0726 >= 0.0150.
255,1,softmax_lr_0_10,tree_classifier,switch,True,fixed_share_warmup_leader,,0.015,Switch after warmup because the cumulative reward leader differs from the starting strategy: tree_classifier.
255,1,tree_classifier,knn_classifier,switch,True,fixed_share_weight_advantage,0.22343976354568346,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.4583 - 0.2349 = 0.2234 >= 0.0150.
383,2,knn_classifier,knn_classifier,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
511,3,knn_classifier,softmax_lr_0_20,switch,True,fixed_share_weight_advantage,0.02717416987238902,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3294 - 0.3022 = 0.0272 >= 0.0150.
639,4,softmax_lr_0_20,knn_classifier,switch,True,fixed_share_weight_advantage,0.049822115870315764,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2927 - 0.2429 = 0.0498 >= 0.0150.
767,5,knn_classifier,softmax_lr_0_20,stay,False,fixed_share_margin_too_small,0.00799582706917773,0.015,"Stay because the recovered Fixed-Share candidate is still too close to the incumbent: margin=0.0080, threshold=0.0150."
895,6,knn_classifier,knn_classifier,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1023,7,knn_classifier,knn_classifier,stay,False,fixed_share_same_leader,0.0,0.015,Stay because the current strategy remains the highest-weight Fixed-Share expert.
1151,8,knn_classifier,softmax_lr_0_20,switch,True,fixed_share_weight_advantage,0.01912541595911238,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.2708 - 0.2517 = 0.0191 >= 0.0150.
1279,9,softmax_lr_0_20,knn_classifier,switch,True,fixed_share_weight_advantage,0.13125481114635007,0.015,Switch because Fixed-Share reallocated enough weight to the candidate expert: 0.3902 - 0.2590 = 0.1313 >= 0.0150.
