sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
127,1,knn_regressor,knn_regressor,stay,False,recent_leader_warmup_same,0.0,0.001,Stay after warmup because the current strategy is already the recent leader.
191,2,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
255,3,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
319,4,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
383,5,knn_regressor,knn_regressor,stay,False,recent_leader_same,0.0,0.001,Stay because the current strategy remains the recent block leader.
447,6,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.006724905394317804,0.001,Stay because the candidate fails the incumbent floor check: 0.729438 + 0.001000 < 0.927155.
511,7,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.012870213981128531,0.001,Stay because the candidate fails the incumbent floor check: 0.759846 + 0.001000 < 0.930767.
575,8,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.010869993744281992,0.001,Stay because the candidate fails the incumbent floor check: 0.783025 + 0.001000 < 0.934390.
639,9,knn_regressor,lin_lr_0_005,stay,False,recent_leader_incumbent_floor,0.018649552785441892,0.001,Stay because the candidate fails the incumbent floor check: 0.795729 + 0.001000 < 0.935378.
703,10,knn_regressor,lin_lr_0_005,stay,False,recent_leader_incumbent_floor,0.030625971500213067,0.001,Stay because the candidate fails the incumbent floor check: 0.811899 + 0.001000 < 0.936104.
767,11,knn_regressor,lin_lr_0_005,stay,False,recent_leader_incumbent_floor,0.02771603384968402,0.001,Stay because the candidate fails the incumbent floor check: 0.825281 + 0.001000 < 0.937037.
831,12,knn_regressor,lin_lr_0_005,stay,False,recent_leader_incumbent_floor,0.02274982964204386,0.001,Stay because the candidate fails the incumbent floor check: 0.836361 + 0.001000 < 0.937958.
895,13,knn_regressor,lin_lr_0_005,stay,False,recent_leader_incumbent_floor,0.012492714080267864,0.001,Stay because the candidate fails the incumbent floor check: 0.839538 + 0.001000 < 0.933544.
959,14,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.012119759647874817,0.001,Stay because the candidate fails the incumbent floor check: 0.835181 + 0.001000 < 0.933365.
1023,15,knn_regressor,lin_lr_0_002,stay,False,recent_leader_incumbent_floor,0.0290903966295063,0.001,Stay because the candidate fails the incumbent floor check: 0.843922 + 0.001000 < 0.934895.
1087,16,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.02348241114159688,0.001,Stay because the candidate fails the incumbent floor check: 0.864109 + 0.001000 < 0.936013.
1151,17,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.02865062207734037,0.001,Stay because the candidate fails the incumbent floor check: 0.870684 + 0.001000 < 0.936889.
1215,18,knn_regressor,lin_lr_0_01,stay,False,recent_leader_incumbent_floor,0.03192844276915685,0.001,Stay because the candidate fails the incumbent floor check: 0.876669 + 0.001000 < 0.937644.
