episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8924547577691425,True,fixed,50,0.05,0.010789289810430225,False
1,0.9881973824709098,True,fixed,50,0.05,5.560557432958912e-05,False
2,0.9893260210183482,True,fixed,50,0.05,2.865786303662965e-07,False
3,0.9888463712698237,True,fixed,50,0.05,1.4769618439380848e-09,False
4,0.9930983263415576,True,fixed,50,0.05,7.611926644557343e-12,False
5,0.9898685277027878,True,fixed,50,0.05,3.922862035210528e-14,False
6,0.9941427111022823,True,fixed,50,0.05,1.9539925233402755e-16,False
7,0.9898831321086163,True,fixed,50,0.05,0.0,False
8,0.9870714837384174,True,fixed,50,0.05,0.0,False
9,0.9906150790737459,True,fixed,50,0.05,0.0,False
10,0.9887088854729695,True,fixed,50,0.05,0.0,False
11,0.9882439640582943,True,fixed,50,0.05,0.0,False
12,0.9913353644112753,True,fixed,50,0.05,0.0,False
13,0.9909605106804378,True,fixed,50,0.05,0.0,False
14,0.9904826172062553,True,fixed,50,0.05,0.0,False
15,0.9875426195526665,True,fixed,50,0.05,0.0,False
16,0.9884617121755223,True,fixed,50,0.05,0.0,False
17,0.989613090124715,True,fixed,50,0.05,0.0,False
18,0.9928802507139274,True,fixed,50,0.05,0.0,False
19,0.99028779930343,True,fixed,50,0.05,0.0,False
20,0.9888569505827387,True,fixed,50,0.05,0.0,False
21,0.9898004034994695,True,fixed,50,0.05,0.0,False
22,0.990481300367117,True,fixed,50,0.05,0.0,False
23,0.9914261889922459,True,fixed,50,0.05,0.0,False
24,0.9895947687385438,True,fixed,50,0.05,0.0,False
25,0.9900760209202801,True,fixed,50,0.05,0.0,False
26,0.9912935707349173,True,fixed,50,0.05,0.0,False
27,0.9899943945789296,True,fixed,50,0.05,0.0,False
28,0.9925371477399384,True,fixed,50,0.05,0.0,False
29,0.9922486775020171,True,fixed,50,0.05,0.0,False
30,0.9911689672830977,True,fixed,50,0.05,0.0,False
31,0.9904109711367773,True,fixed,50,0.05,0.0,False
32,0.9909450523150093,True,fixed,50,0.05,0.0,False
33,0.9875365735128259,True,fixed,50,0.05,0.0,False
34,0.9897382080663367,True,fixed,50,0.05,0.0,False
35,0.9891589603674259,True,fixed,50,0.05,0.0,False
36,0.9922779269500491,True,fixed,50,0.05,0.0,False
37,0.9905194703458581,True,fixed,50,0.05,0.0,False
38,0.9915789756946406,True,fixed,50,0.05,0.0,False
39,0.9898796186786437,True,fixed,50,0.05,0.0,False
40,0.9909303669192339,True,fixed,50,0.05,0.0,False
41,0.9925867748332428,True,fixed,50,0.05,0.0,False
42,0.9890895979183187,True,fixed,50,0.05,0.0,False
43,0.9899430051456654,True,fixed,50,0.05,0.0,False
44,0.9908263433177363,True,fixed,50,0.05,0.0,False
45,0.9919420646672605,True,fixed,50,0.05,0.0,False
46,0.9880037469161951,True,fixed,50,0.05,0.0,False
47,0.9899137783138792,True,fixed,50,0.05,0.0,False
48,0.9892571978188188,True,fixed,50,0.05,0.0,False
49,0.9892828877737381,True,fixed,50,0.05,0.0,False
50,0.9903266164803399,True,fixed,50,0.05,0.0,False
51,0.9910713813214835,True,fixed,50,0.05,0.0,False
52,0.9905981677988865,True,fixed,50,0.05,0.0,False
53,0.9885766759903608,True,fixed,50,0.05,0.0,False
54,0.988591737607812,True,fixed,50,0.05,0.0,False
55,0.991229230808599,True,fixed,50,0.05,0.0,False
56,0.991239135496059,True,fixed,50,0.05,0.0,False
57,0.9902634302935515,True,fixed,50,0.05,0.0,False
58,0.9906036569928522,True,fixed,50,0.05,0.0,False
59,0.9899246884590555,True,fixed,50,0.05,0.0,False
60,0.9901001878052595,True,fixed,50,0.05,0.0,False
61,0.9915043189324991,True,fixed,50,0.05,0.0,False
62,0.9895578107304197,True,fixed,50,0.05,0.0,False
63,0.9880927351970749,True,fixed,50,0.05,0.0,False
64,0.9903157224274116,True,fixed,50,0.05,0.0,False
65,0.9900172317358934,True,fixed,50,0.05,0.0,False
66,0.9914779643982518,True,fixed,50,0.05,0.0,False
67,0.9896185200943171,True,fixed,50,0.05,0.0,False
68,0.9878297042821745,True,fixed,50,0.05,0.0,False
69,0.990968414889066,True,fixed,50,0.05,0.0,False
70,0.9888391399550678,True,fixed,50,0.05,0.0,False
