evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
1,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
2,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
3,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
4,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
5,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
6,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
7,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
8,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
9,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0953, threshold=0.2000.",0.9845137638644476,0.8894506453866518,0.9830093106674367,0.8877579307617897,False,no_candidate_improvement,-0.09525137990564703,0.2,False
10,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850368520931889,0.8900366273274507,0.9849174115702881,0.8899169669029083,False,no_candidate_improvement,-0.09500044466737978,0.2,False
11,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850811976632807,0.8900811965053762,0.9849340816990956,0.8899340799096037,False,no_candidate_improvement,-0.09500000178949186,0.2,False
12,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851283648068871,0.8901283648009184,0.9849437898335407,0.8899437898253315,False,no_candidate_improvement,-0.09500000000820918,0.2,False
13,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985167804229671,0.8901678042296404,0.9849615272429642,0.8899615272429364,False,no_candidate_improvement,-0.09500000000002773,0.2,False
14,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851772172808442,0.8901772172808441,0.9849681316431764,0.8899681316431762,False,no_candidate_improvement,-0.0950000000000002,0.2,False
15,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985200417115146,0.8902004171151461,0.984998155320153,0.889998155320153,False,no_candidate_improvement,-0.09499999999999997,0.2,False
16,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852306674215796,0.8902306674215795,0.9850347250542901,0.89003472505429,False,no_candidate_improvement,-0.09500000000000008,0.2,False
17,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852942291318495,0.8902942291318494,0.985120370615599,0.8901203706155989,False,no_candidate_improvement,-0.09500000000000008,0.2,False
18,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853617673001211,0.8903617673001211,0.9852347552612871,0.890234755261287,False,no_candidate_improvement,-0.09500000000000008,0.2,False
19,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853954728084299,0.8903954728084299,0.9852827522107973,0.8902827522107973,False,no_candidate_improvement,-0.09499999999999997,0.2,False
20,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9854189731159695,0.8904189731159693,0.9853169355613582,0.890316935561358,False,no_candidate_improvement,-0.0950000000000002,0.2,False
21,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985440540936439,0.890440540936439,0.9853299793186612,0.8903299793186612,False,no_candidate_improvement,-0.09499999999999997,0.2,False
22,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9854651978178138,0.8904651978178137,0.9853264064669518,0.8903264064669517,False,no_candidate_improvement,-0.09500000000000008,0.2,False
23,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9854848447165532,0.8904848447165532,0.9853356785012921,0.8903356785012921,False,no_candidate_improvement,-0.09499999999999997,0.2,False
24,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855142032585101,0.8905142032585103,0.9853797762211486,0.8903797762211487,False,no_candidate_improvement,-0.09499999999999986,0.2,False
25,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855534429213823,0.8905534429213823,0.9854497693837538,0.8904497693837539,False,no_candidate_improvement,-0.09499999999999997,0.2,False
26,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855939236314976,0.8905939236314977,0.9855101527544827,0.8905101527544829,False,no_candidate_improvement,-0.09499999999999986,0.2,False
27,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855988671824626,0.8905988671824627,0.9855184481638499,0.8905184481638501,False,no_candidate_improvement,-0.09499999999999986,0.2,False
28,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855988747957214,0.8905988747957215,0.9855184593263833,0.8905184593263834,False,no_candidate_improvement,-0.09499999999999986,0.2,False
29,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855889873467669,0.890588987346767,0.9854921656029918,0.8904921656029918,False,no_candidate_improvement,-0.09499999999999997,0.2,False
30,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855663148034772,0.8905663148034773,0.9854280096675578,0.8904280096675579,False,no_candidate_improvement,-0.09499999999999997,0.2,False
31,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9855290616687166,0.8905290616687166,0.9853540529575708,0.8903540529575709,False,no_candidate_improvement,-0.09499999999999997,0.2,False
32,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9854811810768641,0.8904811810768642,0.9852992958791761,0.8902992958791762,False,no_candidate_improvement,-0.09499999999999986,0.2,False
33,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9854385274513657,0.8904385274513655,0.9852511357926672,0.890251135792667,False,no_candidate_improvement,-0.0950000000000002,0.2,False
34,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9854084946044844,0.8904084946044846,0.9852213360852207,0.8902213360852208,False,no_candidate_improvement,-0.09499999999999986,0.2,False
35,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853665680780722,0.8903665680780722,0.9851884904945927,0.8901884904945927,False,no_candidate_improvement,-0.09499999999999997,0.2,False
36,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853256642117089,0.8903256642117089,0.9851951360463442,0.8901951360463443,False,no_candidate_improvement,-0.09499999999999997,0.2,False
37,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852960251230263,0.8902960251230263,0.9851924404655984,0.8901924404655984,False,no_candidate_improvement,-0.09499999999999997,0.2,False
38,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852655090795259,0.8902655090795261,0.985211533989188,0.8902115339891882,False,no_candidate_improvement,-0.09499999999999986,0.2,False
39,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852465151301966,0.8902465151301966,0.9852126310272059,0.8902126310272059,False,no_candidate_improvement,-0.09499999999999997,0.2,False
40,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852425728836287,0.8902425728836288,0.9852069786399557,0.8902069786399558,False,no_candidate_improvement,-0.09499999999999986,0.2,False
41,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852386911618847,0.8902386911618846,0.9851977261392177,0.8901977261392177,False,no_candidate_improvement,-0.09500000000000008,0.2,False
42,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852260999151131,0.890226099915113,0.985170694553088,0.890170694553088,False,no_candidate_improvement,-0.09500000000000008,0.2,False
43,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852175845318298,0.8902175845318299,0.9851561075914764,0.8901561075914765,False,no_candidate_improvement,-0.09499999999999997,0.2,False
44,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851946087524661,0.8901946087524661,0.9851177893164773,0.8901177893164773,False,no_candidate_improvement,-0.09499999999999997,0.2,False
45,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851748152506005,0.8901748152506006,0.9850824953483268,0.890082495348327,False,no_candidate_improvement,-0.09499999999999986,0.2,False
46,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851350498000715,0.8901350498000713,0.985029546945178,0.8900295469451778,False,no_candidate_improvement,-0.0950000000000002,0.2,False
47,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851178482269753,0.8901178482269755,0.985022017457798,0.8900220174577982,False,no_candidate_improvement,-0.09499999999999986,0.2,False
48,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851004503060858,0.8901004503060859,0.9850162385058671,0.8900162385058671,False,no_candidate_improvement,-0.09499999999999997,0.2,False
49,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850807855431295,0.8900807855431296,0.985001027298422,0.8900010272984221,False,no_candidate_improvement,-0.09499999999999986,0.2,False
50,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850693227950564,0.8900693227950566,0.9850015949766976,0.8900015949766977,False,no_candidate_improvement,-0.09499999999999986,0.2,False
51,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850545716046379,0.8900545716046381,0.9849943505977128,0.8899943505977129,False,no_candidate_improvement,-0.09499999999999986,0.2,False
52,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850505302175513,0.8900505302175514,0.9849931561721337,0.8899931561721338,False,no_candidate_improvement,-0.09499999999999986,0.2,False
53,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850373999931084,0.8900373999931084,0.984986833013623,0.889986833013623,False,no_candidate_improvement,-0.09499999999999997,0.2,False
54,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850481307022927,0.8900481307022927,0.984986833250671,0.8899868332506711,False,no_candidate_improvement,-0.09499999999999997,0.2,False
55,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850621705235904,0.8900621705235903,0.984993410281247,0.8899934102812469,False,no_candidate_improvement,-0.09500000000000008,0.2,False
56,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850865229718393,0.8900865229718393,0.985029056693151,0.890029056693151,False,no_candidate_improvement,-0.09499999999999997,0.2,False
57,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850759560607667,0.8900759560607667,0.9850120423673251,0.8900120423673251,False,no_candidate_improvement,-0.09499999999999997,0.2,False
58,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985067651139051,0.8900676511390511,0.9849998228277745,0.8899998228277746,False,no_candidate_improvement,-0.09499999999999997,0.2,False
59,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850667009398176,0.8900667009398177,0.9849980224969571,0.8899980224969571,False,no_candidate_improvement,-0.09499999999999997,0.2,False
60,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850546394058431,0.8900546394058433,0.9849815632448765,0.8899815632448767,False,no_candidate_improvement,-0.09499999999999986,0.2,False
61,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850465097045726,0.8900465097045727,0.9849659739025229,0.889965973902523,False,no_candidate_improvement,-0.09499999999999997,0.2,False
62,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850284367996496,0.8900284367996496,0.984936564298979,0.889936564298979,False,no_candidate_improvement,-0.09499999999999997,0.2,False
63,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850279361790195,0.8900279361790193,0.9849359308395714,0.8899359308395712,False,no_candidate_improvement,-0.0950000000000002,0.2,False
64,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985020222414342,0.8900202224143421,0.984936073106257,0.8899360731062571,False,no_candidate_improvement,-0.09499999999999986,0.2,False
65,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850149317678518,0.8900149317678518,0.9849384145045749,0.8899384145045749,False,no_candidate_improvement,-0.09499999999999997,0.2,False
66,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850044567798417,0.8900044567798417,0.9849439590969464,0.8899439590969465,False,no_candidate_improvement,-0.09499999999999997,0.2,False
67,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850071180049749,0.890007118004975,0.9849466690101288,0.889946669010129,False,no_candidate_improvement,-0.09499999999999986,0.2,False
