window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,19,0.9851010303147563,0.0004550240325295462,1.0,19.702020606295125,0,0.05,0.0,0.0005422591724001688,0.9851010303147563,0.0004550240325295462,0.05,0.0
1,1,20,0.9899211399554361,3.3293316045368473e-06,1.0,19.79842279910872,0,0.05,0.0,2.794681878657501e-06,0.9899211399554361,3.3293316045368473e-06,0.05,0.0
2,2,21,0.9900012910068641,3.1750692848087943e-06,1.0,19.800025820137282,0,0.05,0.0,1.4403162178044938e-08,0.9900012910068641,3.1750692848087943e-06,0.05,0.0
3,3,22,0.9900590549743026,3.1604535803015804e-06,1.0,19.80118109948605,0,0.05,0.0,7.423065973011234e-11,0.9900590549743026,3.1604535803015804e-06,0.05,0.0
4,4,23,0.9901880458604235,3.1637376143947522e-06,1.0,19.80376091720847,0,0.05,0.0,3.8256753320808913e-13,0.9901880458604235,3.1637376143947522e-06,0.05,0.0
5,5,24,0.9900128679802729,2.7271625879244833e-06,1.0,19.800257359605457,0,0.05,0.0,1.9712009802219653e-15,0.9900128679802729,2.7271625879244833e-06,0.05,0.0
6,6,25,0.9900232426411476,2.7262126632425734e-06,1.0,19.80046485282295,0,0.05,0.0,9.769962616701377e-18,0.9900232426411476,2.7262126632425734e-06,0.05,0.0
7,7,26,0.9898807856227793,1.938104314337053e-06,1.0,19.797615712455585,0,0.05,0.0,0.0,0.9898807856227793,1.938104314337053e-06,0.05,0.0
8,8,27,0.9898863487462949,1.9387184404398915e-06,1.0,19.797726974925897,0,0.05,0.0,0.0,0.9898863487462949,1.9387184404398915e-06,0.05,0.0
9,9,28,0.990159631946371,1.8191982476024632e-06,1.0,19.80319263892742,0,0.05,0.0,0.0,0.990159631946371,1.8191982476024632e-06,0.05,0.0
10,10,29,0.9902413118677845,2.0203606004268665e-06,1.0,19.80482623735569,0,0.05,0.0,0.0,0.9902413118677845,2.0203606004268665e-06,0.05,0.0
11,11,30,0.9903643159582909,1.930841289847261e-06,1.0,19.80728631916582,0,0.05,0.0,0.0,0.9903643159582909,1.930841289847261e-06,0.05,0.0
12,12,31,0.9904726663122151,1.6944157169447798e-06,1.0,19.809453326244302,0,0.05,0.0,0.0,0.9904726663122151,1.6944157169447798e-06,0.05,0.0
13,13,32,0.9904531507074019,1.6679798843892365e-06,1.0,19.809063014148037,0,0.05,0.0,0.0,0.9904531507074019,1.6679798843892365e-06,0.05,0.0
14,14,33,0.9902819538490212,2.0511219395539174e-06,1.0,19.805639076980423,0,0.05,0.0,0.0,0.9902819538490212,2.0511219395539174e-06,0.05,0.0
15,15,34,0.9902447333920252,2.0625062617974666e-06,1.0,19.804894667840504,0,0.05,0.0,0.0,0.9902447333920252,2.0625062617974666e-06,0.05,0.0
16,16,35,0.9903255504327632,1.7498490607285066e-06,1.0,19.806511008655264,0,0.05,0.0,0.0,0.9903255504327632,1.7498490607285066e-06,0.05,0.0
17,17,36,0.9905163611714896,1.7303343735199264e-06,1.0,19.81032722342979,0,0.05,0.0,0.0,0.9905163611714896,1.7303343735199264e-06,0.05,0.0
18,18,37,0.9905616801825466,1.687486114907927e-06,1.0,19.811233603650933,0,0.05,0.0,0.0,0.9905616801825466,1.687486114907927e-06,0.05,0.0
19,19,38,0.9904966164315823,1.466208865715357e-06,1.0,19.809932328631646,0,0.05,0.0,0.0,0.9904966164315823,1.466208865715357e-06,0.05,0.0
20,20,39,0.990476207400343,1.4826464188653088e-06,1.0,19.80952414800686,0,0.05,0.0,0.0,0.990476207400343,1.4826464188653088e-06,0.05,0.0
21,21,40,0.990579878217168,1.351112191966238e-06,1.0,19.81159756434336,0,0.05,0.0,0.0,0.990579878217168,1.351112191966238e-06,0.05,0.0
22,22,41,0.9907191967838566,1.502705188546158e-06,1.0,19.81438393567713,0,0.05,0.0,0.0,0.9907191967838566,1.502705188546158e-06,0.05,0.0
23,23,42,0.9906496116614166,1.6278129871544038e-06,1.0,19.812992233228332,0,0.05,0.0,0.0,0.9906496116614166,1.6278129871544038e-06,0.05,0.0
24,24,43,0.9905754524690875,1.617124422214718e-06,1.0,19.81150904938175,0,0.05,0.0,0.0,0.9905754524690875,1.617124422214718e-06,0.05,0.0
25,25,44,0.9906370311980472,1.5683927642835577e-06,1.0,19.812740623960945,0,0.05,0.0,0.0,0.9906370311980472,1.5683927642835577e-06,0.05,0.0
