episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8947469167223724,True,fixed,50,0.05,0.010583630337256709,False
1,0.9892597237924053,True,fixed,50,0.05,5.454565163559133e-05,False
2,0.9909018738363582,True,fixed,50,0.05,2.811160270677071e-07,False
3,0.9900383334925584,True,fixed,50,0.05,1.4488088084796401e-09,False
4,0.990863627666377,True,fixed,50,0.05,7.46683603836118e-12,False
5,0.9913442370914184,True,fixed,50,0.05,3.8484770925606425e-14,False
6,0.9919088289605003,True,fixed,50,0.05,1.887379141862766e-16,False
7,0.9890538109716854,True,fixed,50,0.05,0.0,False
8,0.9895653191349331,True,fixed,50,0.05,0.0,False
9,0.9892690871910901,True,fixed,50,0.05,0.0,False
10,0.9885129700713982,True,fixed,50,0.05,0.0,False
11,0.9904162026728823,True,fixed,50,0.05,0.0,False
12,0.989810435800206,True,fixed,50,0.05,0.0,False
13,0.9901283092301459,True,fixed,50,0.05,0.0,False
14,0.9892320031190402,True,fixed,50,0.05,0.0,False
15,0.9894674642083966,True,fixed,50,0.05,0.0,False
16,0.98927809079339,True,fixed,50,0.05,0.0,False
17,0.9871836716287535,True,fixed,50,0.05,0.0,False
18,0.9902258994301527,True,fixed,50,0.05,0.0,False
19,0.9894075030524399,True,fixed,50,0.05,0.0,False
20,0.9907478839520896,True,fixed,50,0.05,0.0,False
21,0.9902508238738581,True,fixed,50,0.05,0.0,False
22,0.9917676480350852,True,fixed,50,0.05,0.0,False
23,0.9905283256025181,True,fixed,50,0.05,0.0,False
24,0.9887754792807439,True,fixed,50,0.05,0.0,False
25,0.9870880862515381,True,fixed,50,0.05,0.0,False
26,0.9903976335797013,True,fixed,50,0.05,0.0,False
27,0.9899386481306105,True,fixed,50,0.05,0.0,False
28,0.9898995562741781,True,fixed,50,0.05,0.0,False
29,0.990134814570345,True,fixed,50,0.05,0.0,False
30,0.9881498872430554,True,fixed,50,0.05,0.0,False
31,0.990130146591258,True,fixed,50,0.05,0.0,False
32,0.9887405760446435,True,fixed,50,0.05,0.0,False
33,0.9911428260847576,True,fixed,50,0.05,0.0,False
34,0.9887393759827938,True,fixed,50,0.05,0.0,False
35,0.9900756501480988,True,fixed,50,0.05,0.0,False
36,0.9918895446824036,True,fixed,50,0.05,0.0,False
37,0.9903079238164814,True,fixed,50,0.05,0.0,False
38,0.9891410725232517,True,fixed,50,0.05,0.0,False
39,0.9892122086485701,True,fixed,50,0.05,0.0,False
40,0.99039890127126,True,fixed,50,0.05,0.0,False
41,0.9908675434447871,True,fixed,50,0.05,0.0,False
42,0.9884641373808947,True,fixed,50,0.05,0.0,False
43,0.9897601285409574,True,fixed,50,0.05,0.0,False
44,0.9902421802750371,True,fixed,50,0.05,0.0,False
45,0.9878137133676838,True,fixed,50,0.05,0.0,False
46,0.989067278491634,True,fixed,50,0.05,0.0,False
47,0.9917596849005459,True,fixed,50,0.05,0.0,False
48,0.9877286794273914,True,fixed,50,0.05,0.0,False
49,0.9916199513005415,True,fixed,50,0.05,0.0,False
50,0.9911987675282263,True,fixed,50,0.05,0.0,False
51,0.9912701723166738,True,fixed,50,0.05,0.0,False
52,0.989123569360505,True,fixed,50,0.05,0.0,False
53,0.9896861432700064,True,fixed,50,0.05,0.0,False
54,0.9905423626427013,True,fixed,50,0.05,0.0,False
55,0.9918567919610862,True,fixed,50,0.05,0.0,False
56,0.9912954116931201,True,fixed,50,0.05,0.0,False
57,0.9917539433671325,True,fixed,50,0.05,0.0,False
58,0.9894711900374328,True,fixed,50,0.05,0.0,False
59,0.9914188116343348,True,fixed,50,0.05,0.0,False
60,0.9909552572757395,True,fixed,50,0.05,0.0,False
61,0.9906228884969498,True,fixed,50,0.05,0.0,False
62,0.9924580263772395,True,fixed,50,0.05,0.0,False
63,0.9892446175022797,True,fixed,50,0.05,0.0,False
64,0.9875455976174099,True,fixed,50,0.05,0.0,False
65,0.9891185084437498,True,fixed,50,0.05,0.0,False
66,0.9894513641956999,True,fixed,50,0.05,0.0,False
67,0.9937218976767038,True,fixed,50,0.05,0.0,False
68,0.990978557363479,True,fixed,50,0.05,0.0,False
69,0.9918744265556114,True,fixed,50,0.05,0.0,False
70,0.9903967713200039,True,fixed,50,0.05,0.0,False
71,0.9910759696369762,True,fixed,50,0.05,0.0,False
72,0.9890056709088966,True,fixed,50,0.05,0.0,False
73,0.9890469202492094,True,fixed,50,0.05,0.0,False
74,0.9897718616015726,True,fixed,50,0.05,0.0,False
75,0.9892022348689956,True,fixed,50,0.05,0.0,False
76,0.988548382165289,True,fixed,50,0.05,0.0,False
77,0.9886079403791905,True,fixed,50,0.05,0.0,False
78,0.9902354254747511,True,fixed,50,0.05,0.0,False
79,0.9905032166061694,True,fixed,50,0.05,0.0,False
80,0.9878237837301413,True,fixed,50,0.05,0.0,False
81,0.9892739469198437,True,fixed,50,0.05,0.0,False
82,0.9888628534290658,True,fixed,50,0.05,0.0,False
83,0.9901518158163077,True,fixed,50,0.05,0.0,False
84,0.9896928710717856,True,fixed,50,0.05,0.0,False
85,0.9897984789136528,True,fixed,50,0.05,0.0,False
86,0.9899536168992856,True,fixed,50,0.05,0.0,False
87,0.989833862232674,True,fixed,50,0.05,0.0,False
88,0.9926665672788024,True,fixed,50,0.05,0.0,False
89,0.9908259426726762,True,fixed,50,0.05,0.0,False
90,0.9918755027159551,True,fixed,50,0.05,0.0,False
91,0.9912193725635398,True,fixed,50,0.05,0.0,False
92,0.9880867651671729,True,fixed,50,0.05,0.0,False
93,0.9931279397775193,True,fixed,50,0.05,0.0,False
94,0.991222224881958,True,fixed,50,0.05,0.0,False
95,0.9923725157274953,True,fixed,50,0.05,0.0,False
96,0.9895803304711128,True,fixed,50,0.05,0.0,False
97,0.9886050144269655,True,fixed,50,0.05,0.0,False
98,0.9900992504469056,True,fixed,50,0.05,0.0,False
99,0.988989937090292,True,fixed,50,0.05,0.0,False
100,0.9883348677932957,True,fixed,50,0.05,0.0,False
101,0.990752125970845,True,fixed,50,0.05,0.0,False
102,0.9917107141497771,True,fixed,50,0.05,0.0,False
103,0.9871976624503149,True,fixed,50,0.05,0.0,False
104,0.9894944668511289,True,fixed,50,0.05,0.0,False
105,0.9893894060668542,True,fixed,50,0.05,0.0,False
106,0.9883824929586832,True,fixed,50,0.05,0.0,False
107,0.9915972989531621,True,fixed,50,0.05,0.0,False
108,0.9891000809384937,True,fixed,50,0.05,0.0,False
109,0.9878754905572726,True,fixed,50,0.05,0.0,False
110,0.98778905457987,True,fixed,50,0.05,0.0,False
111,0.9910528142234933,True,fixed,50,0.05,0.0,False
112,0.9892511744289649,True,fixed,50,0.05,0.0,False
113,0.9908282779409895,True,fixed,50,0.05,0.0,False
114,0.9879156338757911,True,fixed,50,0.05,0.0,False
115,0.9905561842761488,True,fixed,50,0.05,0.0,False
116,0.9912643136707574,True,fixed,50,0.05,0.0,False
117,0.9911255741401152,True,fixed,50,0.05,0.0,False
118,0.9915787698302785,True,fixed,50,0.05,0.0,False
119,0.9905281516072572,True,fixed,50,0.05,0.0,False
