window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,19,0.9850307154433253,0.00043003085464884863,1.0,19.700614308866506,0,0.05,0.0,0.0005319229280616844,0.9850307154433253,0.00043003085464884863,0.05,0.0
1,1,20,0.9898307638048112,1.0664755898498357e-06,1.0,19.796615276096222,0,0.05,0.0,2.741411198848853e-06,0.9898307638048112,1.0664755898498357e-06,0.05,0.0
2,2,21,0.9898803188088838,1.0565380797131707e-06,1.0,19.797606376177676,0,0.05,0.0,1.4128617069286697e-08,0.9898803188088838,1.0565380797131707e-06,0.05,0.0
3,3,22,0.98992360751882,1.1805860140010171e-06,1.0,19.7984721503764,0,0.05,0.0,7.281571590134205e-11,0.98992360751882,1.1805860140010171e-06,0.05,0.0
4,4,23,0.989948107124318,1.1976118789165234e-06,1.0,19.79896214248636,0,0.05,0.0,3.752754773600486e-13,0.989948107124318,1.1976118789165234e-06,0.05,0.0
5,5,24,0.9898436997050364,1.2135548795451293e-06,1.0,19.79687399410073,0,0.05,0.0,1.933675441989635e-15,0.9898436997050364,1.2135548795451293e-06,0.05,0.0
6,6,25,0.9896308921630423,1.4353574824741227e-06,1.0,19.792617843260846,0,0.05,0.0,9.43689570931383e-18,0.9896308921630423,1.4353574824741227e-06,0.05,0.0
7,7,26,0.9895553323940025,1.1995930211171278e-06,1.0,19.79110664788005,0,0.05,0.0,0.0,0.9895553323940025,1.1995930211171278e-06,0.05,0.0
8,8,27,0.9895995742519487,1.1924060399670186e-06,1.0,19.791991485038974,0,0.05,0.0,0.0,0.9895995742519487,1.1924060399670186e-06,0.05,0.0
9,9,28,0.989616286108911,1.196567543834848e-06,1.0,19.79232572217822,0,0.05,0.0,0.0,0.989616286108911,1.196567543834848e-06,0.05,0.0
10,10,29,0.9896595724778736,1.2021100679359313e-06,1.0,19.793191449557472,0,0.05,0.0,0.0,0.9896595724778736,1.2021100679359313e-06,0.05,0.0
11,11,30,0.9896414183364566,1.2500031165699786e-06,1.0,19.792828366729132,0,0.05,0.0,0.0,0.9896414183364566,1.2500031165699786e-06,0.05,0.0
12,12,31,0.9896271155323753,1.231726773318918e-06,1.0,19.792542310647505,0,0.05,0.0,0.0,0.9896271155323753,1.231726773318918e-06,0.05,0.0
13,13,32,0.9895736225445972,1.2664825707130022e-06,1.0,19.791472450891945,0,0.05,0.0,0.0,0.9895736225445972,1.2664825707130022e-06,0.05,0.0
14,14,33,0.9896243483873277,1.3716455811586141e-06,1.0,19.792486967746555,0,0.05,0.0,0.0,0.9896243483873277,1.3716455811586141e-06,0.05,0.0
15,15,34,0.9895997170305154,1.4025009447821478e-06,1.0,19.79199434061031,0,0.05,0.0,0.0,0.9895997170305154,1.4025009447821478e-06,0.05,0.0
16,16,35,0.9896301263275007,1.4120272956117312e-06,1.0,19.792602526550013,0,0.05,0.0,0.0,0.9896301263275007,1.4120272956117312e-06,0.05,0.0
17,17,36,0.9897606990219513,1.6440301813354428e-06,1.0,19.795213980439026,0,0.05,0.0,0.0,0.9897606990219513,1.6440301813354428e-06,0.05,0.0
18,18,37,0.9899169116313378,1.3025470415269941e-06,1.0,19.798338232626755,0,0.05,0.0,0.0,0.9899169116313378,1.3025470415269941e-06,0.05,0.0
19,19,38,0.9898626702859925,1.3249275610731048e-06,1.0,19.79725340571985,0,0.05,0.0,0.0,0.9898626702859925,1.3249275610731048e-06,0.05,0.0
20,20,39,0.989852905565799,1.3356283678755643e-06,1.0,19.79705811131598,0,0.05,0.0,0.0,0.989852905565799,1.3356283678755643e-06,0.05,0.0
