evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
1,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
2,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
3,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
4,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
5,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
6,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
7,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
8,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
9,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0953, threshold=0.2000.",0.9841458425293137,0.8890821614107702,0.9826586630781802,0.8874051726015858,False,no_candidate_improvement,-0.09525349047659437,0.2,False
10,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846418855374599,0.8896416580786681,0.9845331833088146,0.8895333452180659,False,no_candidate_improvement,-0.09499983809074863,0.2,False
11,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846172107989399,0.8896172096273176,0.9845273152193471,0.8895273168961599,False,no_candidate_improvement,-0.09499999832318717,0.2,False
12,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9845996050635634,0.8895996050575219,0.9845435182544194,0.8895435182564029,False,no_candidate_improvement,-0.09499999999801656,0.2,False
13,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846031848364809,0.88960318483645,0.9845415748951861,0.8895415748951729,False,no_candidate_improvement,-0.09500000000001319,0.2,False
14,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846062478454684,0.8896062478454683,0.9845422437821949,0.8895422437821947,False,no_candidate_improvement,-0.0950000000000002,0.2,False
15,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846253445081476,0.8896253445081477,0.9845439398142377,0.8895439398142377,False,no_candidate_improvement,-0.09499999999999997,0.2,False
16,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846281919812725,0.8896281919812725,0.9845472061563422,0.8895472061563422,False,no_candidate_improvement,-0.09499999999999997,0.2,False
17,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846459951268713,0.8896459951268714,0.9845736989596766,0.8895736989596766,False,no_candidate_improvement,-0.09499999999999997,0.2,False
18,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846715605606727,0.8896715605606728,0.9846083546779004,0.8896083546779004,False,no_candidate_improvement,-0.09499999999999997,0.2,False
19,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846900373686337,0.8896900373686337,0.9846294811815502,0.8896294811815503,False,no_candidate_improvement,-0.09499999999999997,0.2,False
20,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984703392938427,0.8897033929384272,0.9846372082556047,0.8896372082556049,False,no_candidate_improvement,-0.09499999999999986,0.2,False
21,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847145034207445,0.8897145034207445,0.9846616755715375,0.8896616755715375,False,no_candidate_improvement,-0.09499999999999997,0.2,False
22,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847167265612358,0.8897167265612358,0.984665781944576,0.889665781944576,False,no_candidate_improvement,-0.09499999999999997,0.2,False
23,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847226665485529,0.8897226665485529,0.9846694307057526,0.8896694307057527,False,no_candidate_improvement,-0.09499999999999997,0.2,False
24,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847494983521538,0.8897494983521537,0.9846692473794647,0.8896692473794646,False,no_candidate_improvement,-0.09500000000000008,0.2,False
25,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847721834953926,0.8897721834953927,0.9846610825607738,0.8896610825607738,False,no_candidate_improvement,-0.09499999999999997,0.2,False
26,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848083854918667,0.8898083854918666,0.9846910139290324,0.8896910139290323,False,no_candidate_improvement,-0.09500000000000008,0.2,False
27,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848306980930586,0.8898306980930586,0.9847170503420257,0.8897170503420258,False,no_candidate_improvement,-0.09499999999999997,0.2,False
28,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848411333167884,0.8898411333167882,0.9847294514424257,0.8897294514424255,False,no_candidate_improvement,-0.0950000000000002,0.2,False
29,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848422597232405,0.8898422597232406,0.9847313039255052,0.8897313039255054,False,no_candidate_improvement,-0.09499999999999986,0.2,False
30,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848352968627001,0.8898352968627,0.9847192257710315,0.8897192257710315,False,no_candidate_improvement,-0.09500000000000008,0.2,False
31,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848434406540285,0.8898434406540285,0.9847350380779024,0.8897350380779024,False,no_candidate_improvement,-0.09499999999999997,0.2,False
32,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848510424233596,0.8898510424233598,0.9847519033592408,0.8897519033592409,False,no_candidate_improvement,-0.09499999999999986,0.2,False
33,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848370776287488,0.8898370776287488,0.9847193430069652,0.8897193430069651,False,no_candidate_improvement,-0.09500000000000008,0.2,False
34,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848067594166355,0.8898067594166357,0.9846800766734435,0.8896800766734436,False,no_candidate_improvement,-0.09499999999999986,0.2,False
35,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847753662678009,0.889775366267801,0.9846635157720938,0.8896635157720938,False,no_candidate_improvement,-0.09499999999999997,0.2,False
36,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847444878033542,0.8897444878033542,0.9846563405762147,0.8896563405762147,False,no_candidate_improvement,-0.09499999999999997,0.2,False
37,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847045679106523,0.8897045679106524,0.9846110158777417,0.8896110158777418,False,no_candidate_improvement,-0.09499999999999986,0.2,False
38,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846599289790549,0.8896599289790549,0.984549493616587,0.889549493616587,False,no_candidate_improvement,-0.09499999999999997,0.2,False
39,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984627554087045,0.8896275540870452,0.9845086370922337,0.8895086370922338,False,no_candidate_improvement,-0.09499999999999986,0.2,False
40,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846060956631041,0.8896060956631041,0.9844865404877285,0.8894865404877286,False,no_candidate_improvement,-0.09499999999999997,0.2,False
41,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9845786396707707,0.8895786396707708,0.9844698465682977,0.8894698465682978,False,no_candidate_improvement,-0.09499999999999997,0.2,False
42,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9845524694077186,0.8895524694077187,0.9844598927275938,0.889459892727594,False,no_candidate_improvement,-0.09499999999999986,0.2,False
43,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9845307172789821,0.8895307172789823,0.9844334401877887,0.8894334401877888,False,no_candidate_improvement,-0.09499999999999986,0.2,False
44,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984495850890395,0.8894958508903951,0.9843810311101848,0.8893810311101848,False,no_candidate_improvement,-0.09499999999999997,0.2,False
45,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844636478483789,0.889463647848379,0.9843637291318287,0.8893637291318287,False,no_candidate_improvement,-0.09499999999999997,0.2,False
46,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844201281215114,0.8894201281215114,0.9843306946180076,0.8893306946180076,False,no_candidate_improvement,-0.09499999999999997,0.2,False
47,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844094987953753,0.8894094987953753,0.9843255418487666,0.8893255418487667,False,no_candidate_improvement,-0.09499999999999997,0.2,False
48,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9843983538954287,0.8893983538954288,0.9843093486742029,0.889309348674203,False,no_candidate_improvement,-0.09499999999999997,0.2,False
49,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984383522242496,0.889383522242496,0.9842923321627508,0.8892923321627507,False,no_candidate_improvement,-0.09500000000000008,0.2,False
50,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9843597140240844,0.8893597140240844,0.9842726175602884,0.8892726175602884,False,no_candidate_improvement,-0.09499999999999997,0.2,False
51,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9843254116621066,0.8893254116621065,0.984232879078003,0.889232879078003,False,no_candidate_improvement,-0.09500000000000008,0.2,False
52,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984295260742418,0.8892952607424182,0.9842153151420884,0.8892153151420885,False,no_candidate_improvement,-0.09499999999999986,0.2,False
53,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842869147757336,0.8892869147757336,0.9842157512281325,0.8892157512281326,False,no_candidate_improvement,-0.09499999999999997,0.2,False
54,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842822407659018,0.8892822407659017,0.9842096239210874,0.8892096239210873,False,no_candidate_improvement,-0.09500000000000008,0.2,False
55,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842603110239775,0.8892603110239776,0.9841840102113151,0.8891840102113152,False,no_candidate_improvement,-0.09499999999999986,0.2,False
56,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984251115572493,0.8892511155724929,0.9841684972357797,0.8891684972357796,False,no_candidate_improvement,-0.09500000000000008,0.2,False
57,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842290342089479,0.8892290342089477,0.9841630102660699,0.8891630102660697,False,no_candidate_improvement,-0.0950000000000002,0.2,False
58,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842304269817441,0.8892304269817443,0.9841626077528207,0.8891626077528209,False,no_candidate_improvement,-0.09499999999999986,0.2,False
59,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842141353923509,0.8892141353923508,0.9841462605363203,0.8891462605363202,False,no_candidate_improvement,-0.09500000000000008,0.2,False
60,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842017446028193,0.8892017446028191,0.9841335075242592,0.889133507524259,False,no_candidate_improvement,-0.0950000000000002,0.2,False
61,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842029182249789,0.889202918224979,0.9841353664626785,0.8891353664626787,False,no_candidate_improvement,-0.09499999999999986,0.2,False
62,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842003145593201,0.8892003145593202,0.98413203244859,0.8891320324485902,False,no_candidate_improvement,-0.09499999999999986,0.2,False
63,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842018353009729,0.889201835300973,0.9841306016691861,0.8891306016691861,False,no_candidate_improvement,-0.09499999999999997,0.2,False
64,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984221431940606,0.889221431940606,0.9841215249837021,0.8891215249837021,False,no_candidate_improvement,-0.09499999999999997,0.2,False
65,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842490017132237,0.8892490017132237,0.9841357103986315,0.8891357103986315,False,no_candidate_improvement,-0.09499999999999997,0.2,False
66,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9842870185838782,0.8892870185838783,0.9841502479753982,0.8891502479753982,False,no_candidate_improvement,-0.09499999999999997,0.2,False
67,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9843256388739192,0.8893256388739192,0.9841697856497778,0.8891697856497778,False,no_candidate_improvement,-0.09499999999999997,0.2,False
