episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8902305149309961,True,fixed,50,0.05,0.0110618528849795,False
1,0.9897242352290625,True,fixed,50,0.05,5.701030314562816e-05,False
2,0.9911240246955684,True,fixed,50,0.05,2.9381828691166235e-07,False
3,0.9896433246726803,True,fixed,50,0.05,1.514273404445987e-09,False
4,0.989392451757096,True,fixed,50,0.05,7.804223933760568e-12,False
5,0.9901063346947625,True,fixed,50,0.05,4.022115973612017e-14,False
6,0.9911726294459,True,fixed,50,0.05,1.9984014443252818e-16,False
7,0.9905626116410976,True,fixed,50,0.05,0.0,False
8,0.9891798209552961,True,fixed,50,0.05,0.0,False
9,0.9891746054137617,True,fixed,50,0.05,0.0,False
10,0.9898406879415093,True,fixed,50,0.05,0.0,False
11,0.9880721251314464,True,fixed,50,0.05,0.0,False
12,0.9904473061170737,True,fixed,50,0.05,0.0,False
13,0.9907761752034085,True,fixed,50,0.05,0.0,False
14,0.9872113219815543,True,fixed,50,0.05,0.0,False
15,0.9928141328541145,True,fixed,50,0.05,0.0,False
16,0.9909137345919757,True,fixed,50,0.05,0.0,False
17,0.9880412900598579,True,fixed,50,0.05,0.0,False
18,0.9892499595270039,True,fixed,50,0.05,0.0,False
19,0.988135996854651,True,fixed,50,0.05,0.0,False
20,0.990996195621501,True,fixed,50,0.05,0.0,False
21,0.9898841903334411,True,fixed,50,0.05,0.0,False
22,0.9878781160784468,True,fixed,50,0.05,0.0,False
23,0.9889274542406167,True,fixed,50,0.05,0.0,False
24,0.988354106507962,True,fixed,50,0.05,0.0,False
25,0.9903869428917866,True,fixed,50,0.05,0.0,False
26,0.9893737675808849,True,fixed,50,0.05,0.0,False
27,0.9904863983575041,True,fixed,50,0.05,0.0,False
28,0.99063363795169,True,fixed,50,0.05,0.0,False
29,0.990716867394119,True,fixed,50,0.05,0.0,False
30,0.9883452941804702,True,fixed,50,0.05,0.0,False
31,0.9896454026527551,True,fixed,50,0.05,0.0,False
32,0.991438666999899,True,fixed,50,0.05,0.0,False
33,0.9899566239061245,True,fixed,50,0.05,0.0,False
34,0.9893781617701743,True,fixed,50,0.05,0.0,False
35,0.9898428986385764,True,fixed,50,0.05,0.0,False
36,0.9921074072863412,True,fixed,50,0.05,0.0,False
37,0.9895170065387181,True,fixed,50,0.05,0.0,False
38,0.9892858330498305,True,fixed,50,0.05,0.0,False
39,0.9886535230665655,True,fixed,50,0.05,0.0,False
40,0.9890512500199756,True,fixed,50,0.05,0.0,False
41,0.9896804718598128,True,fixed,50,0.05,0.0,False
42,0.9896116672063462,True,fixed,50,0.05,0.0,False
43,0.9922875010709646,True,fixed,50,0.05,0.0,False
44,0.989692345325345,True,fixed,50,0.05,0.0,False
45,0.9901209833282529,True,fixed,50,0.05,0.0,False
46,0.9877895453802554,True,fixed,50,0.05,0.0,False
47,0.9895871452358258,True,fixed,50,0.05,0.0,False
48,0.9888078287005813,True,fixed,50,0.05,0.0,False
49,0.9896166422954383,True,fixed,50,0.05,0.0,False
50,0.9894215262043781,True,fixed,50,0.05,0.0,False
51,0.9893333220951434,True,fixed,50,0.05,0.0,False
