window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,19,0.9847906641849408,0.0004722524221049194,1.0,19.695813283698815,0,0.05,0.0,0.0005559579264265045,0.9847906641849408,0.0004722524221049194,0.05,0.0
1,1,20,0.9898289482194661,1.7124557664596166e-06,1.0,19.796578964389322,0,0.05,0.0,2.8652821775294603e-06,0.9898289482194661,1.7124557664596166e-06,0.05,0.0
2,2,21,0.989836945974685,1.7119961464109335e-06,1.0,19.7967389194937,0,0.05,0.0,1.4767020248052099e-08,0.989836945974685,1.7119961464109335e-06,0.05,0.0
3,3,22,0.9896746505438289,1.7946784859664628e-06,1.0,19.793493010876578,0,0.05,0.0,7.61059024689814e-11,0.9896746505438289,1.7946784859664628e-06,0.05,0.0
4,4,23,0.9896388570222256,1.821263360044246e-06,1.0,19.792777140444514,0,0.05,0.0,3.92232246682056e-13,0.9896388570222256,1.821263360044246e-06,0.05,0.0
5,5,24,0.9895869397597691,1.898061374364116e-06,1.0,19.791738795195382,0,0.05,0.0,2.021049994027635e-15,0.9895869397597691,1.898061374364116e-06,0.05,0.0
6,6,25,0.9896009701696202,1.9163762176005785e-06,1.0,19.792019403392406,0,0.05,0.0,9.992007221626408e-18,0.9896009701696202,1.9163762176005785e-06,0.05,0.0
7,7,26,0.9895110270763695,1.787361864357652e-06,1.0,19.79022054152739,0,0.05,0.0,0.0,0.9895110270763695,1.787361864357652e-06,0.05,0.0
8,8,27,0.9895072164121897,1.7796232951605468e-06,1.0,19.790144328243795,0,0.05,0.0,0.0,0.9895072164121897,1.7796232951605468e-06,0.05,0.0
9,9,28,0.9895799072620095,1.8324212204858078e-06,1.0,19.79159814524019,0,0.05,0.0,0.0,0.9895799072620095,1.8324212204858078e-06,0.05,0.0
10,10,29,0.9896570203610274,1.8828952281363385e-06,1.0,19.793140407220548,0,0.05,0.0,0.0,0.9896570203610274,1.8828952281363385e-06,0.05,0.0
11,11,30,0.9895822506729754,1.9616493115168983e-06,1.0,19.791645013459508,0,0.05,0.0,0.0,0.9895822506729754,1.9616493115168983e-06,0.05,0.0
12,12,31,0.9896609145490409,1.8416367571878466e-06,1.0,19.793218290980818,0,0.05,0.0,0.0,0.9896609145490409,1.8416367571878466e-06,0.05,0.0
13,13,32,0.9897104825931822,1.966279370100813e-06,1.0,19.794209651863643,0,0.05,0.0,0.0,0.9897104825931822,1.966279370100813e-06,0.05,0.0
14,14,33,0.989669505028318,1.9108444496009014e-06,1.0,19.79339010056636,0,0.05,0.0,0.0,0.989669505028318,1.9108444496009014e-06,0.05,0.0
15,15,34,0.9897778470177488,1.6012173130605064e-06,1.0,19.795556940354977,0,0.05,0.0,0.0,0.9897778470177488,1.6012173130605064e-06,0.05,0.0
16,16,35,0.989629285306972,1.1184067328144607e-06,1.0,19.79258570613944,0,0.05,0.0,0.0,0.989629285306972,1.1184067328144607e-06,0.05,0.0
17,17,36,0.9896889689416902,1.3394085255055727e-06,1.0,19.793779378833804,0,0.05,0.0,0.0,0.9896889689416902,1.3394085255055727e-06,0.05,0.0
18,18,37,0.9897627547656332,1.1997004462105934e-06,1.0,19.795255095312665,0,0.05,0.0,0.0,0.9897627547656332,1.1997004462105934e-06,0.05,0.0
19,19,38,0.9897645484417745,1.1979219972486568e-06,1.0,19.79529096883549,0,0.05,0.0,0.0,0.9897645484417745,1.1979219972486568e-06,0.05,0.0
20,20,39,0.9897904247523703,1.1263622694203993e-06,1.0,19.795808495047407,0,0.05,0.0,0.0,0.9897904247523703,1.1263622694203993e-06,0.05,0.0
21,21,40,0.989693177472294,1.0715300307465068e-06,1.0,19.79386354944588,0,0.05,0.0,0.0,0.989693177472294,1.0715300307465068e-06,0.05,0.0
22,22,41,0.9896829915486126,1.069610053678511e-06,1.0,19.793659830972253,0,0.05,0.0,0.0,0.9896829915486126,1.069610053678511e-06,0.05,0.0
23,23,42,0.9897696691050075,8.994726398455668e-07,1.0,19.79539338210015,0,0.05,0.0,0.0,0.9897696691050075,8.994726398455668e-07,0.05,0.0
24,24,43,0.989937671446525,1.1527554496399271e-06,1.0,19.7987534289305,0,0.05,0.0,0.0,0.989937671446525,1.1527554496399271e-06,0.05,0.0
25,25,44,0.9900045833873943,1.0259035913633977e-06,1.0,19.800091667747886,0,0.05,0.0,0.0,0.9900045833873943,1.0259035913633977e-06,0.05,0.0
26,26,45,0.9899912854092175,1.0190942629214442e-06,1.0,19.79982570818435,0,0.05,0.0,0.0,0.9899912854092175,1.0190942629214442e-06,0.05,0.0
27,27,46,0.989912074299186,1.2361364073102925e-06,1.0,19.79824148598372,0,0.05,0.0,0.0,0.989912074299186,1.2361364073102925e-06,0.05,0.0
28,28,47,0.9898671116431021,1.222901305480835e-06,1.0,19.797342232862043,0,0.05,0.0,0.0,0.9898671116431021,1.222901305480835e-06,0.05,0.0
29,29,48,0.9897758211805467,1.2412932454551627e-06,1.0,19.795516423610934,0,0.05,0.0,0.0,0.9897758211805467,1.2412932454551627e-06,0.05,0.0
30,30,49,0.9897208099256126,1.1952555043550211e-06,1.0,19.794416198512252,0,0.05,0.0,0.0,0.9897208099256126,1.1952555043550211e-06,0.05,0.0
31,31,50,0.9897746215268081,1.1022361749648757e-06,1.0,19.79549243053616,0,0.05,0.0,0.0,0.9897746215268081,1.1022361749648757e-06,0.05,0.0
32,32,51,0.9897590174989274,1.1108950728275812e-06,1.0,19.795180349978548,0,0.05,0.0,0.0,0.9897590174989274,1.1108950728275812e-06,0.05,0.0
33,33,52,0.9896300400023298,9.936897951772228e-07,1.0,19.792600800046596,0,0.05,0.0,0.0,0.9896300400023298,9.936897951772228e-07,0.05,0.0
34,34,53,0.989634458163599,9.969464787179267e-07,1.0,19.79268916327198,0,0.05,0.0,0.0,0.989634458163599,9.969464787179267e-07,0.05,0.0
35,35,54,0.9896906523462669,1.0281396831679213e-06,1.0,19.793813046925337,0,0.05,0.0,0.0,0.9896906523462669,1.0281396831679213e-06,0.05,0.0
36,36,55,0.9896825023299171,1.0269200961884192e-06,1.0,19.79365004659834,0,0.05,0.0,0.0,0.9896825023299171,1.0269200961884192e-06,0.05,0.0
37,37,56,0.9895127783667628,7.511093869419087e-07,1.0,19.790255567335254,0,0.05,0.0,0.0,0.9895127783667628,7.511093869419087e-07,0.05,0.0
