evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
1,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
2,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
3,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
4,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
5,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
6,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
7,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
8,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
9,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0953, threshold=0.2000.",0.984603942653707,0.8895408751453087,0.9830752203005477,0.887824150157745,False,no_candidate_improvement,-0.09525107014280276,0.2,False
10,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985133261592491,0.890133037117562,0.9850014833864158,0.8900008682448741,False,no_candidate_improvement,-0.09500061514154168,0.2,False
11,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851847820830884,0.8901847809265627,0.985051886987022,0.8900518838807174,False,no_candidate_improvement,-0.09500000310630452,0.2,False
12,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852405252115316,0.890240525205569,0.9850970127347713,0.8900970127210083,False,no_candidate_improvement,-0.09500000001376308,0.2,False
13,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852904103672688,0.8902904103672382,0.9851346986465184,0.8901346986464466,False,no_candidate_improvement,-0.0950000000000718,0.2,False
14,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985326560315815,0.8903265603158147,0.985181934513174,0.8901819345131735,False,no_candidate_improvement,-0.09500000000000053,0.2,False
15,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853602649106283,0.8903602649106285,0.9852398520332155,0.8902398520332157,False,no_candidate_improvement,-0.09499999999999986,0.2,False
16,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853644704432231,0.890364470443223,0.9852496940828622,0.8902496940828621,False,no_candidate_improvement,-0.09500000000000008,0.2,False
17,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853476129169977,0.8903476129169976,0.9852061182974915,0.8902061182974914,False,no_candidate_improvement,-0.09500000000000008,0.2,False
18,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853357161766313,0.8903357161766314,0.9851818444977889,0.890181844497789,False,no_candidate_improvement,-0.09499999999999986,0.2,False
19,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9853166851524818,0.8903166851524817,0.9851441751707131,0.890144175170713,False,no_candidate_improvement,-0.09500000000000008,0.2,False
20,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852961195717697,0.8902961195717698,0.9851137378756738,0.8901137378756739,False,no_candidate_improvement,-0.09499999999999986,0.2,False
21,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852763155943032,0.8902763155943031,0.9850976922886776,0.8900976922886775,False,no_candidate_improvement,-0.09500000000000008,0.2,False
22,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985243310161275,0.890243310161275,0.9850827580337478,0.8900827580337478,False,no_candidate_improvement,-0.09499999999999997,0.2,False
23,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9852042631478556,0.8902042631478556,0.9850800346041244,0.8900800346041244,False,no_candidate_improvement,-0.09499999999999997,0.2,False
24,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851796894404761,0.8901796894404761,0.9850841634643764,0.8900841634643765,False,no_candidate_improvement,-0.09499999999999997,0.2,False
25,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851512767092252,0.8901512767092251,0.985097234959943,0.8900972349599429,False,no_candidate_improvement,-0.09500000000000008,0.2,False
26,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851312305102997,0.8901312305102997,0.9850716499994266,0.8900716499994267,False,no_candidate_improvement,-0.09499999999999997,0.2,False
27,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851283215627914,0.8901283215627913,0.985065155217933,0.890065155217933,False,no_candidate_improvement,-0.09500000000000008,0.2,False
28,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851179129463817,0.8901179129463819,0.9850474814565078,0.8900474814565079,False,no_candidate_improvement,-0.09499999999999986,0.2,False
29,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851064262574883,0.8901064262574885,0.9850214513614209,0.8900214513614211,False,no_candidate_improvement,-0.09499999999999986,0.2,False
30,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850913402011395,0.8900913402011394,0.9849969590097152,0.8899969590097151,False,no_candidate_improvement,-0.09500000000000008,0.2,False
31,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985054123057661,0.8900541230576611,0.9849460075212054,0.8899460075212055,False,no_candidate_improvement,-0.09499999999999997,0.2,False
32,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850113766232381,0.890011376623238,0.9848820720943822,0.8898820720943821,False,no_candidate_improvement,-0.09500000000000008,0.2,False
33,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849743519503029,0.8899743519503029,0.9848402743471021,0.8898402743471021,False,no_candidate_improvement,-0.09499999999999997,0.2,False
34,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849490181574712,0.8899490181574713,0.9848374415048576,0.8898374415048578,False,no_candidate_improvement,-0.09499999999999986,0.2,False
35,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849232578103596,0.8899232578103596,0.984828584563198,0.889828584563198,False,no_candidate_improvement,-0.09499999999999997,0.2,False
36,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849249849341914,0.8899249849341915,0.9848283286455253,0.8898283286455253,False,no_candidate_improvement,-0.09499999999999997,0.2,False
37,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849382593890825,0.8899382593890826,0.9848200619778943,0.8898200619778943,False,no_candidate_improvement,-0.09499999999999997,0.2,False
38,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849538686002868,0.8899538686002867,0.9848165581560164,0.8898165581560163,False,no_candidate_improvement,-0.09500000000000008,0.2,False
39,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849847131938922,0.8899847131938923,0.9848186708268499,0.88981867082685,False,no_candidate_improvement,-0.09499999999999997,0.2,False
40,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985009600912595,0.8900096009125951,0.9848299074381434,0.8898299074381434,False,no_candidate_improvement,-0.09499999999999997,0.2,False
41,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850472316941972,0.8900472316941972,0.9848656592004623,0.8898656592004623,False,no_candidate_improvement,-0.09499999999999997,0.2,False
42,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850967493495931,0.8900967493495932,0.9849336305835408,0.8899336305835408,False,no_candidate_improvement,-0.09499999999999997,0.2,False
43,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851351162951094,0.8901351162951094,0.9850071456931571,0.8900071456931571,False,no_candidate_improvement,-0.09499999999999997,0.2,False
44,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985161056104982,0.8901610561049818,0.9850491501973384,0.8900491501973382,False,no_candidate_improvement,-0.0950000000000002,0.2,False
45,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985178796500894,0.890178796500894,0.9851066432148302,0.8901066432148302,False,no_candidate_improvement,-0.09499999999999997,0.2,False
46,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851684347888428,0.8901684347888429,0.9850735933237907,0.8900735933237909,False,no_candidate_improvement,-0.09499999999999986,0.2,False
47,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851359689423893,0.8901359689423891,0.9850009547865257,0.8900009547865255,False,no_candidate_improvement,-0.0950000000000002,0.2,False
48,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850948707302078,0.8900948707302078,0.9849223403880426,0.8899223403880425,False,no_candidate_improvement,-0.09500000000000008,0.2,False
49,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850418072568518,0.8900418072568519,0.9848492609197327,0.8898492609197328,False,no_candidate_improvement,-0.09499999999999986,0.2,False
50,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849803564746263,0.8899803564746265,0.9847576452061119,0.889757645206112,False,no_candidate_improvement,-0.09499999999999986,0.2,False
51,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849127915057115,0.8899127915057115,0.9846729015829768,0.8896729015829767,False,no_candidate_improvement,-0.09500000000000008,0.2,False
52,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848490404817042,0.8898490404817041,0.9846244343832328,0.8896244343832327,False,no_candidate_improvement,-0.09500000000000008,0.2,False
53,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847967836314353,0.8897967836314354,0.9845942573394179,0.889594257339418,False,no_candidate_improvement,-0.09499999999999986,0.2,False
54,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847431799650508,0.8897431799650508,0.9845906238086881,0.8895906238086881,False,no_candidate_improvement,-0.09499999999999997,0.2,False
55,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847066233762772,0.8897066233762774,0.9845939639515907,0.8895939639515908,False,no_candidate_improvement,-0.09499999999999986,0.2,False
56,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846727392571071,0.8896727392571071,0.9845874224331707,0.8895874224331707,False,no_candidate_improvement,-0.09499999999999997,0.2,False
57,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846398708831081,0.8896398708831083,0.9845656885458861,0.8895656885458862,False,no_candidate_improvement,-0.09499999999999986,0.2,False
58,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9846138507581632,0.8896138507581632,0.9845442271903102,0.8895442271903102,False,no_candidate_improvement,-0.09499999999999997,0.2,False
59,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9845721362152549,0.8895721362152548,0.9844698106187468,0.8894698106187467,False,no_candidate_improvement,-0.09500000000000008,0.2,False
60,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9845459119166066,0.8895459119166065,0.984423035944244,0.8894230359442439,False,no_candidate_improvement,-0.09500000000000008,0.2,False
61,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9845213491926333,0.8895213491926335,0.9843787638984199,0.8893787638984201,False,no_candidate_improvement,-0.09499999999999986,0.2,False
62,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844932632948874,0.8894932632948873,0.9843449061886472,0.8893449061886471,False,no_candidate_improvement,-0.09500000000000008,0.2,False
63,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844684628736617,0.8894684628736618,0.9843281823990211,0.8893281823990211,False,no_candidate_improvement,-0.09499999999999997,0.2,False
64,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844332778808175,0.8894332778808176,0.9843036000733625,0.8893036000733626,False,no_candidate_improvement,-0.09499999999999986,0.2,False
65,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844121493824746,0.8894121493824745,0.9843115553273585,0.8893115553273584,False,no_candidate_improvement,-0.09500000000000008,0.2,False
66,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9844076920009497,0.8894076920009496,0.984314836745131,0.8893148367451309,False,no_candidate_improvement,-0.09500000000000008,0.2,False
67,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984412930231483,0.889412930231483,0.98431275565564,0.88931275565564,False,no_candidate_improvement,-0.09499999999999997,0.2,False
