window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,19,0.9851205855473839,0.0004486035246164564,1.0,19.70241171094768,0,0.05,0.0,0.0005411585648298199,0.9851205855473839,0.0004486035246164564,0.05,0.0
1,1,20,0.9899044333343688,7.254083872731153e-07,1.0,19.798088666687377,0,0.05,0.0,2.7890095946485614e-06,0.9899044333343688,7.254083872731153e-07,0.05,0.0
2,2,21,0.9899603957154184,6.703365479295539e-07,1.0,19.79920791430837,0,0.05,0.0,1.4373928501454358e-08,0.9899603957154184,6.703365479295539e-07,0.05,0.0
3,3,22,0.9900527870593196,7.896112163466046e-07,1.0,19.801055741186392,0,0.05,0.0,7.407999591535486e-11,0.9900527870593196,7.896112163466046e-07,0.05,0.0
4,4,23,0.9900818316603495,7.377024714494304e-07,1.0,19.80163663320699,0,0.05,0.0,3.817912652692712e-13,0.9900818316603495,7.377024714494304e-07,0.05,0.0
5,5,24,0.9900798366656767,7.356436864026311e-07,1.0,19.801596733313534,0,0.05,0.0,1.9673151996357773e-15,0.9900798366656767,7.356436864026311e-07,0.05,0.0
6,6,25,0.990183900642125,8.413496573482357e-07,1.0,19.8036780128425,0,0.05,0.0,9.769962616701377e-18,0.990183900642125,8.413496573482357e-07,0.05,0.0
7,7,26,0.9902374074222753,8.29350887270544e-07,1.0,19.804748148445505,0,0.05,0.0,0.0,0.9902374074222753,8.29350887270544e-07,0.05,0.0
8,8,27,0.990247670030582,8.374512963438897e-07,1.0,19.80495340061164,0,0.05,0.0,0.0,0.990247670030582,8.374512963438897e-07,0.05,0.0
9,9,28,0.9902616958426137,8.16536447070981e-07,1.0,19.805233916852274,0,0.05,0.0,0.0,0.9902616958426137,8.16536447070981e-07,0.05,0.0
10,10,29,0.990324207877076,7.682338741781215e-07,1.0,19.80648415754152,0,0.05,0.0,0.0,0.990324207877076,7.682338741781215e-07,0.05,0.0
11,11,30,0.9904196451564224,7.59988790670951e-07,1.0,19.80839290312845,0,0.05,0.0,0.0,0.9904196451564224,7.59988790670951e-07,0.05,0.0
