evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
1,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
2,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
3,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
4,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
5,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
6,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
7,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
8,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.2,True
9,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0953, threshold=0.2000.",0.9844138665458825,0.8893505909565743,0.9828309691373164,0.8875789232617866,False,no_candidate_improvement,-0.09525204587552982,0.2,False
10,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849431238016398,0.8899428981364809,0.9848425306194614,0.8898416847049301,False,no_candidate_improvement,-0.09500084591453128,0.2,False
11,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849921734421807,0.8899921722788975,0.9849247265758555,0.8899247236914806,False,no_candidate_improvement,-0.09500000288437493,0.2,False
12,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850052096561308,0.8900052096501412,0.9849462943600277,0.8899462943470343,False,no_candidate_improvement,-0.09500000001299336,0.2,False
13,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850073044553979,0.890007304455367,0.984950554857719,0.8899505548576838,False,no_candidate_improvement,-0.09500000000003517,0.2,False
14,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850135317845373,0.8900135317845372,0.9849546245361096,0.8899546245361094,False,no_candidate_improvement,-0.0950000000000002,0.2,False
15,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850261752733227,0.8900261752733225,0.9849616069240508,0.8899616069240506,False,no_candidate_improvement,-0.0950000000000002,0.2,False
16,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850585636966036,0.8900585636966036,0.9849580492081083,0.8899580492081083,False,no_candidate_improvement,-0.09499999999999997,0.2,False
17,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850750527528943,0.8900750527528943,0.9849708182040776,0.8899708182040776,False,no_candidate_improvement,-0.09499999999999997,0.2,False
18,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850887413637652,0.8900887413637653,0.9849801570853173,0.8899801570853173,False,no_candidate_improvement,-0.09499999999999997,0.2,False
19,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851094652545432,0.8901094652545434,0.9850079158621804,0.8900079158621805,False,no_candidate_improvement,-0.09499999999999986,0.2,False
20,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851316566622893,0.8901316566622894,0.9850398198294953,0.8900398198294954,False,no_candidate_improvement,-0.09499999999999986,0.2,False
21,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9851144606746673,0.8901144606746675,0.9850131984934489,0.8900131984934491,False,no_candidate_improvement,-0.09499999999999986,0.2,False
22,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985094860020791,0.8900948600207912,0.9849632706932961,0.8899632706932963,False,no_candidate_improvement,-0.09499999999999986,0.2,False
23,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850955200739989,0.890095520073999,0.9849646093995484,0.8899646093995485,False,no_candidate_improvement,-0.09499999999999997,0.2,False
24,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850772885089472,0.8900772885089472,0.9849311164633758,0.8899311164633759,False,no_candidate_improvement,-0.09499999999999997,0.2,False
25,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9850489731209533,0.8900489731209532,0.9848856048009813,0.8898856048009812,False,no_candidate_improvement,-0.09500000000000008,0.2,False
26,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.985002318074562,0.890002318074562,0.9848498817600505,0.8898498817600505,False,no_candidate_improvement,-0.09499999999999997,0.2,False
27,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849644790439317,0.8899644790439316,0.9848119822450443,0.8898119822450442,False,no_candidate_improvement,-0.09500000000000008,0.2,False
28,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849322456485641,0.8899322456485642,0.9847964350403476,0.8897964350403478,False,no_candidate_improvement,-0.09499999999999986,0.2,False
29,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984909614994144,0.8899096149941441,0.9847981431567379,0.889798143156738,False,no_candidate_improvement,-0.09499999999999986,0.2,False
30,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848983473387563,0.8898983473387563,0.9848130940784482,0.8898130940784482,False,no_candidate_improvement,-0.09499999999999997,0.2,False
31,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849060663792818,0.8899060663792817,0.9848105198831496,0.8898105198831495,False,no_candidate_improvement,-0.09500000000000008,0.2,False
32,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849316844635695,0.8899316844635695,0.9848269948743864,0.8898269948743864,False,no_candidate_improvement,-0.09499999999999997,0.2,False
33,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849495868616241,0.8899495868616242,0.9848271735556144,0.8898271735556145,False,no_candidate_improvement,-0.09499999999999997,0.2,False
34,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849553736667719,0.8899553736667718,0.9848350713562596,0.8898350713562595,False,no_candidate_improvement,-0.09500000000000008,0.2,False
35,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849613874572297,0.8899613874572297,0.9848462316981842,0.8898462316981842,False,no_candidate_improvement,-0.09499999999999997,0.2,False
36,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849595115229649,0.8899595115229649,0.9848420899081998,0.8898420899081998,False,no_candidate_improvement,-0.09499999999999997,0.2,False
37,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984964993109157,0.889964993109157,0.9848543436968005,0.8898543436968005,False,no_candidate_improvement,-0.09499999999999997,0.2,False
38,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849522513744041,0.889952251374404,0.9848244480472402,0.8898244480472401,False,no_candidate_improvement,-0.09500000000000008,0.2,False
39,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849180603003621,0.8899180603003621,0.9847518032303637,0.8897518032303637,False,no_candidate_improvement,-0.09499999999999997,0.2,False
40,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848833275912853,0.8898833275912853,0.9847175232341349,0.8897175232341349,False,no_candidate_improvement,-0.09499999999999997,0.2,False
41,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848729496841846,0.8898729496841847,0.9847155793799459,0.889715579379946,False,no_candidate_improvement,-0.09499999999999986,0.2,False
42,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848750761388508,0.889875076138851,0.9847147697154839,0.889714769715484,False,no_candidate_improvement,-0.09499999999999986,0.2,False
43,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848553832316813,0.8898553832316815,0.9847188067031287,0.8897188067031289,False,no_candidate_improvement,-0.09499999999999986,0.2,False
44,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848569359059948,0.8898569359059948,0.984719354149159,0.889719354149159,False,no_candidate_improvement,-0.09499999999999997,0.2,False
45,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848565416467082,0.8898565416467082,0.9847190429838041,0.8897190429838041,False,no_candidate_improvement,-0.09499999999999997,0.2,False
46,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848659183961834,0.8898659183961835,0.9847286747657527,0.8897286747657527,False,no_candidate_improvement,-0.09499999999999997,0.2,False
47,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848743645903282,0.8898743645903282,0.9847358428435417,0.8897358428435417,False,no_candidate_improvement,-0.09499999999999997,0.2,False
48,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848953813289716,0.8898953813289715,0.984763926092262,0.889763926092262,False,no_candidate_improvement,-0.09500000000000008,0.2,False
49,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849213814975443,0.8899213814975442,0.9848322507247085,0.8898322507247084,False,no_candidate_improvement,-0.09500000000000008,0.2,False
50,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849248659471715,0.8899248659471717,0.9848429255103651,0.8898429255103653,False,no_candidate_improvement,-0.09499999999999986,0.2,False
51,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9849038103225706,0.8899038103225705,0.9848072335110043,0.8898072335110042,False,no_candidate_improvement,-0.09500000000000008,0.2,False
52,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848677210224871,0.889867721022487,0.9847864663995468,0.8897864663995467,False,no_candidate_improvement,-0.09500000000000008,0.2,False
53,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848430281739562,0.8898430281739562,0.9847522425737895,0.8897522425737895,False,no_candidate_improvement,-0.09499999999999997,0.2,False
54,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848257982619192,0.8898257982619192,0.9847413257590472,0.8897413257590472,False,no_candidate_improvement,-0.09499999999999997,0.2,False
55,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848152172157159,0.8898152172157159,0.9847320502975744,0.8897320502975744,False,no_candidate_improvement,-0.09499999999999997,0.2,False
56,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.984803297792155,0.8898032977921548,0.9847253881526525,0.8897253881526523,False,no_candidate_improvement,-0.0950000000000002,0.2,False
57,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847844254543393,0.8897844254543393,0.984718312928074,0.889718312928074,False,no_candidate_improvement,-0.09499999999999997,0.2,False
58,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847792221827557,0.8897792221827558,0.9847249267843451,0.8897249267843452,False,no_candidate_improvement,-0.09499999999999986,0.2,False
59,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847959762561617,0.8897959762561618,0.9847057422615416,0.8897057422615418,False,no_candidate_improvement,-0.09499999999999986,0.2,False
60,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848229890809923,0.8898229890809924,0.984709041831487,0.8897090418314871,False,no_candidate_improvement,-0.09499999999999986,0.2,False
61,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848400937632183,0.8898400937632184,0.9847259971398247,0.8897259971398247,False,no_candidate_improvement,-0.09499999999999997,0.2,False
62,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848375425004136,0.8898375425004137,0.9847210449095937,0.8897210449095938,False,no_candidate_improvement,-0.09499999999999986,0.2,False
63,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848321059299241,0.8898321059299242,0.9847082218702414,0.8897082218702416,False,no_candidate_improvement,-0.09499999999999986,0.2,False
64,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9848049208558314,0.8898049208558312,0.9846474047056587,0.8896474047056585,False,no_candidate_improvement,-0.0950000000000002,0.2,False
65,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847762343875534,0.8897762343875535,0.9845924811662621,0.8895924811662622,False,no_candidate_improvement,-0.09499999999999986,0.2,False
66,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847533982992976,0.8897533982992977,0.9845583344271409,0.8895583344271409,False,no_candidate_improvement,-0.09499999999999997,0.2,False
67,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0950, threshold=0.2000.",0.9847311936419272,0.8897311936419273,0.9845241142468429,0.8895241142468431,False,no_candidate_improvement,-0.09499999999999986,0.2,False
