episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8924267024498586,True,fixed,50,0.05,0.010876156022747217,False
1,0.9880236060970182,True,fixed,50,0.05,5.605326326098003e-05,False
2,0.987649446216515,True,fixed,50,0.05,2.888859184824177e-07,False
3,0.9900715395270139,True,fixed,50,0.05,1.488853085263031e-09,False
4,0.9910618950205862,True,fixed,50,0.05,7.67321539640875e-12,False
5,0.9889038900891353,True,fixed,50,0.05,3.954170324504958e-14,False
6,0.989603297523436,True,fixed,50,0.05,1.9761969838327787e-16,False
7,0.9878419536331532,True,fixed,50,0.05,0.0,False
8,0.9916203265901907,True,fixed,50,0.05,0.0,False
9,0.9884809051219208,True,fixed,50,0.05,0.0,False
10,0.9866723896911115,True,fixed,50,0.05,0.0,False
11,0.9914154777759265,True,fixed,50,0.05,0.0,False
12,0.9917593094740085,True,fixed,50,0.05,0.0,False
13,0.9905742537081492,True,fixed,50,0.05,0.0,False
14,0.9904811752954228,True,fixed,50,0.05,0.0,False
15,0.9881151186057572,True,fixed,50,0.05,0.0,False
16,0.9916018306442331,True,fixed,50,0.05,0.0,False
17,0.9897870405247836,True,fixed,50,0.05,0.0,False
18,0.9903328397248191,True,fixed,50,0.05,0.0,False
19,0.9888748736969737,True,fixed,50,0.05,0.0,False
20,0.9904500256075985,True,fixed,50,0.05,0.0,False
21,0.9925553184736127,True,fixed,50,0.05,0.0,False
22,0.9885254406210703,True,fixed,50,0.05,0.0,False
23,0.9913384062257048,True,fixed,50,0.05,0.0,False
24,0.9907610076112329,True,fixed,50,0.05,0.0,False
25,0.9886591371558088,True,fixed,50,0.05,0.0,False
26,0.9903117655198064,True,fixed,50,0.05,0.0,False
27,0.9886375347513,True,fixed,50,0.05,0.0,False
28,0.9898708307313336,True,fixed,50,0.05,0.0,False
29,0.9886301399293634,True,fixed,50,0.05,0.0,False
30,0.9904468113263247,True,fixed,50,0.05,0.0,False
31,0.9887435909448321,True,fixed,50,0.05,0.0,False
32,0.9904470768557604,True,fixed,50,0.05,0.0,False
33,0.992668603300328,True,fixed,50,0.05,0.0,False
34,0.9914639787801616,True,fixed,50,0.05,0.0,False
35,0.9918188847581032,True,fixed,50,0.05,0.0,False
36,0.9891303044055141,True,fixed,50,0.05,0.0,False
37,0.9900230757580587,True,fixed,50,0.05,0.0,False
38,0.9899909207450266,True,fixed,50,0.05,0.0,False
39,0.9893175043563467,True,fixed,50,0.05,0.0,False
40,0.986352000327138,True,fixed,50,0.05,0.0,False
41,0.9894011345128294,True,fixed,50,0.05,0.0,False
42,0.991265934011501,True,fixed,50,0.05,0.0,False
43,0.9896526949692536,True,fixed,50,0.05,0.0,False
44,0.9897265367988524,True,fixed,50,0.05,0.0,False
45,0.9886953055827991,True,fixed,50,0.05,0.0,False
46,0.989603531279216,True,fixed,50,0.05,0.0,False
47,0.9899944448292888,True,fixed,50,0.05,0.0,False
48,0.9914499372720786,True,fixed,50,0.05,0.0,False
49,0.99134553902267,True,fixed,50,0.05,0.0,False
50,0.9901433340249174,True,fixed,50,0.05,0.0,False
51,0.9891703784208158,True,fixed,50,0.05,0.0,False
52,0.9916448797154196,True,fixed,50,0.05,0.0,False
53,0.9885592173208485,True,fixed,50,0.05,0.0,False
54,0.9904746482833393,True,fixed,50,0.05,0.0,False
55,0.990276385620061,True,fixed,50,0.05,0.0,False
56,0.9898935184129465,True,fixed,50,0.05,0.0,False
57,0.987736433960754,True,fixed,50,0.05,0.0,False
58,0.9872807979395078,True,fixed,50,0.05,0.0,False
59,0.9919255979576604,True,fixed,50,0.05,0.0,False
60,0.9909173028762902,True,fixed,50,0.05,0.0,False
61,0.9923299623422374,True,fixed,50,0.05,0.0,False
62,0.9880998509626447,True,fixed,50,0.05,0.0,False
63,0.9897933555621096,True,fixed,50,0.05,0.0,False
64,0.9883487232271613,True,fixed,50,0.05,0.0,False
65,0.9891075837181917,True,fixed,50,0.05,0.0,False
66,0.9901807250674807,True,fixed,50,0.05,0.0,False
67,0.9902210929238084,True,fixed,50,0.05,0.0,False
68,0.9897349091096277,True,fixed,50,0.05,0.0,False
69,0.9894490461562562,True,fixed,50,0.05,0.0,False
70,0.9898028000947012,True,fixed,50,0.05,0.0,False
71,0.9890915129528389,True,fixed,50,0.05,0.0,False
72,0.9907571280383077,True,fixed,50,0.05,0.0,False
73,0.9901922401059008,True,fixed,50,0.05,0.0,False
74,0.9904261093258857,True,fixed,50,0.05,0.0,False
75,0.9904211848793751,True,fixed,50,0.05,0.0,False
76,0.9890802261329543,True,fixed,50,0.05,0.0,False
77,0.9906961667063401,True,fixed,50,0.05,0.0,False
78,0.989956277049101,True,fixed,50,0.05,0.0,False
79,0.9920814225078662,True,fixed,50,0.05,0.0,False
80,0.9885953743341027,True,fixed,50,0.05,0.0,False
81,0.9883190758684323,True,fixed,50,0.05,0.0,False
82,0.9866369165995711,True,fixed,50,0.05,0.0,False
83,0.9870781546496858,True,fixed,50,0.05,0.0,False
84,0.9880001033256832,True,fixed,50,0.05,0.0,False
85,0.9904225527999517,True,fixed,50,0.05,0.0,False
86,0.9894935467504244,True,fixed,50,0.05,0.0,False
87,0.9888704490774981,True,fixed,50,0.05,0.0,False
88,0.9892951266198367,True,fixed,50,0.05,0.0,False
89,0.9902246751179854,True,fixed,50,0.05,0.0,False
90,0.988377939232954,True,fixed,50,0.05,0.0,False
91,0.9883526782459101,True,fixed,50,0.05,0.0,False
92,0.9904562505763479,True,fixed,50,0.05,0.0,False
93,0.9887769611138009,True,fixed,50,0.05,0.0,False
94,0.9864125268487158,True,fixed,50,0.05,0.0,False
95,0.9904743429444731,True,fixed,50,0.05,0.0,False
96,0.9920454134612668,True,fixed,50,0.05,0.0,False
97,0.9923424197344873,True,fixed,50,0.05,0.0,False
98,0.9926785139044328,True,fixed,50,0.05,0.0,False
99,0.9893475852791893,True,fixed,50,0.05,0.0,False
100,0.988074066188572,True,fixed,50,0.05,0.0,False
101,0.9880181844602021,True,fixed,50,0.05,0.0,False
102,0.9911144053781754,True,fixed,50,0.05,0.0,False
103,0.99169019269894,True,fixed,50,0.05,0.0,False
104,0.9921762857106006,True,fixed,50,0.05,0.0,False
105,0.9883342504274591,True,fixed,50,0.05,0.0,False
106,0.99030473831986,True,fixed,50,0.05,0.0,False
107,0.9876437764732248,True,fixed,50,0.05,0.0,False
108,0.9876912075557932,True,fixed,50,0.05,0.0,False
109,0.9893953016251147,True,fixed,50,0.05,0.0,False
110,0.9904650635889982,True,fixed,50,0.05,0.0,False
111,0.9906465546102985,True,fixed,50,0.05,0.0,False
112,0.9920060609308663,True,fixed,50,0.05,0.0,False
113,0.9908142941467948,True,fixed,50,0.05,0.0,False
114,0.9890504429048974,True,fixed,50,0.05,0.0,False
115,0.9932048491515613,True,fixed,50,0.05,0.0,False
116,0.9891218145000444,True,fixed,50,0.05,0.0,False
117,0.9856608438258633,True,fixed,50,0.05,0.0,False
118,0.9897877927031236,True,fixed,50,0.05,0.0,False
119,0.9904134960876355,True,fixed,50,0.05,0.0,False
