window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,19,0.9847648935705007,0.00045091042007838663,1.0,19.695297871410013,0,0.05,0.0,0.000546624983424636,0.9847648935705007,0.00045091042007838663,0.05,0.0
1,1,20,0.9896660597283876,2.1879497135203362e-06,1.0,19.793321194567753,0,0.05,0.0,2.8171822872751215e-06,0.9896660597283876,2.1879497135203362e-06,0.05,0.0
2,2,21,0.9898926453472173,2.419116779142921e-06,1.0,19.797852906944346,0,0.05,0.0,1.4519124226120005e-08,0.9898926453472173,2.419116779142921e-06,0.05,0.0
3,3,22,0.989936445067445,2.2590636848116343e-06,1.0,19.798728901348902,0,0.05,0.0,7.482830199911916e-11,0.989936445067445,2.2590636848116343e-06,0.05,0.0
4,4,23,0.9899997884023797,2.3524135355441333e-06,1.0,19.799995768047594,0,0.05,0.0,3.856477359676091e-13,0.9899997884023797,2.3524135355441333e-06,0.05,0.0
5,5,24,0.9899847440319121,2.3247564132358177e-06,1.0,19.799694880638242,0,0.05,0.0,1.9869661471716425e-15,0.9899847440319121,2.3247564132358177e-06,0.05,0.0
6,6,25,0.9899725063852458,2.354056070457695e-06,1.0,19.799450127704915,0,0.05,0.0,9.880984919163893e-18,0.9899725063852458,2.354056070457695e-06,0.05,0.0
7,7,26,0.9900079297850641,2.351740332040195e-06,1.0,19.800158595701284,0,0.05,0.0,0.0,0.9900079297850641,2.351740332040195e-06,0.05,0.0
8,8,27,0.9900477088409716,2.209484451647232e-06,1.0,19.80095417681943,0,0.05,0.0,0.0,0.9900477088409716,2.209484451647232e-06,0.05,0.0
9,9,28,0.9899602340480287,2.079740576272332e-06,1.0,19.799204680960575,0,0.05,0.0,0.0,0.9899602340480287,2.079740576272332e-06,0.05,0.0
10,10,29,0.9899676957884008,2.058721713347365e-06,1.0,19.799353915768016,0,0.05,0.0,0.0,0.9899676957884008,2.058721713347365e-06,0.05,0.0
11,11,30,0.9901564168701615,1.4916315378388385e-06,1.0,19.80312833740323,0,0.05,0.0,0.0,0.9901564168701615,1.4916315378388385e-06,0.05,0.0
12,12,31,0.9900228225286067,1.4943262262862464e-06,1.0,19.800456450572135,0,0.05,0.0,0.0,0.9900228225286067,1.4943262262862464e-06,0.05,0.0
13,13,32,0.9899572108976944,1.348251581303162e-06,1.0,19.799144217953888,0,0.05,0.0,0.0,0.9899572108976944,1.348251581303162e-06,0.05,0.0
14,14,33,0.9900619283773032,1.6858311773237874e-06,1.0,19.801238567546065,0,0.05,0.0,0.0,0.9900619283773032,1.6858311773237874e-06,0.05,0.0
15,15,34,0.9901110685515402,1.7729152882898674e-06,1.0,19.802221371030804,0,0.05,0.0,0.0,0.9901110685515402,1.7729152882898674e-06,0.05,0.0
16,16,35,0.9902962568591576,1.6852615794780904e-06,1.0,19.805925137183152,0,0.05,0.0,0.0,0.9902962568591576,1.6852615794780904e-06,0.05,0.0
17,17,36,0.9901726805472215,1.6527365854004305e-06,1.0,19.80345361094443,0,0.05,0.0,0.0,0.9901726805472215,1.6527365854004305e-06,0.05,0.0
18,18,37,0.9901844823088852,1.6462804721237876e-06,1.0,19.803689646177705,0,0.05,0.0,0.0,0.9901844823088852,1.6462804721237876e-06,0.05,0.0
19,19,38,0.9901673863598957,1.646761008458977e-06,1.0,19.803347727197913,0,0.05,0.0,0.0,0.9901673863598957,1.646761008458977e-06,0.05,0.0
20,20,39,0.9901895178928644,1.59885672551457e-06,1.0,19.803790357857288,0,0.05,0.0,0.0,0.9901895178928644,1.59885672551457e-06,0.05,0.0
21,21,40,0.9899846166288414,2.2898060374074625e-06,1.0,19.79969233257683,0,0.05,0.0,0.0,0.9899846166288414,2.2898060374074625e-06,0.05,0.0
22,22,41,0.9898269074308021,1.951531016511061e-06,1.0,19.796538148616044,0,0.05,0.0,0.0,0.9898269074308021,1.951531016511061e-06,0.05,0.0
23,23,42,0.9899639321003237,1.9516043386097726e-06,1.0,19.799278642006474,0,0.05,0.0,0.0,0.9899639321003237,1.9516043386097726e-06,0.05,0.0
24,24,43,0.9898796465375013,1.854884754030192e-06,1.0,19.797592930750024,0,0.05,0.0,0.0,0.9898796465375013,1.854884754030192e-06,0.05,0.0
25,25,44,0.9898279229968822,1.8145416918650033e-06,1.0,19.796558459937643,0,0.05,0.0,0.0,0.9898279229968822,1.8145416918650033e-06,0.05,0.0
26,26,45,0.9898297314182317,1.81037651469676e-06,1.0,19.796594628364634,0,0.05,0.0,0.0,0.9898297314182317,1.81037651469676e-06,0.05,0.0
27,27,46,0.9897943197062021,1.8000630067383861e-06,1.0,19.795886394124043,0,0.05,0.0,0.0,0.9897943197062021,1.8000630067383861e-06,0.05,0.0
28,28,47,0.9898621652101015,1.730554925989145e-06,1.0,19.79724330420203,0,0.05,0.0,0.0,0.9898621652101015,1.730554925989145e-06,0.05,0.0
29,29,48,0.9899411205371388,1.8503682337984217e-06,1.0,19.798822410742776,0,0.05,0.0,0.0,0.9899411205371388,1.8503682337984217e-06,0.05,0.0
30,30,49,0.9900768904918043,1.8446208096355242e-06,1.0,19.801537809836084,0,0.05,0.0,0.0,0.9900768904918043,1.8446208096355242e-06,0.05,0.0
31,31,50,0.9900617166267338,1.8377692294183588e-06,1.0,19.801234332534676,0,0.05,0.0,0.0,0.9900617166267338,1.8377692294183588e-06,0.05,0.0
32,32,51,0.990083056000533,1.7901652847462355e-06,1.0,19.80166112001066,0,0.05,0.0,0.0,0.990083056000533,1.7901652847462355e-06,0.05,0.0
33,33,52,0.9901429461435158,1.901917562186805e-06,1.0,19.802858922870318,0,0.05,0.0,0.0,0.9901429461435158,1.901917562186805e-06,0.05,0.0
34,34,53,0.9899374768445419,1.6661625748655129e-06,1.0,19.79874953689084,0,0.05,0.0,0.0,0.9899374768445419,1.6661625748655129e-06,0.05,0.0
35,35,54,0.9898880103197009,1.5616328875461145e-06,1.0,19.797760206394017,0,0.05,0.0,0.0,0.9898880103197009,1.5616328875461145e-06,0.05,0.0
36,36,55,0.9898108853627987,1.3768125924216723e-06,1.0,19.796217707255973,0,0.05,0.0,0.0,0.9898108853627987,1.3768125924216723e-06,0.05,0.0
37,37,56,0.9898490460631704,1.3525382424467322e-06,1.0,19.79698092126341,0,0.05,0.0,0.0,0.9898490460631704,1.3525382424467322e-06,0.05,0.0
38,38,57,0.9897347139733051,1.5611085937024437e-06,1.0,19.794694279466103,0,0.05,0.0,0.0,0.9897347139733051,1.5611085937024437e-06,0.05,0.0
39,39,58,0.9895992078330291,1.8405497792025267e-06,1.0,19.791984156660583,0,0.05,0.0,0.0,0.9895992078330291,1.8405497792025267e-06,0.05,0.0
40,40,59,0.9897296125130948,2.0901811067798393e-06,1.0,19.794592250261896,0,0.05,0.0,0.0,0.9897296125130948,2.0901811067798393e-06,0.05,0.0
41,41,60,0.9899578776405524,1.5381933543717405e-06,1.0,19.79915755281105,0,0.05,0.0,0.0,0.9899578776405524,1.5381933543717405e-06,0.05,0.0
42,42,61,0.9901043190320229,1.7825894193209875e-06,1.0,19.802086380640457,0,0.05,0.0,0.0,0.9901043190320229,1.7825894193209875e-06,0.05,0.0
43,43,62,0.98994601487958,1.8909563586707748e-06,1.0,19.7989202975916,0,0.05,0.0,0.0,0.98994601487958,1.8909563586707748e-06,0.05,0.0
44,44,63,0.9899530479092228,1.8877703100356491e-06,1.0,19.799060958184455,0,0.05,0.0,0.0,0.9899530479092228,1.8877703100356491e-06,0.05,0.0
45,45,64,0.9898841572306383,2.009151904557344e-06,1.0,19.797683144612765,0,0.05,0.0,0.0,0.9898841572306383,2.009151904557344e-06,0.05,0.0
46,46,65,0.9899047711374079,1.968211880388212e-06,1.0,19.79809542274816,0,0.05,0.0,0.0,0.9899047711374079,1.968211880388212e-06,0.05,0.0
47,47,66,0.9899336308268211,1.9666492546831373e-06,1.0,19.79867261653642,0,0.05,0.0,0.0,0.9899336308268211,1.9666492546831373e-06,0.05,0.0
48,48,67,0.9899449632315471,1.9704676370016736e-06,1.0,19.798899264630943,0,0.05,0.0,0.0,0.9899449632315471,1.9704676370016736e-06,0.05,0.0
49,49,68,0.9898592118234246,1.8520731265797572e-06,1.0,19.797184236468492,0,0.05,0.0,0.0,0.9898592118234246,1.8520731265797572e-06,0.05,0.0
50,50,69,0.9897643871801038,1.7410347801642171e-06,1.0,19.795287743602078,0,0.05,0.0,0.0,0.9897643871801038,1.7410347801642171e-06,0.05,0.0
51,51,70,0.989747360483593,1.7336386138108346e-06,1.0,19.79494720967186,0,0.05,0.0,0.0,0.989747360483593,1.7336386138108346e-06,0.05,0.0
52,52,71,0.9897434172101942,1.738484448547216e-06,1.0,19.794868344203884,0,0.05,0.0,0.0,0.9897434172101942,1.738484448547216e-06,0.05,0.0
53,53,72,0.9896990296263386,1.6071166901595141e-06,1.0,19.793980592526772,0,0.05,0.0,0.0,0.9896990296263386,1.6071166901595141e-06,0.05,0.0
54,54,73,0.9897806807655913,1.5476540058884193e-06,1.0,19.795613615311826,0,0.05,0.0,0.0,0.9897806807655913,1.5476540058884193e-06,0.05,0.0
55,55,74,0.9897782538177186,1.5443974713501613e-06,1.0,19.79556507635437,0,0.05,0.0,0.0,0.9897782538177186,1.5443974713501613e-06,0.05,0.0
56,56,75,0.9897854937806843,1.5526063071633104e-06,1.0,19.795709875613685,0,0.05,0.0,0.0,0.9897854937806843,1.5526063071633104e-06,0.05,0.0
57,57,76,0.9897448291666848,1.5752393530195335e-06,1.0,19.794896583333696,0,0.05,0.0,0.0,0.9897448291666848,1.5752393530195335e-06,0.05,0.0
58,58,77,0.9898928158039639,1.3969088987638935e-06,1.0,19.79785631607928,0,0.05,0.0,0.0,0.9898928158039639,1.3969088987638935e-06,0.05,0.0
59,59,78,0.9900265897594437,1.0380829278690315e-06,1.0,19.800531795188874,0,0.05,0.0,0.0,0.9900265897594437,1.0380829278690315e-06,0.05,0.0
60,60,79,0.990034380986954,1.0688274989976812e-06,1.0,19.80068761973908,0,0.05,0.0,0.0,0.990034380986954,1.0688274989976812e-06,0.05,0.0
61,61,80,0.9899182845598447,1.1199085728241703e-06,1.0,19.798365691196892,0,0.05,0.0,0.0,0.9899182845598447,1.1199085728241703e-06,0.05,0.0
62,62,81,0.9897177402361542,9.167544826898758e-07,1.0,19.794354804723085,0,0.05,0.0,0.0,0.9897177402361542,9.167544826898758e-07,0.05,0.0
63,63,82,0.9896445935180006,1.255099469232851e-06,1.0,19.792891870360013,0,0.05,0.0,0.0,0.9896445935180006,1.255099469232851e-06,0.05,0.0
64,64,83,0.9895088334723795,1.5648925951972578e-06,1.0,19.79017666944759,0,0.05,0.0,0.0,0.9895088334723795,1.5648925951972578e-06,0.05,0.0
65,65,84,0.9894914024773055,1.611109299332484e-06,1.0,19.78982804954611,0,0.05,0.0,0.0,0.9894914024773055,1.611109299332484e-06,0.05,0.0
66,66,85,0.9895571509313935,1.6427726442933426e-06,1.0,19.79114301862787,0,0.05,0.0,0.0,0.9895571509313935,1.6427726442933426e-06,0.05,0.0
