window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,17,1.0286873492928938,0.0004683453637548822,1.0,18.51637228727209,0,0.08,0.0,0.0005321844188890451,1.0286873492928938,0.0004683453637548822,0.08,0.0
1,1,18,1.0339248400304186,1.8692686380883748e-06,1.0,18.610647120547537,0,0.08,0.0,8.059197165353563e-07,1.0339248400304186,1.8692686380883748e-06,0.08,0.0
2,2,19,1.0340888074067633,2.0561539244457088e-06,1.0,18.613598533321742,0,0.08,0.0,1.1085935827762175e-09,1.0340888074067633,2.0561539244457088e-06,0.08,0.0
3,3,20,1.03410237887685,2.0339236205628088e-06,1.0,18.6138428197833,0,0.08,0.0,1.5249402563744785e-12,1.03410237887685,2.0339236205628088e-06,0.08,0.0
4,4,21,1.0341237007434152,2.0922783825276355e-06,1.0,18.614226613381472,0,0.08,0.0,2.0972935322594853e-15,1.0341237007434152,2.0922783825276355e-06,0.08,0.0
5,5,22,1.0340819808548134,2.091069780602945e-06,1.0,18.61347565538664,0,0.08,0.0,2.3643638487387596e-18,1.0340819808548134,2.091069780602945e-06,0.08,0.0
6,6,23,1.033965931020663,1.6345244165468979e-06,1.0,18.611386758371935,0,0.08,0.0,0.0,1.033965931020663,1.6345244165468979e-06,0.08,0.0
7,7,24,1.0341461431381984,2.1206421422221253e-06,1.0,18.61463057648757,0,0.08,0.0,0.0,1.0341461431381984,2.1206421422221253e-06,0.08,0.0
8,8,25,1.0342417924835763,2.1270554201637683e-06,1.0,18.61635226470437,0,0.08,0.0,0.0,1.0342417924835763,2.1270554201637683e-06,0.08,0.0
9,9,26,1.0343867962774238,1.864894166027682e-06,1.0,18.61896233299363,0,0.08,0.0,0.0,1.0343867962774238,1.864894166027682e-06,0.08,0.0
10,10,27,1.0344074019351144,1.7983726563161126e-06,1.0,18.61933323483206,0,0.08,0.0,0.0,1.0344074019351144,1.7983726563161126e-06,0.08,0.0
11,11,28,1.0342854309241147,1.8521672570204594e-06,1.0,18.617137756634065,0,0.08,0.0,0.0,1.0342854309241147,1.8521672570204594e-06,0.08,0.0
12,12,29,1.0341914083687505,1.8634824920078957e-06,1.0,18.615445350637508,0,0.08,0.0,0.0,1.0341914083687505,1.8634824920078957e-06,0.08,0.0
13,13,30,1.0343356627420583,2.0448760627227396e-06,1.0,18.61804192935705,0,0.08,0.0,0.0,1.0343356627420583,2.0448760627227396e-06,0.08,0.0
14,14,31,1.0345181408873774,1.579729118432598e-06,1.0,18.62132653597279,0,0.08,0.0,0.0,1.0345181408873774,1.579729118432598e-06,0.08,0.0
15,15,32,1.034565968348665,1.5031598563988485e-06,1.0,18.622187430275968,0,0.08,0.0,0.0,1.034565968348665,1.5031598563988485e-06,0.08,0.0
16,16,33,1.0344959507286415,1.364475998180179e-06,1.0,18.62092711311555,0,0.08,0.0,0.0,1.0344959507286415,1.364475998180179e-06,0.08,0.0
17,17,34,1.034629052052879,1.5425093752054568e-06,1.0,18.62332293695182,0,0.08,0.0,0.0,1.034629052052879,1.5425093752054568e-06,0.08,0.0
18,18,35,1.034628105886525,1.5456785030651156e-06,1.0,18.62330590595745,0,0.08,0.0,0.0,1.034628105886525,1.5456785030651156e-06,0.08,0.0
19,19,36,1.0346501281620395,1.5223433424369768e-06,1.0,18.623702306916712,0,0.08,0.0,0.0,1.0346501281620395,1.5223433424369768e-06,0.08,0.0
20,20,37,1.0346263782991871,1.4653240215128337e-06,1.0,18.623274809385368,0,0.08,0.0,0.0,1.0346263782991871,1.4653240215128337e-06,0.08,0.0
21,21,38,1.0346741827278265,1.3867992266490455e-06,1.0,18.624135289100877,0,0.08,0.0,0.0,1.0346741827278265,1.3867992266490455e-06,0.08,0.0
22,22,39,1.0345050219965126,1.535216476497974e-06,1.0,18.621090395937227,0,0.08,0.0,0.0,1.0345050219965126,1.535216476497974e-06,0.08,0.0
23,23,40,1.034535407134374,1.504533454801015e-06,1.0,18.621637328418732,0,0.08,0.0,0.0,1.034535407134374,1.504533454801015e-06,0.08,0.0
24,24,41,1.034411275643812,1.664413441160042e-06,1.0,18.619402961588616,0,0.08,0.0,0.0,1.034411275643812,1.664413441160042e-06,0.08,0.0
25,25,42,1.0342744484452138,1.2669641086378066e-06,1.0,18.616940072013847,0,0.08,0.0,0.0,1.0342744484452138,1.2669641086378066e-06,0.08,0.0
26,26,43,1.0342735941339192,1.2655858879137213e-06,1.0,18.616924694410546,0,0.08,0.0,0.0,1.0342735941339192,1.2655858879137213e-06,0.08,0.0
27,27,44,1.0341573568475164,1.3925781956112965e-06,1.0,18.614832423255294,0,0.08,0.0,0.0,1.0341573568475164,1.3925781956112965e-06,0.08,0.0
28,28,45,1.0341620251878139,1.3818477133072479e-06,1.0,18.614916453380648,0,0.08,0.0,0.0,1.0341620251878139,1.3818477133072479e-06,0.08,0.0
29,29,46,1.0342900581933703,1.3701738215251342e-06,1.0,18.617221047480665,0,0.08,0.0,0.0,1.0342900581933703,1.3701738215251342e-06,0.08,0.0
30,30,47,1.0343477376533778,1.3162159421678887e-06,1.0,18.6182592777608,0,0.08,0.0,0.0,1.0343477376533778,1.3162159421678887e-06,0.08,0.0
31,31,48,1.0342101773253356,1.1309077023126871e-06,1.0,18.61578319185604,0,0.08,0.0,0.0,1.0342101773253356,1.1309077023126871e-06,0.08,0.0
32,32,49,1.0342256574118596,1.153077685197297e-06,1.0,18.61606183341347,0,0.08,0.0,0.0,1.0342256574118596,1.153077685197297e-06,0.08,0.0
33,33,50,1.0342566476902337,1.1660804557904334e-06,1.0,18.616619658424206,0,0.08,0.0,0.0,1.0342566476902337,1.1660804557904334e-06,0.08,0.0
34,34,51,1.0342164813207608,1.1425358273647046e-06,1.0,18.615896663773693,0,0.08,0.0,0.0,1.0342164813207608,1.1425358273647046e-06,0.08,0.0
35,35,52,1.0340251898515023,9.180578126260249e-07,1.0,18.61245341732704,0,0.08,0.0,0.0,1.0340251898515023,9.180578126260249e-07,0.08,0.0
36,36,53,1.03410027705273,8.517399864134534e-07,1.0,18.61380498694914,0,0.08,0.0,0.0,1.03410027705273,8.517399864134534e-07,0.08,0.0
37,37,54,1.0340540706846444,8.688845630315368e-07,1.0,18.6129732723236,0,0.08,0.0,0.0,1.0340540706846444,8.688845630315368e-07,0.08,0.0
38,38,55,1.0339682432938953,7.244688810995491e-07,1.0,18.611428379290114,0,0.08,0.0,0.0,1.0339682432938953,7.244688810995491e-07,0.08,0.0
39,39,56,1.0339169277250777,7.393727933600914e-07,1.0,18.6105046990514,0,0.08,0.0,0.0,1.0339169277250777,7.393727933600914e-07,0.08,0.0
40,40,57,1.0339962114735228,6.419255902095066e-07,1.0,18.611931806523412,0,0.08,0.0,0.0,1.0339962114735228,6.419255902095066e-07,0.08,0.0
41,41,58,1.0339545955680203,6.470166858016888e-07,1.0,18.611182720224363,0,0.08,0.0,0.0,1.0339545955680203,6.470166858016888e-07,0.08,0.0
42,42,59,1.034121194280755,7.048787499969801e-07,1.0,18.614181497053593,0,0.08,0.0,0.0,1.034121194280755,7.048787499969801e-07,0.08,0.0
43,43,60,1.0340707189130514,7.035099308995956e-07,1.0,18.613272940434925,0,0.08,0.0,0.0,1.0340707189130514,7.035099308995956e-07,0.08,0.0
44,44,61,1.0340376036294376,6.557735583576333e-07,1.0,18.612676865329878,0,0.08,0.0,0.0,1.0340376036294376,6.557735583576333e-07,0.08,0.0
45,45,62,1.0341111334196353,5.396665320712779e-07,1.0,18.614000401553437,0,0.08,0.0,0.0,1.0341111334196353,5.396665320712779e-07,0.08,0.0
46,46,63,1.0341176088006743,5.266682541657953e-07,1.0,18.614116958412136,0,0.08,0.0,0.0,1.0341176088006743,5.266682541657953e-07,0.08,0.0
47,47,64,1.0340394598341693,4.405677334203421e-07,1.0,18.612710277015047,0,0.08,0.0,0.0,1.0340394598341693,4.405677334203421e-07,0.08,0.0
48,48,65,1.0340599117146836,4.612100249052454e-07,1.0,18.613078410864304,0,0.08,0.0,0.0,1.0340599117146836,4.612100249052454e-07,0.08,0.0
49,49,66,1.0340429584007045,4.778089373968787e-07,1.0,18.61277325121268,0,0.08,0.0,0.0,1.0340429584007045,4.778089373968787e-07,0.08,0.0
50,50,67,1.0339142291493189,4.942446181306188e-07,1.0,18.61045612468774,0,0.08,0.0,0.0,1.0339142291493189,4.942446181306188e-07,0.08,0.0
51,51,68,1.033974866166699,6.556650214836942e-07,1.0,18.611547591000583,0,0.08,0.0,0.0,1.033974866166699,6.556650214836942e-07,0.08,0.0
52,52,69,1.0339855418097494,6.617294872494556e-07,1.0,18.61173975257549,0,0.08,0.0,0.0,1.0339855418097494,6.617294872494556e-07,0.08,0.0
53,53,70,1.0341222449209349,7.061280329884172e-07,1.0,18.614200408576828,0,0.08,0.0,0.0,1.0341222449209349,7.061280329884172e-07,0.08,0.0
54,54,71,1.0340310197704392,8.157342907276297e-07,1.0,18.612558355867908,0,0.08,0.0,0.0,1.0340310197704392,8.157342907276297e-07,0.08,0.0
55,55,72,1.0341654178803188,9.735603902431067e-07,1.0,18.614977521845738,0,0.08,0.0,0.0,1.0341654178803188,9.735603902431067e-07,0.08,0.0
56,56,73,1.0342180944347639,1.011735927034747e-06,1.0,18.61592569982575,0,0.08,0.0,0.0,1.0342180944347639,1.011735927034747e-06,0.08,0.0
57,57,74,1.0341742461348713,1.1218195240549757e-06,1.0,18.615136430427683,0,0.08,0.0,0.0,1.0341742461348713,1.1218195240549757e-06,0.08,0.0
58,58,75,1.0067725051198062,0.012772167327086354,0.9444444444444444,18.12190509215651,0,0.08,0.0,-0.0003497358726550282,1.0067725051198062,0.012772167327086354,0.08,0.0
59,59,76,0.9737610613046547,0.029530762495869747,0.8888888888888888,17.527699103483783,0,0.08,0.0,-0.00036075278358822,0.9737610613046547,0.029530762495869747,0.08,0.0
60,60,77,0.9403015684481952,0.044417279683672865,0.8333333333333334,16.925428232067514,0,0.08,0.0,-0.00036109982355752164,0.9403015684481952,0.044417279683672865,0.08,0.0
61,61,78,0.9069806355231866,0.05707085469661793,0.7777777777777778,16.32565143941736,0,0.08,0.0,-0.00036111075554571913,0.9069806355231866,0.05707085469661793,0.08,0.0
62,62,79,0.8735969037382518,0.06750430387488969,0.7222222222222222,15.724744267288534,0,0.08,0.0,-0.0003611110999105661,0.8735969037382518,0.06750430387488969,0.08,0.0
63,63,80,0.8401856763277222,0.07576661466778373,0.6666666666666666,15.123342173899,0,0.08,0.0,-0.0003611111107582862,0.8401856763277222,0.07576661466778373,0.08,0.0
