evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
1,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
2,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
3,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
4,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
5,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
6,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
7,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
8,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
9,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
10,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
11,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1347, threshold=0.2600.",1.021693340129642,0.8867478704025701,1.0198318591568787,0.8851021587568956,False,no_candidate_improvement,-0.1347297003999831,0.26,False
12,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022161730091823,0.8871617832188666,1.0219902843914341,0.8869904432346648,False,no_candidate_improvement,-0.13499984115676933,0.26,False
13,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022195961659305,0.8871959617323889,1.0220392625463723,0.8870392626917543,False,no_candidate_improvement,-0.13499999985461808,0.26,False
14,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222317493748732,0.8872317493749735,1.0220480522398767,0.8870480522400792,False,no_candidate_improvement,-0.1349999999997975,0.26,False
15,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022270392888436,0.8872703928884363,1.02206316310865,0.8870631631086505,False,no_candidate_improvement,-0.13499999999999956,0.26,False
16,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022301428883088,0.887301428883088,1.0220891951524667,0.8870891951524668,False,no_candidate_improvement,-0.1349999999999999,0.26,False
17,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0223470295779353,0.8873470295779353,1.0221254613993853,0.8871254613993854,False,no_candidate_improvement,-0.1349999999999999,0.26,False
18,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0224022126677135,0.8874022126677136,1.022210650412737,0.8872106504127373,False,no_candidate_improvement,-0.1349999999999998,0.26,False
19,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0224442238842586,0.8874442238842587,1.0222609039557302,0.8872609039557303,False,no_candidate_improvement,-0.1349999999999999,0.26,False
20,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022476286488297,0.8874762864882971,1.0222997979495207,0.8872997979495207,False,no_candidate_improvement,-0.135,0.26,False
21,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0225002453194751,0.8875002453194752,1.0223157632153728,0.887315763215373,False,no_candidate_improvement,-0.1349999999999998,0.26,False
22,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022508385807012,0.8875083858070122,1.022327012965601,0.8873270129656012,False,no_candidate_improvement,-0.1349999999999998,0.26,False
23,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0225292244002377,0.8875292244002381,1.022366847925212,0.8873668479252123,False,no_candidate_improvement,-0.13499999999999968,0.26,False
24,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0225475508204316,0.8875475508204316,1.0224299431848156,0.8874299431848157,False,no_candidate_improvement,-0.1349999999999999,0.26,False
25,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0225424658355269,0.887542465835527,1.0224107401054516,0.8874107401054517,False,no_candidate_improvement,-0.1349999999999999,0.26,False
26,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022522093484056,0.8875220934840561,1.0223627945197513,0.8873627945197513,False,no_candidate_improvement,-0.135,0.26,False
27,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0224880448294116,0.8874880448294116,1.0222893638798884,0.8872893638798884,False,no_candidate_improvement,-0.135,0.26,False
28,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0224602173390984,0.8874602173390986,1.022234089360691,0.887234089360691,False,no_candidate_improvement,-0.1349999999999999,0.26,False
29,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.02243197144113,0.8874319714411302,1.0222082115830435,0.8872082115830435,False,no_candidate_improvement,-0.135,0.26,False
30,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0224086122021712,0.8874086122021714,1.0221952046989766,0.8871952046989767,False,no_candidate_improvement,-0.1349999999999999,0.26,False
31,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0223719577873551,0.8873719577873551,1.0221685637213376,0.8871685637213375,False,no_candidate_improvement,-0.13500000000000012,0.26,False
32,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0223385708852097,0.88733857088521,1.0221525672190208,0.8871525672190209,False,no_candidate_improvement,-0.1349999999999999,0.26,False
33,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0223037808970514,0.8873037808970515,1.0221617342331502,0.8871617342331503,False,no_candidate_improvement,-0.1349999999999999,0.26,False
34,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222797440215856,0.8872797440215857,1.0221555483459337,0.8871555483459339,False,no_candidate_improvement,-0.1349999999999998,0.26,False
35,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022237238132922,0.8872372381329222,1.022124136235885,0.8871241362358853,False,no_candidate_improvement,-0.1349999999999998,0.26,False
36,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222113385143623,0.8872113385143625,1.0221090312358314,0.8871090312358317,False,no_candidate_improvement,-0.13499999999999968,0.26,False
37,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221929819943054,0.8871929819943055,1.0220812475725998,0.8870812475725999,False,no_candidate_improvement,-0.1349999999999999,0.26,False
38,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022167547364241,0.8871675473642412,1.0220377398229807,0.8870377398229808,False,no_candidate_improvement,-0.1349999999999999,0.26,False
39,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221475252124839,0.8871475252124839,1.0219932276424473,0.8869932276424474,False,no_candidate_improvement,-0.1349999999999999,0.26,False
40,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221337228180036,0.8871337228180037,1.021971665105917,0.8869716651059172,False,no_candidate_improvement,-0.1349999999999998,0.26,False
41,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221057826649982,0.8871057826649983,1.0219443024589072,0.8869443024589074,False,no_candidate_improvement,-0.1349999999999998,0.26,False
42,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220869167868045,0.8870869167868046,1.021950589191596,0.8869505891915962,False,no_candidate_improvement,-0.1349999999999999,0.26,False
43,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220753041565678,0.8870753041565678,1.021946430685502,0.886946430685502,False,no_candidate_improvement,-0.1349999999999999,0.26,False
44,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220596433685352,0.8870596433685353,1.0219424900377418,0.8869424900377421,False,no_candidate_improvement,-0.1349999999999998,0.26,False
