episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9396362751525873,True,greedy_reward,60,0.08,0.009564812985105175,False
1,1.0331010029103258,True,greedy_reward,60,0.08,1.4486600213146442e-05,False
2,1.0331544412207008,True,greedy_reward,60,0.08,1.9927235565357176e-08,False
3,1.035289568279692,True,greedy_reward,60,0.08,2.7411173331159943e-11,False
4,1.0344928045179083,True,greedy_reward,60,0.08,3.770872503139344e-14,False
5,1.0370354273512359,True,greedy_reward,60,0.08,4.255854927729767e-17,False
6,1.0337828656434884,True,greedy_reward,60,0.08,0.0,False
7,1.0333666486467312,True,greedy_reward,60,0.08,0.0,False
8,1.032105279563436,True,greedy_reward,60,0.08,0.0,False
9,1.0325974917570477,True,greedy_reward,60,0.08,0.0,False
10,1.0352236334542944,True,greedy_reward,60,0.08,0.0,False
11,1.0350244496631147,True,greedy_reward,60,0.08,0.0,False
12,1.0335939743463107,True,greedy_reward,60,0.08,0.0,False
13,1.031510070690168,True,greedy_reward,60,0.08,0.0,False
14,1.0333111336385055,True,greedy_reward,60,0.08,0.0,False
15,1.0361514678206418,True,greedy_reward,60,0.08,0.0,False
16,1.034033378374783,True,greedy_reward,60,0.08,0.0,False
17,1.03296237424112,True,greedy_reward,60,0.08,0.0,False
18,1.033911108428031,True,greedy_reward,60,0.08,0.0,False
19,1.036052415684531,True,greedy_reward,60,0.08,0.0,False
20,1.03339872768226,True,greedy_reward,60,0.08,0.0,False
21,1.0356733618778644,True,greedy_reward,60,0.08,0.0,False
22,1.0337418465230777,True,greedy_reward,60,0.08,0.0,False
23,1.0349465303365293,True,greedy_reward,60,0.08,0.0,False
24,1.0370266837591233,True,greedy_reward,60,0.08,0.0,False
25,1.0350883368635324,True,greedy_reward,60,0.08,0.0,False
26,1.0347153478526938,True,greedy_reward,60,0.08,0.0,False
27,1.0329683935954785,True,greedy_reward,60,0.08,0.0,False
28,1.033028155256301,True,greedy_reward,60,0.08,0.0,False
29,1.033332043666555,True,greedy_reward,60,0.08,0.0,False
30,1.0361905530658568,True,greedy_reward,60,0.08,0.0,False
31,1.034794677305908,True,greedy_reward,60,0.08,0.0,False
32,1.0341720279416797,True,greedy_reward,60,0.08,0.0,False
33,1.034891150660223,True,greedy_reward,60,0.08,0.0,False
34,1.0364292022110557,True,greedy_reward,60,0.08,0.0,False
35,1.0329453432467497,True,greedy_reward,60,0.08,0.0,False
36,1.0343075093872935,True,greedy_reward,60,0.08,0.0,False
37,1.0356249181531862,True,greedy_reward,60,0.08,0.0,False
38,1.034259207397768,True,greedy_reward,60,0.08,0.0,False
39,1.0326284687142149,True,greedy_reward,60,0.08,0.0,False
40,1.0342887790045827,True,greedy_reward,60,0.08,0.0,False
41,1.0327121635064138,True,greedy_reward,60,0.08,0.0,False
42,1.0345637941843533,True,greedy_reward,60,0.08,0.0,False
43,1.0350729592602312,True,greedy_reward,60,0.08,0.0,False
44,1.0326230766974427,True,greedy_reward,60,0.08,0.0,False
45,1.0330524237208323,True,greedy_reward,60,0.08,0.0,False
46,1.0353327493563198,True,greedy_reward,60,0.08,0.0,False
47,1.0343702739466882,True,greedy_reward,60,0.08,0.0,False
48,1.0337144671610943,True,greedy_reward,60,0.08,0.0,False
49,1.035073318863341,True,greedy_reward,60,0.08,0.0,False
50,1.0347298529524138,True,greedy_reward,60,0.08,0.0,False
51,1.0341681560097118,True,greedy_reward,60,0.08,0.0,False
52,1.0329859557644023,True,greedy_reward,60,0.08,0.0,False
53,1.0342969128688517,True,greedy_reward,60,0.08,0.0,False
54,1.033475794761753,True,greedy_reward,60,0.08,0.0,False
55,1.0340800251196998,True,greedy_reward,60,0.08,0.0,False
56,1.033335527159055,True,greedy_reward,60,0.08,0.0,False
57,1.034055576186224,True,greedy_reward,60,0.08,0.0,False
58,1.033539692705536,True,greedy_reward,60,0.08,0.0,False
59,1.0357109403356417,True,greedy_reward,60,0.08,0.0,False
60,1.0336552375656847,True,greedy_reward,60,0.08,0.0,False
61,1.0344768841551863,True,greedy_reward,60,0.08,0.0,False
62,1.0339466129210002,True,greedy_reward,60,0.08,0.0,False
63,1.0331689805795325,True,greedy_reward,60,0.08,0.0,False
64,1.0339260679592315,True,greedy_reward,60,0.08,0.0,False
65,1.0347384077959434,True,greedy_reward,60,0.08,0.0,False
66,1.03340930750947,True,greedy_reward,60,0.08,0.0,False
67,1.032756192338402,True,greedy_reward,60,0.08,0.0,False
68,1.035821319265258,True,greedy_reward,60,0.08,0.0,False
69,1.03436031758462,True,greedy_reward,60,0.08,0.0,False
70,1.0354466117657386,True,greedy_reward,60,0.08,0.0,False
71,1.0326548601599304,True,greedy_reward,60,0.08,0.0,False
72,1.0358949607395835,True,greedy_reward,60,0.08,0.0,False
73,1.035028203099712,True,greedy_reward,60,0.08,0.0,False
74,1.032546257760989,True,greedy_reward,60,0.08,0.0,False
75,0.5408242379150489,False,greedy_reward,60,0.08,-0.006295245707790507,False
76,0.43933370403281047,False,greedy_reward,60,0.08,-0.0001983043967974533,False
77,0.43344006891937237,False,greedy_reward,60,0.08,-6.246719447428976e-06,False
78,0.4338784449155296,False,greedy_reward,60,0.08,-1.9677578755502208e-07,False
79,0.4335697120263616,False,greedy_reward,60,0.08,-6.198567245596642e-09,False
80,0.4325445195314651,False,greedy_reward,60,0.08,-1.952589608518925e-10,False
81,0.4346071274635494,False,greedy_reward,60,0.08,-6.150784511345838e-12,False
82,0.43517408446482353,False,greedy_reward,60,0.08,-1.9375519707172846e-13,False
83,0.4316418274255523,False,greedy_reward,60,0.08,-6.103451077876798e-15,False
84,0.4337626570021201,False,greedy_reward,60,0.08,-1.9151347174783951e-16,False
85,0.4347720504490411,False,greedy_reward,60,0.08,0.0,False
86,0.4331780773694147,False,greedy_reward,60,0.08,0.0,False
87,0.4346050142828003,False,greedy_reward,60,0.08,0.0,False
88,1.014483913889823,True,drift_aware,60,0.18,0.0,False
89,1.0145569725305756,True,drift_aware,60,0.18,0.0,False
90,1.0132260254633736,True,drift_aware,60,0.18,0.0,False
91,1.0138587144582372,True,drift_aware,60,0.18,0.0,False
92,1.0148561688577675,True,drift_aware,60,0.18,0.0,False
93,1.0145139528805034,True,drift_aware,60,0.18,0.0,False
94,1.0135850615396407,True,drift_aware,60,0.18,0.0,False
95,1.0146561771089384,True,drift_aware,60,0.18,0.0,False
96,1.0153296853810363,True,drift_aware,60,0.18,0.0,False
97,1.0130373614564203,True,drift_aware,60,0.18,0.0,False
98,1.0128257842874226,True,drift_aware,60,0.18,0.0,False
