window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,17,1.0287339242111426,0.0004451009786402343,1.0,18.517210635800566,0,0.08,0.0,0.0005226138222793373,1.0287339242111426,0.0004451009786402343,0.08,0.0
1,1,18,1.0339547166444247,1.4377171435186078e-06,1.0,18.611184899599646,0,0.08,0.0,7.920494893071734e-07,1.0339547166444247,1.4377171435186078e-06,0.08,0.0
2,2,19,1.0339786897564036,1.4477487324524497e-06,1.0,18.611616415615266,0,0.08,0.0,1.0895142073509812e-09,1.0339786897564036,1.4477487324524497e-06,0.08,0.0
3,3,20,1.033873500072504,1.634069395281471e-06,1.0,18.60972300130507,0,0.08,0.0,1.4986953036613374e-12,1.033873500072504,1.634069395281471e-06,0.08,0.0
4,4,21,1.0336555723638066,1.718870143886446e-06,1.0,18.605800302548516,0,0.08,0.0,2.0610056871027556e-15,1.0336555723638066,1.718870143886446e-06,0.08,0.0
5,5,22,1.0336849994769528,1.8011046579339797e-06,1.0,18.606329990585152,0,0.08,0.0,2.3643638487387596e-18,1.0336849994769528,1.8011046579339797e-06,0.08,0.0
6,6,23,1.0335778247624205,1.447765246710793e-06,1.0,18.60440084572357,0,0.08,0.0,0.0,1.0335778247624205,1.447765246710793e-06,0.08,0.0
7,7,24,1.033618383543033,1.4111560215766295e-06,1.0,18.605130903774594,0,0.08,0.0,0.0,1.033618383543033,1.4111560215766295e-06,0.08,0.0
8,8,25,1.0335984665019642,1.4632098281630074e-06,1.0,18.604772397035354,0,0.08,0.0,0.0,1.0335984665019642,1.4632098281630074e-06,0.08,0.0
9,9,26,1.033642415072786,1.4546549960155054e-06,1.0,18.60556347131015,0,0.08,0.0,0.0,1.033642415072786,1.4546549960155054e-06,0.08,0.0
10,10,27,1.033619601706769,1.4333234786361534e-06,1.0,18.605152830721842,0,0.08,0.0,0.0,1.033619601706769,1.4333234786361534e-06,0.08,0.0
11,11,28,1.033588297581444,1.408191443780091e-06,1.0,18.604589356465993,0,0.08,0.0,0.0,1.033588297581444,1.408191443780091e-06,0.08,0.0
12,12,29,1.0336011392614295,1.411115794253534e-06,1.0,18.60482050670573,0,0.08,0.0,0.0,1.0336011392614295,1.411115794253534e-06,0.08,0.0
13,13,30,1.0336937341587424,1.5977831557170134e-06,1.0,18.606487214857363,0,0.08,0.0,0.0,1.0336937341587424,1.5977831557170134e-06,0.08,0.0
14,14,31,1.03371599088059,1.5817886036915953e-06,1.0,18.60688783585062,0,0.08,0.0,0.0,1.03371599088059,1.5817886036915953e-06,0.08,0.0
15,15,32,1.0338560292890382,1.1738786929539534e-06,1.0,18.60940852720269,0,0.08,0.0,0.0,1.0338560292890382,1.1738786929539534e-06,0.08,0.0
16,16,33,1.0338980238950657,1.2069423532363699e-06,1.0,18.610164430111183,0,0.08,0.0,0.0,1.0338980238950657,1.2069423532363699e-06,0.08,0.0
17,17,34,1.0339198520618706,1.2128681099617842e-06,1.0,18.610557337113672,0,0.08,0.0,0.0,1.0339198520618706,1.2128681099617842e-06,0.08,0.0
18,18,35,1.0338052491260457,1.3109630402633934e-06,1.0,18.60849448426882,0,0.08,0.0,0.0,1.0338052491260457,1.3109630402633934e-06,0.08,0.0
19,19,36,1.0336928409351123,1.0680033284145125e-06,1.0,18.60647113683202,0,0.08,0.0,0.0,1.0336928409351123,1.0680033284145125e-06,0.08,0.0
20,20,37,1.033717481807762,1.1127656187982946e-06,1.0,18.606914672539713,0,0.08,0.0,0.0,1.033717481807762,1.1127656187982946e-06,0.08,0.0
21,21,38,1.0336345421553714,1.4990524752584779e-06,1.0,18.605421758796684,0,0.08,0.0,0.0,1.0336345421553714,1.4990524752584779e-06,0.08,0.0
