evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
1,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
2,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
3,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
4,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
5,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
6,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
7,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
8,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
9,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
10,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
11,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1347, threshold=0.2600.",1.021284245999685,0.8863383763002366,1.0195895174877694,0.8848576650521521,False,no_candidate_improvement,-0.13473185243561725,0.26,False
12,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216990907926848,0.8866991433906674,1.0215298232083934,0.8865297614788118,False,no_candidate_improvement,-0.13500006172958157,0.26,False
13,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216773389175027,0.8866773389898546,1.0215353711396515,0.8865353709912216,False,no_candidate_improvement,-0.13500000014842994,0.26,False
14,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021655444552021,0.8866554445521205,1.0215618022756223,0.8865618022753895,False,no_candidate_improvement,-0.13500000000023282,0.26,False
15,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216539982407051,0.8866539982407052,1.0215651420165586,0.8865651420165587,False,no_candidate_improvement,-0.1349999999999999,0.26,False
16,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021674213200139,0.8866742132001391,1.0215540675175807,0.8865540675175806,False,no_candidate_improvement,-0.13500000000000012,0.26,False
17,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216937965038102,0.8866937965038103,1.0215485633595602,0.8865485633595603,False,no_candidate_improvement,-0.1349999999999999,0.26,False
18,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217127513841582,0.8867127513841583,1.021569806927005,0.8865698069270052,False,no_candidate_improvement,-0.1349999999999998,0.26,False
19,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217189633158459,0.886718963315846,1.0215798598767118,0.8865798598767118,False,no_candidate_improvement,-0.135,0.26,False
20,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217288885589169,0.8867288885589169,1.0215967698597384,0.8865967698597385,False,no_candidate_improvement,-0.1349999999999999,0.26,False
21,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021728231557518,0.8867282315575182,1.021595466734793,0.8865954667347933,False,no_candidate_improvement,-0.1349999999999998,0.26,False
22,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217494906590594,0.8867494906590595,1.0216149081822588,0.8866149081822587,False,no_candidate_improvement,-0.135,0.26,False
23,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217585175242714,0.8867585175242715,1.021635215433404,0.8866352154334043,False,no_candidate_improvement,-0.1349999999999998,0.26,False
24,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217674837536903,0.8867674837536906,1.021656111462647,0.8866561114626473,False,no_candidate_improvement,-0.13499999999999968,0.26,False
25,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217803436429513,0.8867803436429514,1.0216695414073373,0.8866695414073373,False,no_candidate_improvement,-0.135,0.26,False
26,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218023746788485,0.8868023746788486,1.0216764496714645,0.8866764496714646,False,no_candidate_improvement,-0.1349999999999999,0.26,False
27,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218100437381572,0.8868100437381573,1.0216760015418747,0.8866760015418748,False,no_candidate_improvement,-0.1349999999999999,0.26,False
28,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218193918239684,0.8868193918239685,1.021672041774717,0.886672041774717,False,no_candidate_improvement,-0.1349999999999999,0.26,False
29,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021837925038279,0.8868379250382792,1.021657651059164,0.8866576510591643,False,no_candidate_improvement,-0.13499999999999968,0.26,False
30,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218661725628118,0.886866172562812,1.021660131643852,0.8866601316438523,False,no_candidate_improvement,-0.1349999999999998,0.26,False
31,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219013607658052,0.8869013607658053,1.0216904739138286,0.8866904739138287,False,no_candidate_improvement,-0.1349999999999999,0.26,False
32,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219428207327719,0.8869428207327719,1.0217198591499501,0.8867198591499501,False,no_candidate_improvement,-0.135,0.26,False
33,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021994993291972,0.8869949932919722,1.0217794691626478,0.8867794691626478,False,no_candidate_improvement,-0.135,0.26,False
34,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220289419180535,0.8870289419180537,1.0217989177698272,0.8867989177698274,False,no_candidate_improvement,-0.1349999999999998,0.26,False
35,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220863698730989,0.8870863698730989,1.021862474438737,0.886862474438737,False,no_candidate_improvement,-0.135,0.26,False
36,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022142175132167,0.8871421751321672,1.0219454303503368,0.886945430350337,False,no_candidate_improvement,-0.1349999999999998,0.26,False
37,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221785562993675,0.8871785562993676,1.0220088069705708,0.8870088069705708,False,no_candidate_improvement,-0.135,0.26,False
38,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222040163817694,0.8872040163817694,1.0220474243372237,0.8870474243372238,False,no_candidate_improvement,-0.1349999999999999,0.26,False
39,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222599449772845,0.8872599449772846,1.022078856296474,0.8870788562964741,False,no_candidate_improvement,-0.1349999999999999,0.26,False
40,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022306479518273,0.8873064795182732,1.0221232227415036,0.8871232227415037,False,no_candidate_improvement,-0.1349999999999999,0.26,False
41,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0223537599627588,0.8873537599627589,1.0221379163432993,0.8871379163432995,False,no_candidate_improvement,-0.1349999999999998,0.26,False
42,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0224035345685616,0.8874035345685617,1.0221674255926414,0.8871674255926414,False,no_candidate_improvement,-0.135,0.26,False
43,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022443202310462,0.887443202310462,1.022224822076574,0.887224822076574,False,no_candidate_improvement,-0.1349999999999999,0.26,False
44,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022465577193792,0.8874655771937922,1.0222633474345284,0.8872633474345285,False,no_candidate_improvement,-0.1349999999999999,0.26,False
