episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9418671578320997,True,greedy_reward,60,0.08,0.009392791910220542,False
1,1.0339601710315887,True,greedy_reward,60,0.08,1.4237279551796804e-05,False
2,1.0339871607408515,True,greedy_reward,60,0.08,1.958427921685176e-08,False
3,1.0355313239477295,True,greedy_reward,60,0.08,2.6939417363536223e-11,False
4,1.0348026994862145,True,greedy_reward,60,0.08,3.7055543818572306e-14,False
5,1.0362444116667286,True,greedy_reward,60,0.08,4.255854927729767e-17,False
6,1.0327817644050805,True,greedy_reward,60,0.08,0.0,False
7,1.0324809128337513,True,greedy_reward,60,0.08,0.0,False
8,1.0331275758872385,True,greedy_reward,60,0.08,0.0,False
9,1.0343038510426104,True,greedy_reward,60,0.08,0.0,False
10,1.0342871040707928,True,greedy_reward,60,0.08,0.0,False
11,1.0335930049799769,True,greedy_reward,60,0.08,0.0,False
12,1.0338220612965976,True,greedy_reward,60,0.08,0.0,False
13,1.0331452324400618,True,greedy_reward,60,0.08,0.0,False
14,1.031069242862514,True,greedy_reward,60,0.08,0.0,False
15,1.0338927406988156,True,greedy_reward,60,0.08,0.0,False
16,1.0338482209496995,True,greedy_reward,60,0.08,0.0,False
17,1.0344659996282148,True,greedy_reward,60,0.08,0.0,False
18,1.035841421631178,True,greedy_reward,60,0.08,0.0,False
19,1.0343916870472116,True,greedy_reward,60,0.08,0.0,False
20,1.032093746430656,True,greedy_reward,60,0.08,0.0,False
21,1.031608625191173,True,greedy_reward,60,0.08,0.0,False
22,1.0353323875228524,True,greedy_reward,60,0.08,0.0,False
23,1.0343152668051454,True,greedy_reward,60,0.08,0.0,False
24,1.0335118224561035,True,greedy_reward,60,0.08,0.0,False
25,1.032122406094514,True,greedy_reward,60,0.08,0.0,False
26,1.0339186501620292,True,greedy_reward,60,0.08,0.0,False
27,1.0338932104543057,True,greedy_reward,60,0.08,0.0,False
28,1.033723629814945,True,greedy_reward,60,0.08,0.0,False
29,1.0338241552197138,True,greedy_reward,60,0.08,0.0,False
30,1.0354887694482289,True,greedy_reward,60,0.08,0.0,False
31,1.0335458534333206,True,greedy_reward,60,0.08,0.0,False
32,1.0335899342145813,True,greedy_reward,60,0.08,0.0,False
33,1.0346486436073095,True,greedy_reward,60,0.08,0.0,False
34,1.034241127952188,True,greedy_reward,60,0.08,0.0,False
35,1.0324031467833648,True,greedy_reward,60,0.08,0.0,False
36,1.0338180741943772,True,greedy_reward,60,0.08,0.0,False
37,1.0348352227549051,True,greedy_reward,60,0.08,0.0,False
38,1.030600832687626,True,greedy_reward,60,0.08,0.0,False
39,1.0359319927103539,True,greedy_reward,60,0.08,0.0,False
40,1.0321269530967936,True,greedy_reward,60,0.08,0.0,False
41,1.0345333852530771,True,greedy_reward,60,0.08,0.0,False
42,1.0360199594644817,True,greedy_reward,60,0.08,0.0,False
43,1.0345033508257633,True,greedy_reward,60,0.08,0.0,False
44,1.0333390873626724,True,greedy_reward,60,0.08,0.0,False
45,1.0350118990358035,True,greedy_reward,60,0.08,0.0,False
46,1.036101492061729,True,greedy_reward,60,0.08,0.0,False
47,1.033859146676182,True,greedy_reward,60,0.08,0.0,False
48,1.0349654147526757,True,greedy_reward,60,0.08,0.0,False
49,1.0353441402534511,True,greedy_reward,60,0.08,0.0,False
50,1.0344091044389423,True,greedy_reward,60,0.08,0.0,False
51,1.0350357181455034,True,greedy_reward,60,0.08,0.0,False
52,1.0361079232691854,True,greedy_reward,60,0.08,0.0,False
53,1.032270819524146,True,greedy_reward,60,0.08,0.0,False
54,1.0321305143833623,True,greedy_reward,60,0.08,0.0,False
55,1.0348579354527774,True,greedy_reward,60,0.08,0.0,False
56,1.0365998147352529,True,greedy_reward,60,0.08,0.0,False
57,1.0350208988117064,True,greedy_reward,60,0.08,0.0,False
58,1.0346633586330798,True,greedy_reward,60,0.08,0.0,False
59,1.0351071479909124,True,greedy_reward,60,0.08,0.0,False
60,1.0333138085946965,True,greedy_reward,60,0.08,0.0,False
61,1.0325670989153464,True,greedy_reward,60,0.08,0.0,False
62,1.0343683027660335,True,greedy_reward,60,0.08,0.0,False
63,1.0321536420177542,True,greedy_reward,60,0.08,0.0,False
64,1.0327496561837972,True,greedy_reward,60,0.08,0.0,False
65,1.034412148034347,True,greedy_reward,60,0.08,0.0,False
66,1.0327329725570094,True,greedy_reward,60,0.08,0.0,False
67,1.0342807968755454,True,greedy_reward,60,0.08,0.0,False
68,1.0324921123101238,True,greedy_reward,60,0.08,0.0,False
69,1.0334578385365398,True,greedy_reward,60,0.08,0.0,False
70,1.0329717320560832,True,greedy_reward,60,0.08,0.0,False
71,1.0350923489532668,True,greedy_reward,60,0.08,0.0,False
72,1.0337206693953056,True,greedy_reward,60,0.08,0.0,False
73,1.0353131951922532,True,greedy_reward,60,0.08,0.0,False
74,1.0352115036271554,True,greedy_reward,60,0.08,0.0,False
75,0.5423725334191819,False,greedy_reward,60,0.08,-0.006295245707790507,False
76,0.4374494253133362,False,greedy_reward,60,0.08,-0.0001983043967974533,False
77,0.4344084459800203,False,greedy_reward,60,0.08,-6.246719447428976e-06,False
78,0.4360091418606,False,greedy_reward,60,0.08,-1.9677578755502208e-07,False
79,0.4359188126277612,False,greedy_reward,60,0.08,-6.198567245596642e-09,False
80,0.4334805594973779,False,greedy_reward,60,0.08,-1.952589608518925e-10,False
81,0.43207577588189416,False,greedy_reward,60,0.08,-6.150784511345838e-12,False
82,0.4356872527784666,False,greedy_reward,60,0.08,-1.9375519707172846e-13,False
83,0.4320654561802605,False,greedy_reward,60,0.08,-6.103451077876798e-15,False
84,0.4336588975600821,False,greedy_reward,60,0.08,-1.9151347174783951e-16,False
85,0.4349177187002823,False,greedy_reward,60,0.08,0.0,False
86,0.43180648915301006,False,greedy_reward,60,0.08,0.0,False
87,0.4337028520489051,False,greedy_reward,60,0.08,0.0,False
88,1.0122433221962757,True,drift_aware,60,0.18,0.0,False
89,1.0154729857597962,True,drift_aware,60,0.18,0.0,False
90,1.0133671089487963,True,drift_aware,60,0.18,0.0,False
91,1.0115781003050668,True,drift_aware,60,0.18,0.0,False
92,1.014187999695394,True,drift_aware,60,0.18,0.0,False
93,1.0119333695153883,True,drift_aware,60,0.18,0.0,False
94,1.0155141654262587,True,drift_aware,60,0.18,0.0,False
95,1.012430381290877,True,drift_aware,60,0.18,0.0,False
96,1.0152403599392767,True,drift_aware,60,0.18,0.0,False
97,1.014913246923982,True,drift_aware,60,0.18,0.0,False
98,1.015077694603039,True,drift_aware,60,0.18,0.0,False
99,1.0148121734097804,True,drift_aware,60,0.18,0.0,False
100,1.013581978950983,True,drift_aware,60,0.18,0.0,False
101,1.0144153768728539,True,drift_aware,60,0.18,0.0,False
102,1.0155914412460796,True,drift_aware,60,0.18,0.0,False
103,1.0144231424579473,True,drift_aware,60,0.18,0.0,False
104,1.0130830437055425,True,drift_aware,60,0.18,0.0,False
105,1.0119146053780603,True,drift_aware,60,0.18,0.0,False
106,1.0158986191995376,True,drift_aware,60,0.18,0.0,False
107,1.0121641387608409,True,drift_aware,60,0.18,0.0,False
108,1.014387862278067,True,drift_aware,60,0.18,0.0,False
109,1.0162270666013653,True,drift_aware,60,0.18,0.0,False
110,1.0143931497726668,True,drift_aware,60,0.18,0.0,False
111,1.0133774679327003,True,drift_aware,60,0.18,0.0,False
112,1.0147299134429955,True,drift_aware,60,0.18,0.0,False
113,1.0128946575146394,True,drift_aware,60,0.18,0.0,False
114,1.0142402499638488,True,drift_aware,60,0.18,0.0,False
115,1.0132502789527604,True,drift_aware,60,0.18,0.0,False
116,1.0109035518165184,True,drift_aware,60,0.18,0.0,False
117,1.0136264986748833,True,drift_aware,60,0.18,0.0,False
118,1.014674149087703,True,drift_aware,60,0.18,0.0,False
119,1.0145836909657215,True,drift_aware,60,0.18,0.0,False
120,1.0145702775765384,True,drift_aware,60,0.18,0.0,False
121,1.0131599356827992,True,drift_aware,60,0.18,0.0,False
122,1.013762977889396,True,drift_aware,60,0.18,0.0,False
123,1.0131246166537613,True,drift_aware,60,0.18,0.0,False
124,1.015865956677612,True,drift_aware,60,0.18,0.0,False
125,1.0139934281972145,True,drift_aware,60,0.18,0.0,False
126,1.0119074547842637,True,drift_aware,60,0.18,0.0,False
127,1.01346728796202,True,drift_aware,60,0.18,0.0,False
128,1.0132074815150758,True,drift_aware,60,0.18,0.0,False
129,1.014723437181854,True,drift_aware,60,0.18,0.0,False
130,1.0115612236578986,True,drift_aware,60,0.18,0.0,False
131,1.0152868705047668,True,drift_aware,60,0.18,0.0,False
132,1.0150877200372377,True,drift_aware,60,0.18,0.0,False
133,1.0130239055523442,True,drift_aware,60,0.18,0.0,False
134,1.0132948032630622,True,drift_aware,60,0.18,0.0,False
135,1.0139894996263554,True,drift_aware,60,0.18,0.0,False
136,1.0148556528401858,True,drift_aware,60,0.18,0.0,False
137,1.0128568265155653,True,drift_aware,60,0.18,0.0,False
