evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
1,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
2,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
3,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
4,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
5,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
6,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
7,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
8,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
9,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
10,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
11,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1347, threshold=0.2600.",1.0212011693473737,0.8862562129773369,1.0194626303470529,0.8847361344801895,False,no_candidate_improvement,-0.13472649586686336,0.26,False
12,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216429504098452,0.8866430041663369,1.0215460698539465,0.8865459929926032,False,no_candidate_improvement,-0.1350000768613433,0.26,False
13,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216450628824572,0.8866450629563641,1.0215428342113466,0.8865428342093509,False,no_candidate_improvement,-0.13500000000199575,0.26,False
14,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216446172709313,0.886644617271033,1.021542833126879,0.8865428331270916,False,no_candidate_improvement,-0.1349999999997874,0.26,False
15,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216572459578799,0.8866572459578803,1.021556823768198,0.8865568237681987,False,no_candidate_improvement,-0.13499999999999934,0.26,False
16,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216671818137963,0.8866671818137964,1.0215707889183494,0.8865707889183495,False,no_candidate_improvement,-0.1349999999999999,0.26,False
17,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216797517864762,0.8866797517864762,1.0215838915571633,0.8865838915571633,False,no_candidate_improvement,-0.135,0.26,False
18,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216921296890127,0.8866921296890128,1.0216111355554487,0.8866111355554488,False,no_candidate_improvement,-0.1349999999999999,0.26,False
19,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217184630788747,0.8867184630788748,1.0216202850937055,0.8866202850937057,False,no_candidate_improvement,-0.1349999999999998,0.26,False
20,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217494601672044,0.8867494601672044,1.0216373933003682,0.8866373933003681,False,no_candidate_improvement,-0.13500000000000012,0.26,False
21,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217712022247363,0.8867712022247364,1.0216527479543211,0.8866527479543211,False,no_candidate_improvement,-0.135,0.26,False
22,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021783135837041,0.8867831358370412,1.0216584373541684,0.8866584373541684,False,no_candidate_improvement,-0.135,0.26,False
23,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217998064522393,0.8867998064522394,1.021685652699382,0.8866856526993822,False,no_candidate_improvement,-0.1349999999999999,0.26,False
24,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021809146093225,0.8868091460932251,1.0217002864082576,0.8867002864082577,False,no_candidate_improvement,-0.1349999999999999,0.26,False
25,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021796734833146,0.8867967348331461,1.0216806147040725,0.8866806147040726,False,no_candidate_improvement,-0.1349999999999999,0.26,False
26,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218028605922795,0.8868028605922799,1.021690619574093,0.8866906195740931,False,no_candidate_improvement,-0.1349999999999998,0.26,False
27,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217957584621804,0.8867957584621807,1.0216728372693895,0.8866728372693898,False,no_candidate_improvement,-0.13499999999999968,0.26,False
28,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217969428200369,0.886796942820037,1.021675348659828,0.886675348659828,False,no_candidate_improvement,-0.135,0.26,False
29,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217959725635979,0.8867959725635982,1.0216737341024025,0.8866737341024028,False,no_candidate_improvement,-0.13499999999999968,0.26,False
30,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217846276872902,0.8867846276872905,1.0216412428878905,0.8866412428878908,False,no_candidate_improvement,-0.13499999999999968,0.26,False
31,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0217512025495599,0.88675120254956,1.0215875711743394,0.8865875711743396,False,no_candidate_improvement,-0.1349999999999998,0.26,False
32,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021708250711508,0.886708250711508,1.0215319611667535,0.8865319611667535,False,no_candidate_improvement,-0.135,0.26,False
33,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216694195084786,0.8866694195084786,1.0214907593955875,0.8864907593955876,False,no_candidate_improvement,-0.1349999999999999,0.26,False
34,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216351911376327,0.8866351911376328,1.021466542314978,0.8864665423149781,False,no_candidate_improvement,-0.1349999999999999,0.26,False
35,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0216022729089849,0.8866022729089851,1.0214401574644743,0.8864401574644746,False,no_candidate_improvement,-0.13499999999999968,0.26,False
36,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0215753516019275,0.8865753516019277,1.0214299471755344,0.8864299471755347,False,no_candidate_improvement,-0.13499999999999968,0.26,False
37,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0215414434801275,0.8865414434801276,1.0213715487927022,0.8863715487927024,False,no_candidate_improvement,-0.1349999999999998,0.26,False
38,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0215015703441155,0.8865015703441155,1.021340557946718,0.8863405579467181,False,no_candidate_improvement,-0.135,0.26,False
39,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0214735005281887,0.8864735005281887,1.0213070451795416,0.8863070451795416,False,no_candidate_improvement,-0.135,0.26,False
40,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0214329972084886,0.8864329972084887,1.0212708223357112,0.8862708223357113,False,no_candidate_improvement,-0.1349999999999999,0.26,False
41,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021390559922147,0.886390559922147,1.0212564396552577,0.8862564396552578,False,no_candidate_improvement,-0.1349999999999999,0.26,False
42,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0213608498272793,0.8863608498272794,1.0212255709986908,0.886225570998691,False,no_candidate_improvement,-0.1349999999999998,0.26,False
43,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0213432525719943,0.8863432525719945,1.0212167148546591,0.8862167148546595,False,no_candidate_improvement,-0.13499999999999968,0.26,False
44,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0213252738944203,0.8863252738944203,1.0211977369200806,0.8861977369200806,False,no_candidate_improvement,-0.135,0.26,False
