window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,17,1.0285260169668053,0.0004913782111845307,1.0,18.513468305402498,0,0.08,0.0,0.0005448684503949115,1.0285260169668053,0.0004913782111845307,0.08,0.0
1,1,18,1.0338067222164307,1.4479541216453538e-06,1.0,18.608520999895752,0,0.08,0.0,8.243021023290474e-07,1.0338067222164307,1.4479541216453538e-06,0.08,0.0
2,2,19,1.0337185404139566,1.4451210792982128e-06,1.0,18.606933727451217,0,0.08,0.0,1.1338797182045309e-09,1.0337185404139566,1.4451210792982128e-06,0.08,0.0
3,3,20,1.033567908068449,1.2820255072117445e-06,1.0,18.60422234523208,0,0.08,0.0,1.5597229269454155e-12,1.033567908068449,1.2820255072117445e-06,0.08,0.0
4,4,21,1.0335752061422632,1.2831120150745788e-06,1.0,18.604353710560737,0,0.08,0.0,2.145094801375291e-15,1.0335752061422632,1.2831120150745788e-06,0.08,0.0
5,5,22,1.0335955390690568,1.2836051044339195e-06,1.0,18.60471970324302,0,0.08,0.0,2.5699607051508256e-18,1.0335955390690568,1.2836051044339195e-06,0.08,0.0
6,6,23,1.0335382051732278,1.1349648280989458e-06,1.0,18.6036876931181,0,0.08,0.0,0.0,1.0335382051732278,1.1349648280989458e-06,0.08,0.0
7,7,24,1.0335882085352848,1.262805362399455e-06,1.0,18.604587753635126,0,0.08,0.0,0.0,1.0335882085352848,1.262805362399455e-06,0.08,0.0
8,8,25,1.0335810088773085,1.2795239428696684e-06,1.0,18.604458159791555,0,0.08,0.0,0.0,1.0335810088773085,1.2795239428696684e-06,0.08,0.0
9,9,26,1.033653762684373,1.4759842680534849e-06,1.0,18.605767728318714,0,0.08,0.0,0.0,1.033653762684373,1.4759842680534849e-06,0.08,0.0
10,10,27,1.0337500613739634,1.2696013658985987e-06,1.0,18.60750110473134,0,0.08,0.0,0.0,1.0337500613739634,1.2696013658985987e-06,0.08,0.0
11,11,28,1.0336392958852048,1.2300425775276558e-06,1.0,18.605507325933687,0,0.08,0.0,0.0,1.0336392958852048,1.2300425775276558e-06,0.08,0.0
12,12,29,1.0337048599710452,1.2592295111585226e-06,1.0,18.606687479478815,0,0.08,0.0,0.0,1.0337048599710452,1.2592295111585226e-06,0.08,0.0
13,13,30,1.0338320651239934,1.420898998821075e-06,1.0,18.60897717223188,0,0.08,0.0,0.0,1.0338320651239934,1.420898998821075e-06,0.08,0.0
14,14,31,1.0337131109206936,1.1165012717795167e-06,1.0,18.606835996572485,0,0.08,0.0,0.0,1.0337131109206936,1.1165012717795167e-06,0.08,0.0
15,15,32,1.033719407637347,1.1033275592653509e-06,1.0,18.606949337472248,0,0.08,0.0,0.0,1.033719407637347,1.1033275592653509e-06,0.08,0.0
16,16,33,1.0336944019995833,1.145457313008794e-06,1.0,18.606499235992498,0,0.08,0.0,0.0,1.0336944019995833,1.145457313008794e-06,0.08,0.0
17,17,34,1.0337463310998583,1.0930396836268232e-06,1.0,18.607433959797447,0,0.08,0.0,0.0,1.0337463310998583,1.0930396836268232e-06,0.08,0.0
18,18,35,1.0336867142224941,1.0318401349197752e-06,1.0,18.606360856004894,0,0.08,0.0,0.0,1.0336867142224941,1.0318401349197752e-06,0.08,0.0
19,19,36,1.033904202139976,1.234510752156107e-06,1.0,18.610275638519568,0,0.08,0.0,0.0,1.033904202139976,1.234510752156107e-06,0.08,0.0
20,20,37,1.0339529503803158,1.185296151135779e-06,1.0,18.611153106845684,0,0.08,0.0,0.0,1.0339529503803158,1.185296151135779e-06,0.08,0.0
21,21,38,1.0339146224872815,1.2964343659356009e-06,1.0,18.61046320477107,0,0.08,0.0,0.0,1.0339146224872815,1.2964343659356009e-06,0.08,0.0
22,22,39,1.0338932755326902,1.3128456417832304e-06,1.0,18.610078959588424,0,0.08,0.0,0.0,1.0338932755326902,1.3128456417832304e-06,0.08,0.0
23,23,40,1.03383937935298,1.3743841621053134e-06,1.0,18.60910882835364,0,0.08,0.0,0.0,1.03383937935298,1.3743841621053134e-06,0.08,0.0
24,24,41,1.033816960895974,1.3601619116703143e-06,1.0,18.608705296127532,0,0.08,0.0,0.0,1.033816960895974,1.3601619116703143e-06,0.08,0.0
25,25,42,1.0336830922811642,1.2700114723351123e-06,1.0,18.606295661060955,0,0.08,0.0,0.0,1.0336830922811642,1.2700114723351123e-06,0.08,0.0
26,26,43,1.0337866354092826,1.178017214451853e-06,1.0,18.608159437367085,0,0.08,0.0,0.0,1.0337866354092826,1.178017214451853e-06,0.08,0.0
27,27,44,1.0336341596058394,1.013446287699287e-06,1.0,18.605414872905108,0,0.08,0.0,0.0,1.0336341596058394,1.013446287699287e-06,0.08,0.0
28,28,45,1.0337085997375484,1.0872320684851381e-06,1.0,18.606754795275872,0,0.08,0.0,0.0,1.0337085997375484,1.0872320684851381e-06,0.08,0.0
29,29,46,1.0337346786091985,1.0553861104632016e-06,1.0,18.607224214965573,0,0.08,0.0,0.0,1.0337346786091985,1.0553861104632016e-06,0.08,0.0
30,30,47,1.0335506565021235,1.3550214225020798e-06,1.0,18.603911817038224,0,0.08,0.0,0.0,1.0335506565021235,1.3550214225020798e-06,0.08,0.0
31,31,48,1.0335030927106337,1.2034044437922906e-06,1.0,18.603055668791406,0,0.08,0.0,0.0,1.0335030927106337,1.2034044437922906e-06,0.08,0.0
32,32,49,1.033437535435523,1.2137434697354323e-06,1.0,18.601875637839413,0,0.08,0.0,0.0,1.033437535435523,1.2137434697354323e-06,0.08,0.0
33,33,50,1.0334486239605463,1.2000728449716157e-06,1.0,18.60207523128983,0,0.08,0.0,0.0,1.0334486239605463,1.2000728449716157e-06,0.08,0.0
34,34,51,1.033482498060986,1.164759425071973e-06,1.0,18.602684965097747,0,0.08,0.0,0.0,1.033482498060986,1.164759425071973e-06,0.08,0.0
35,35,52,1.0334443105719284,1.174235045169912e-06,1.0,18.60199759029471,0,0.08,0.0,0.0,1.0334443105719284,1.174235045169912e-06,0.08,0.0
36,36,53,1.0334938753395753,1.240675070108477e-06,1.0,18.602889756112354,0,0.08,0.0,0.0,1.0334938753395753,1.240675070108477e-06,0.08,0.0
37,37,54,1.0332760923410855,8.600975552775666e-07,1.0,18.598969662139538,0,0.08,0.0,0.0,1.0332760923410855,8.600975552775666e-07,0.08,0.0
38,38,55,1.0333080920320017,9.150366787526544e-07,1.0,18.59954565657603,0,0.08,0.0,0.0,1.0333080920320017,9.150366787526544e-07,0.08,0.0
39,39,56,1.0332973040130267,9.422395197132674e-07,1.0,18.59935147223448,0,0.08,0.0,0.0,1.0332973040130267,9.422395197132674e-07,0.08,0.0
40,40,57,1.033222546278894,1.03274305346211e-06,1.0,18.598005833020093,0,0.08,0.0,0.0,1.033222546278894,1.03274305346211e-06,0.08,0.0
41,41,58,1.0332254249542827,1.0305108454557857e-06,1.0,18.59805764917709,0,0.08,0.0,0.0,1.0332254249542827,1.0305108454557857e-06,0.08,0.0
42,42,59,1.0331940471530412,1.002178741176049e-06,1.0,18.59749284875474,0,0.08,0.0,0.0,1.0331940471530412,1.002178741176049e-06,0.08,0.0
43,43,60,1.033291900764624,1.1038740814315337e-06,1.0,18.59925421376323,0,0.08,0.0,0.0,1.033291900764624,1.1038740814315337e-06,0.08,0.0
44,44,61,1.0332217521099716,1.0569648238642093e-06,1.0,18.59799153797949,0,0.08,0.0,0.0,1.0332217521099716,1.0569648238642093e-06,0.08,0.0
45,45,62,1.0332528550405735,1.0520132691488108e-06,1.0,18.59855139073032,0,0.08,0.0,0.0,1.0332528550405735,1.0520132691488108e-06,0.08,0.0
46,46,63,1.0331886793737888,9.187078949883457e-07,1.0,18.597396228728197,0,0.08,0.0,0.0,1.0331886793737888,9.187078949883457e-07,0.08,0.0
47,47,64,1.0332044038791635,9.278519417415539e-07,1.0,18.59767926982494,0,0.08,0.0,0.0,1.0332044038791635,9.278519417415539e-07,0.08,0.0
48,48,65,1.033220715535743,8.660824783542373e-07,1.0,18.597972879643372,0,0.08,0.0,0.0,1.033220715535743,8.660824783542373e-07,0.08,0.0
49,49,66,1.03309798661039,7.608505735899101e-07,1.0,18.59576375898702,0,0.08,0.0,0.0,1.03309798661039,7.608505735899101e-07,0.08,0.0
50,50,67,1.0331184638245627,7.558342048263322e-07,1.0,18.59613234884213,0,0.08,0.0,0.0,1.0331184638245627,7.558342048263322e-07,0.08,0.0
51,51,68,1.0332749982733451,1.1122707365632012e-06,1.0,18.598949968920213,0,0.08,0.0,0.0,1.0332749982733451,1.1122707365632012e-06,0.08,0.0
52,52,69,1.0334035393526164,1.3865217885738551e-06,1.0,18.601263708347094,0,0.08,0.0,0.0,1.0334035393526164,1.3865217885738551e-06,0.08,0.0
53,53,70,1.0335197132890426,1.5211880476475174e-06,1.0,18.603354839202765,0,0.08,0.0,0.0,1.0335197132890426,1.5211880476475174e-06,0.08,0.0
54,54,71,1.033460601421809,1.4545989894111191e-06,1.0,18.60229082559256,0,0.08,0.0,0.0,1.033460601421809,1.4545989894111191e-06,0.08,0.0
55,55,72,1.0336320353181363,1.5558401378934834e-06,1.0,18.605376635726454,0,0.08,0.0,0.0,1.0336320353181363,1.5558401378934834e-06,0.08,0.0
