window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,17,1.0287146328072194,0.00047057001189472144,1.0,18.51686339052995,0,0.08,0.0,0.0005311653378053888,1.0287146328072194,0.00047057001189472144,0.08,0.0
1,1,18,1.0340285448377307,1.1127922201035842e-06,1.0,18.61251380707915,0,0.08,0.0,8.044428090058518e-07,1.0340285448377307,1.1127922201035842e-06,0.08,0.0
2,2,19,1.0339978394772733,1.0994851902372479e-06,1.0,18.61196111059092,0,0.08,0.0,1.1065620030363904e-09,1.0339978394772733,1.0994851902372479e-06,0.08,0.0
3,3,20,1.0340347107674865,1.1020931046280014e-06,1.0,18.612624793814756,0,0.08,0.0,1.5221457839021257e-12,1.0340347107674865,1.1020931046280014e-06,0.08,0.0
4,4,21,1.0342459564222766,1.47993337851702e-06,1.0,18.61642721560098,0,0.08,0.0,2.093387191987656e-15,1.0342459564222766,1.47993337851702e-06,0.08,0.0
5,5,22,1.0341906792232956,1.5674804062979717e-06,1.0,18.61543222601932,0,0.08,0.0,2.3643638487387596e-18,1.0341906792232956,1.5674804062979717e-06,0.08,0.0
6,6,23,1.0342403722322722,1.5591861656840692e-06,1.0,18.6163267001809,0,0.08,0.0,0.0,1.0342403722322722,1.5591861656840692e-06,0.08,0.0
7,7,24,1.0342250426592339,1.5513940276450248e-06,1.0,18.61605076786621,0,0.08,0.0,0.0,1.0342250426592339,1.5513940276450248e-06,0.08,0.0
8,8,25,1.0343970026567644,1.275886665442736e-06,1.0,18.619146047821758,0,0.08,0.0,0.0,1.0343970026567644,1.275886665442736e-06,0.08,0.0
9,9,26,1.0344929412635606,1.4623215620616052e-06,1.0,18.62087294274409,0,0.08,0.0,0.0,1.0344929412635606,1.4623215620616052e-06,0.08,0.0
10,10,27,1.0344534249182251,1.5956058485649577e-06,1.0,18.620161648528054,0,0.08,0.0,0.0,1.0344534249182251,1.5956058485649577e-06,0.08,0.0
11,11,28,1.0344461411932777,1.6109962601416244e-06,1.0,18.620030541479,0,0.08,0.0,0.0,1.0344461411932777,1.6109962601416244e-06,0.08,0.0
12,12,29,1.0343194628888794,1.8397186460669463e-06,1.0,18.61775033199983,0,0.08,0.0,0.0,1.0343194628888794,1.8397186460669463e-06,0.08,0.0
