evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
1,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
2,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
3,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
4,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
5,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
6,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
7,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
8,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
9,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
10,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
11,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1347, threshold=0.2600.",1.021778815971828,0.8868333171863871,1.0198936340682834,0.8851634866541247,False,no_candidate_improvement,-0.13473014741415867,0.26,False
12,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222556503597422,0.8872557033983047,1.0220572701967434,0.8870574107006323,False,no_candidate_improvement,-0.13499985949611115,0.26,False
13,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222624949450287,0.8872624950180147,1.0220737769364097,0.8870737771569099,False,no_candidate_improvement,-0.13499999977949972,0.26,False
14,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222738057435417,0.8872738057436423,1.0221034800798667,0.8871034800801704,False,no_candidate_improvement,-0.13499999999969636,0.26,False
15,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222827448266585,0.8872827448266586,1.0221274577575519,0.887127457757552,False,no_candidate_improvement,-0.1349999999999999,0.26,False
16,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222762243410985,0.8872762243410985,1.022116583067708,0.887116583067708,False,no_candidate_improvement,-0.1349999999999999,0.26,False
17,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222682755969839,0.887268275596984,1.0220995940925508,0.8870995940925509,False,no_candidate_improvement,-0.1349999999999999,0.26,False
18,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222637943443167,0.8872637943443169,1.0220930996032096,0.8870930996032098,False,no_candidate_improvement,-0.1349999999999998,0.26,False
19,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222600440060212,0.8872600440060213,1.0220874687183088,0.8870874687183089,False,no_candidate_improvement,-0.1349999999999999,0.26,False
20,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222419122708153,0.8872419122708153,1.0220750154649696,0.8870750154649697,False,no_candidate_improvement,-0.1349999999999999,0.26,False
21,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0222146975795856,0.8872146975795857,1.0220734895862955,0.8870734895862956,False,no_candidate_improvement,-0.1349999999999999,0.26,False
22,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221774743179721,0.8871774743179722,1.0220496556050638,0.8870496556050638,False,no_candidate_improvement,-0.135,0.26,False
23,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221433037288392,0.8871433037288393,1.0220514742740407,0.8870514742740409,False,no_candidate_improvement,-0.1349999999999999,0.26,False
24,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0221138588309508,0.887113858830951,1.022028615435616,0.8870286154356161,False,no_candidate_improvement,-0.1349999999999999,0.26,False
25,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022099689121095,0.887099689121095,1.0219967916715353,0.8869967916715354,False,no_candidate_improvement,-0.1349999999999999,0.26,False
26,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220764155325537,0.8870764155325537,1.0219463566994558,0.8869463566994558,False,no_candidate_improvement,-0.135,0.26,False
27,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220477949107731,0.8870477949107732,1.0218912417262185,0.8868912417262187,False,no_candidate_improvement,-0.1349999999999998,0.26,False
28,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220259665108264,0.8870259665108264,1.0218693108614805,0.8868693108614805,False,no_candidate_improvement,-0.135,0.26,False
29,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220182582866912,0.8870182582866913,1.021863494603234,0.8868634946032339,False,no_candidate_improvement,-0.135,0.26,False
30,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022007852662422,0.8870078526624221,1.0218642080548588,0.8868642080548591,False,no_candidate_improvement,-0.13499999999999968,0.26,False
31,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220128683840783,0.8870128683840783,1.0218595258305485,0.8868595258305484,False,no_candidate_improvement,-0.13500000000000012,0.26,False
32,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220212276304708,0.8870212276304708,1.0218520448183814,0.8868520448183813,False,no_candidate_improvement,-0.13500000000000012,0.26,False
33,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220271663615639,0.8870271663615639,1.0218492405688013,0.8868492405688013,False,no_candidate_improvement,-0.135,0.26,False
34,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220333237434833,0.8870333237434833,1.0218547490030991,0.8868547490030991,False,no_candidate_improvement,-0.135,0.26,False
35,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220527945813254,0.8870527945813254,1.0218577898032464,0.8868577898032465,False,no_candidate_improvement,-0.1349999999999999,0.26,False
36,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220571723049694,0.8870571723049695,1.0218642166050542,0.8868642166050542,False,no_candidate_improvement,-0.135,0.26,False
37,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220528857503937,0.887052885750394,1.0218554902798986,0.886855490279899,False,no_candidate_improvement,-0.13499999999999968,0.26,False
38,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022050365042058,0.8870503650420581,1.0218490956284674,0.8868490956284674,False,no_candidate_improvement,-0.135,0.26,False
39,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220481066985774,0.8870481066985775,1.021842607593529,0.8868426075935291,False,no_candidate_improvement,-0.1349999999999999,0.26,False
40,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220299887898894,0.8870299887898895,1.0217957327684597,0.8867957327684598,False,no_candidate_improvement,-0.1349999999999999,0.26,False
41,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219960217040647,0.8869960217040648,1.0217206129133412,0.8867206129133411,False,no_candidate_improvement,-0.135,0.26,False
42,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219577391188293,0.8869577391188294,1.021654650302387,0.886654650302387,False,no_candidate_improvement,-0.1349999999999999,0.26,False
43,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021916182700748,0.886916182700748,1.0216238557753385,0.8866238557753388,False,no_candidate_improvement,-0.1349999999999998,0.26,False
44,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218785253444602,0.8868785253444602,1.0216167548520458,0.8866167548520459,False,no_candidate_improvement,-0.1349999999999999,0.26,False
