evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
1,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
2,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
3,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
4,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
5,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
6,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
7,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
8,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
9,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
10,stay,greedy_reward,drift_aware,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.26,True
11,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1347, threshold=0.2600.",1.0215428041642878,0.8865974785493754,1.0197079745172746,0.8849796796702991,False,no_candidate_improvement,-0.13472829484697546,0.26,False
12,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220179104126694,0.8870179637988546,1.0219040353101512,0.8869042452432461,False,no_candidate_improvement,-0.1349997900669051,0.26,False
13,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220472919981658,0.8870472920715394,1.0219637176540128,0.8869637178015228,False,no_candidate_improvement,-0.13499999985249,0.26,False
14,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220604514463258,0.8870604514464268,1.021973840797858,0.886973840797956,False,no_candidate_improvement,-0.13499999999990198,0.26,False
15,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220708441337165,0.8870708441337167,1.0219745900185633,0.8869745900185637,False,no_candidate_improvement,-0.13499999999999956,0.26,False
16,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220742608529039,0.8870742608529042,1.0219808115520048,0.8869808115520051,False,no_candidate_improvement,-0.13499999999999968,0.26,False
17,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220706708939709,0.8870706708939711,1.021970767738681,0.8869707677386812,False,no_candidate_improvement,-0.13499999999999968,0.26,False
18,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220584507344648,0.8870584507344649,1.021938478803396,0.8869384788033962,False,no_candidate_improvement,-0.1349999999999999,0.26,False
19,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220635803495983,0.8870635803495984,1.0219485925961311,0.8869485925961312,False,no_candidate_improvement,-0.1349999999999999,0.26,False
20,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220518180078593,0.8870518180078593,1.02192154635307,0.8869215463530699,False,no_candidate_improvement,-0.13500000000000012,0.26,False
21,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0220251494153942,0.8870251494153942,1.0218505007624488,0.8868505007624489,False,no_candidate_improvement,-0.1349999999999999,0.26,False
22,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.022000587951178,0.8870005879511783,1.021813725508214,0.8868137255082144,False,no_candidate_improvement,-0.13499999999999968,0.26,False
23,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219852891404742,0.8869852891404743,1.021803355735778,0.8868033557357781,False,no_candidate_improvement,-0.1349999999999999,0.26,False
24,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021969066825234,0.886969066825234,1.0218012316441873,0.8868012316441876,False,no_candidate_improvement,-0.1349999999999998,0.26,False
25,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219612448440694,0.8869612448440694,1.0218020972114188,0.8868020972114188,False,no_candidate_improvement,-0.135,0.26,False
26,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219577677642715,0.8869577677642716,1.0218039343967686,0.8868039343967686,False,no_candidate_improvement,-0.135,0.26,False
27,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021949470349355,0.8869494703493551,1.02181062055701,0.8868106205570101,False,no_candidate_improvement,-0.135,0.26,False
28,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219514610378801,0.8869514610378801,1.021810552512708,0.886810552512708,False,no_candidate_improvement,-0.1349999999999999,0.26,False
29,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021950415542553,0.8869504155425533,1.0218092190539638,0.886809219053964,False,no_candidate_improvement,-0.1349999999999998,0.26,False
30,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219382120113467,0.8869382120113469,1.0217792552873015,0.8867792552873017,False,no_candidate_improvement,-0.1349999999999998,0.26,False
31,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219135131309578,0.8869135131309579,1.021741338116187,0.8867413381161872,False,no_candidate_improvement,-0.1349999999999999,0.26,False
32,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219012033713397,0.8869012033713398,1.021718562331053,0.8867185623310531,False,no_candidate_improvement,-0.1349999999999999,0.26,False
33,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219036625517908,0.8869036625517909,1.0217246519919685,0.8867246519919685,False,no_candidate_improvement,-0.135,0.26,False
34,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219190589209692,0.8869190589209696,1.0217420289132642,0.8867420289132646,False,no_candidate_improvement,-0.13499999999999956,0.26,False
35,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219209591668306,0.8869209591668307,1.0217434075556642,0.8867434075556644,False,no_candidate_improvement,-0.1349999999999998,0.26,False
36,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0219162221661815,0.8869162221661816,1.0217401511162942,0.8867401511162943,False,no_candidate_improvement,-0.1349999999999999,0.26,False
37,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218929584830638,0.8868929584830639,1.0217169161446602,0.8867169161446602,False,no_candidate_improvement,-0.135,0.26,False
38,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218736235232697,0.8868736235232698,1.0217151316524211,0.8867151316524212,False,no_candidate_improvement,-0.1349999999999999,0.26,False
39,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.02187062450526,0.8868706245052601,1.0217176012123836,0.8867176012123836,False,no_candidate_improvement,-0.135,0.26,False
40,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218588273216447,0.8868588273216447,1.0217206644524093,0.8867206644524094,False,no_candidate_improvement,-0.1349999999999999,0.26,False
41,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218473857147876,0.8868473857147879,1.0217087383098977,0.886708738309898,False,no_candidate_improvement,-0.13499999999999968,0.26,False
42,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218476000586545,0.8868476000586546,1.0217092351980823,0.8867092351980825,False,no_candidate_improvement,-0.1349999999999998,0.26,False
43,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.021854084099118,0.8868540840991179,1.0217223425428914,0.8867223425428915,False,no_candidate_improvement,-0.1349999999999999,0.26,False
44,stay,greedy_reward,drift_aware,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.1350, threshold=0.2600.",1.0218534505337409,0.886853450533741,1.021720819900966,0.8867208199009661,False,no_candidate_improvement,-0.1349999999999999,0.26,False
