episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9395808594771505,True,greedy_reward,60,0.08,0.009637471049347698,False
1,1.0312731748272976,True,greedy_reward,60,0.08,1.4591907988030044e-05,False
2,1.033186630603951,True,greedy_reward,60,0.08,2.0072093078378946e-08,False
3,1.03452135577883,True,greedy_reward,60,0.08,2.7610438009991375e-11,False
4,1.0340647108721472,True,greedy_reward,60,0.08,3.797702892901119e-14,False
5,1.032870567184167,True,greedy_reward,60,0.08,4.4408920985006264e-17,False
6,1.0334249111799008,True,greedy_reward,60,0.08,0.0,False
7,1.0334616846595304,True,greedy_reward,60,0.08,0.0,False
8,1.0325490130748565,True,greedy_reward,60,0.08,0.0,False
9,1.0340557825146617,True,greedy_reward,60,0.08,0.0,False
10,1.0358920096161433,True,greedy_reward,60,0.08,0.0,False
11,1.0345739479248077,True,greedy_reward,60,0.08,0.0,False
12,1.03300387491108,True,greedy_reward,60,0.08,0.0,False
13,1.0346834120477835,True,greedy_reward,60,0.08,0.0,False
14,1.033779029043814,True,greedy_reward,60,0.08,0.0,False
15,1.033648851390095,True,greedy_reward,60,0.08,0.0,False
16,1.0345574115380165,True,greedy_reward,60,0.08,0.0,False
17,1.035593358071196,True,greedy_reward,60,0.08,0.0,False
18,1.0330064523687645,True,greedy_reward,60,0.08,0.0,False
19,1.034924680256745,True,greedy_reward,60,0.08,0.0,False
20,1.034512385326674,True,greedy_reward,60,0.08,0.0,False
21,1.033365276505443,True,greedy_reward,60,0.08,0.0,False
22,1.033620714006763,True,greedy_reward,60,0.08,0.0,False
23,1.033575728108338,True,greedy_reward,60,0.08,0.0,False
24,1.032317909135153,True,greedy_reward,60,0.08,0.0,False
25,1.0346614282546462,True,greedy_reward,60,0.08,0.0,False
26,1.03263354707866,True,greedy_reward,60,0.08,0.0,False
27,1.0354152411275925,True,greedy_reward,60,0.08,0.0,False
28,1.036399607472489,True,greedy_reward,60,0.08,0.0,False
29,1.0355476310378713,True,greedy_reward,60,0.08,0.0,False
30,1.032250786036496,True,greedy_reward,60,0.08,0.0,False
31,1.0348324210786346,True,greedy_reward,60,0.08,0.0,False
32,1.0345072714630414,True,greedy_reward,60,0.08,0.0,False
33,1.0309883002582345,True,greedy_reward,60,0.08,0.0,False
34,1.0326003379176882,True,greedy_reward,60,0.08,0.0,False
35,1.0344340207172675,True,greedy_reward,60,0.08,0.0,False
36,1.0356468979039346,True,greedy_reward,60,0.08,0.0,False
37,1.03247601448256,True,greedy_reward,60,0.08,0.0,False
38,1.0313785527572443,True,greedy_reward,60,0.08,0.0,False
39,1.0351798870314184,True,greedy_reward,60,0.08,0.0,False
40,1.036129785768684,True,greedy_reward,60,0.08,0.0,False
41,1.0343494916878841,True,greedy_reward,60,0.08,0.0,False
42,1.0333780966224835,True,greedy_reward,60,0.08,0.0,False
43,1.0357495050574892,True,greedy_reward,60,0.08,0.0,False
44,1.032320859010751,True,greedy_reward,60,0.08,0.0,False
45,1.034974286077242,True,greedy_reward,60,0.08,0.0,False
46,1.0337848808007348,True,greedy_reward,60,0.08,0.0,False
47,1.031978904072123,True,greedy_reward,60,0.08,0.0,False
48,1.0321917693848246,True,greedy_reward,60,0.08,0.0,False
49,1.0350596448103004,True,greedy_reward,60,0.08,0.0,False
50,1.0345622288500282,True,greedy_reward,60,0.08,0.0,False
51,1.0355955628534337,True,greedy_reward,60,0.08,0.0,False
52,1.032193311760792,True,greedy_reward,60,0.08,0.0,False
