window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,17,1.028595588039746,0.0004672224374975874,1.0,18.514720584715427,0,0.08,0.0,0.0005362268365042925,1.028595588039746,0.0004672224374975874,0.08,0.0
1,1,18,1.033785898755947,1.1627690033484437e-06,1.0,18.608146177607043,0,0.08,0.0,8.117782071982151e-07,1.033785898755947,1.1627690033484437e-06,0.08,0.0
2,2,19,1.033988760168694,8.428963486197196e-07,1.0,18.61179768303649,0,0.08,0.0,1.1166523076570438e-09,1.033988760168694,8.428963486197196e-07,0.08,0.0
3,3,20,1.0340624132088452,8.16958882042587e-07,1.0,18.613123437759214,0,0.08,0.0,1.5360255248800763e-12,1.0340624132088452,8.16958882042587e-07,0.08,0.0
4,4,21,1.033998186582546,8.281322281104712e-07,1.0,18.611967358485828,0,0.08,0.0,2.1123021027775663e-15,1.033998186582546,8.281322281104712e-07,0.08,0.0
5,5,22,1.0339735200900246,8.351937958327869e-07,1.0,18.611523361620442,0,0.08,0.0,2.4671622769447924e-18,1.0339735200900246,8.351937958327869e-07,0.08,0.0
6,6,23,1.034012695696923,7.748664758877267e-07,1.0,18.612228522544612,0,0.08,0.0,0.0,1.034012695696923,7.748664758877267e-07,0.08,0.0
7,7,24,1.0339511955833258,9.1146259255442e-07,1.0,18.611121520499864,0,0.08,0.0,0.0,1.0339511955833258,9.1146259255442e-07,0.08,0.0
8,8,25,1.0340178480052766,9.217316862522684e-07,1.0,18.61232126409498,0,0.08,0.0,0.0,1.0340178480052766,9.217316862522684e-07,0.08,0.0
9,9,26,1.0340225443388213,9.083103530706765e-07,1.0,18.612405798098784,0,0.08,0.0,0.0,1.0340225443388213,9.083103530706765e-07,0.08,0.0
10,10,27,1.0340980698173174,1.010300675675287e-06,1.0,18.613765256711716,0,0.08,0.0,0.0,1.0340980698173174,1.010300675675287e-06,0.08,0.0
11,11,28,1.0341262696982256,1.1249974188565862e-06,1.0,18.61427285456806,0,0.08,0.0,0.0,1.0341262696982256,1.1249974188565862e-06,0.08,0.0
12,12,29,1.0341803632045068,1.2231742149505358e-06,1.0,18.615246537681124,0,0.08,0.0,0.0,1.0341803632045068,1.2231742149505358e-06,0.08,0.0
13,13,30,1.0341385249336967,1.3513761819760515e-06,1.0,18.61449344880654,0,0.08,0.0,0.0,1.0341385249336967,1.3513761819760515e-06,0.08,0.0
14,14,31,1.0341468032131884,1.3615626461125898e-06,1.0,18.61464245783739,0,0.08,0.0,0.0,1.0341468032131884,1.3615626461125898e-06,0.08,0.0
15,15,32,1.0341872611253677,1.3596302212042945e-06,1.0,18.61537070025662,0,0.08,0.0,0.0,1.0341872611253677,1.3596302212042945e-06,0.08,0.0
