evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
1,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
2,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
3,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
4,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
5,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
6,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
7,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
8,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
9,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
10,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
11,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0931, threshold=0.2200.",0.8173480266513576,0.906927720674636,0.8125761672441266,0.9056519031897957,False,no_candidate_improvement,0.09307573594566909,0.22,False
12,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0917, threshold=0.2200.",0.8184109745043092,0.907283801245239,0.8154585712179067,0.9071670451989569,False,no_candidate_improvement,0.0917084739810502,0.22,False
13,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0905, threshold=0.2200.",0.8190353117369106,0.9072980249859833,0.816636573418953,0.9071779802101866,False,no_candidate_improvement,0.09054140679123357,0.22,False
14,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0897, threshold=0.2200.",0.8194759005316192,0.9073196406858596,0.8174935038803509,0.9071736654581234,False,no_candidate_improvement,0.08968016157777248,0.22,False
15,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0890, threshold=0.2200.",0.8198578772680606,0.9073391286674073,0.8181606156165971,0.9071687637199057,False,no_candidate_improvement,0.08900814810330859,0.22,False
16,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0888, threshold=0.2200.",0.8200367227027326,0.9073544435709433,0.8183824312708161,0.9071814411669877,False,no_candidate_improvement,0.08879900989617162,0.22,False
17,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0889, threshold=0.2200.",0.8200091403884749,0.9073757319732906,0.818350488769231,0.9072055918326056,False,no_candidate_improvement,0.08885510306337463,0.22,False
18,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0888, threshold=0.2200.",0.8201051546369141,0.9074090046319702,0.81850299659281,0.9072726736114157,False,no_candidate_improvement,0.08876967701860572,0.22,False
19,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0882, threshold=0.2200.",0.8204295002671361,0.9074361866686768,0.8191396863161654,0.9073251645703563,False,no_candidate_improvement,0.08818547825419087,0.22,False
