evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
1,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
2,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
3,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
4,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
5,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
6,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
7,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
8,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
9,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
10,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
11,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0989, threshold=0.2200.",0.8076910876009343,0.906407971056589,0.8063265612766988,0.9052626400921833,False,no_candidate_improvement,0.0989360788154845,0.22,False
12,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.1002, threshold=0.2200.",0.807773158316751,0.906719208936115,0.8064149950190665,0.9066427687077273,False,no_candidate_improvement,0.10022777368866076,0.22,False
13,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.1003, threshold=0.2200.",0.8076544889672624,0.9067063499924255,0.806375265126931,0.9066436310151782,False,no_candidate_improvement,0.10026836588824717,0.22,False
14,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.1003, threshold=0.2200.",0.807805507590902,0.9067057415644358,0.8063314790052222,0.9066437902524573,False,no_candidate_improvement,0.10031231124723516,0.22,False
15,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.1000, threshold=0.2200.",0.8082730407665707,0.9067037426775904,0.8066890058962831,0.9066439814841396,False,no_candidate_improvement,0.09995497558785649,0.22,False
16,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.1003, threshold=0.2200.",0.8091069624318165,0.9067145070273844,0.8063245388152888,0.9066430208224725,False,no_candidate_improvement,0.10031848200718374,0.22,False
17,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.1002, threshold=0.2200.",0.8100281871693965,0.9067230387149028,0.8064333939652131,0.906652852493353,False,no_candidate_improvement,0.10021945852813996,0.22,False
18,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.1000, threshold=0.2200.",0.8105847904519008,0.9067402031869322,0.8067161655258435,0.9066956278967051,False,no_candidate_improvement,0.09997946237086164,0.22,False
19,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0993, threshold=0.2200.",0.8114382397841088,0.906748589680536,0.8073670422629875,0.9067097132598352,False,no_candidate_improvement,0.09934267099684768,0.22,False
