evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
1,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
2,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
3,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
4,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
5,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
6,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
7,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
8,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
9,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
10,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
11,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0919, threshold=0.2200.",0.8166449095701339,0.9068615601583844,0.8136968893972073,0.9056191305262826,False,no_candidate_improvement,0.09192224112907532,0.22,False
12,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0923, threshold=0.2200.",0.8172228358096066,0.9072040538865256,0.8148297552290977,0.9071447091240336,False,no_candidate_improvement,0.09231495389493583,0.22,False
13,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0922, threshold=0.2200.",0.8173216905261139,0.9072047671325024,0.8149589577606144,0.9071461327265233,False,no_candidate_improvement,0.09218717496590889,0.22,False
14,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0922, threshold=0.2200.",0.8173984745061649,0.9072066248035376,0.8149921188886288,0.907148762411543,False,no_candidate_improvement,0.0921566435229142,0.22,False
15,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0921, threshold=0.2200.",0.8174305692749462,0.9071964876658235,0.8149954269370735,0.9071427603706775,False,no_candidate_improvement,0.09214733343360404,0.22,False
16,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0922, threshold=0.2200.",0.8176069401441776,0.9071864516388436,0.8149557526682237,0.907132774318654,False,no_candidate_improvement,0.09217702165043029,0.22,False
17,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0921, threshold=0.2200.",0.8176930230621592,0.9071756497307982,0.8150486040069711,0.9071175742375898,False,no_candidate_improvement,0.09206897023061866,0.22,False
18,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0916, threshold=0.2200.",0.8180446502094929,0.9071724632576981,0.8154661913985211,0.9071129334442142,False,no_candidate_improvement,0.09164674204569312,0.22,False
