window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,23,0.8265598204003077,0.0010639345841262898,0.9583333333333334,19.837435689607386,0,0.10000000000000002,1.0,0.0003721133514405615,0.8265598204003077,0.0010639345841262898,0.10000000000000002,0.0
1,1,24,0.8312587487670758,0.000914612159918407,0.9583333333333334,19.95020997040982,0,0.10000000000000002,1.0,2.7260304838447016e-05,0.8312587487670758,0.000914612159918407,0.10000000000000002,0.0
2,2,25,0.8332130219111583,0.0009702092662681721,0.9583333333333334,19.9971125258678,0,0.10000000000000002,1.0,1.9458054492871227e-05,0.8332130219111583,0.0009702092662681721,0.10000000000000002,0.0
3,3,26,0.8342108430198443,0.0009723854192901575,0.9583333333333334,20.021060232476263,0,0.10000000000000002,1.0,4.6950694349674284e-05,0.8342108430198443,0.0009723854192901575,0.10000000000000002,0.0
4,4,27,0.8342296061612249,0.0009724714016934192,0.9583333333333334,20.021510547869397,0,0.10000000000000002,1.0,5.4547650565825445e-06,0.8342296061612249,0.0009724714016934192,0.10000000000000002,0.0
5,5,28,0.8321630910553931,0.0010083165640730784,0.9583333333333334,19.971914185329435,0,0.10000000000000002,1.0,-4.736672647372007e-05,0.8321630910553931,0.0010083165640730784,0.10000000000000002,0.0
6,6,29,0.830571528599565,0.0010865252559138514,0.9583333333333334,19.93371668638956,0,0.10000000000000002,1.0,-1.7213739635994998e-05,0.830571528599565,0.0010865252559138514,0.10000000000000002,0.0
7,7,30,0.8283622441969157,0.000978669361849111,0.9583333333333334,19.880693860725977,0,0.10000000000000002,1.0,-2.8626701828295296e-06,0.8283622441969157,0.000978669361849111,0.10000000000000002,0.0
8,8,31,0.8296174074276644,0.0009426186032758315,0.9583333333333334,19.910817778263947,0,0.10000000000000002,1.0,-1.0429168141859842e-05,0.8296174074276644,0.0009426186032758315,0.10000000000000002,0.0
9,9,32,0.8311143581598599,0.0008959591520452835,0.9583333333333334,19.946744595836638,0,0.10000000000000002,1.0,3.3301019237607586e-05,0.8311143581598599,0.0008959591520452835,0.10000000000000002,0.0
10,10,33,0.835248628373447,0.000755832143371879,1.0,20.04596708096273,0,0.10000000000000002,0.0,1.4262783719865699e-05,0.835248628373447,0.000755832143371879,0.10000000000000002,0.0
11,11,34,0.8354523396645662,0.0007520805652506592,1.0,20.05085615194959,0,0.10000000000000002,0.0,2.889436457511731e-05,0.8354523396645662,0.0007520805652506592,0.10000000000000002,0.0
12,12,35,0.8334353615240325,0.0007660658343837378,1.0,20.00244867657678,0,0.10000000000000002,0.0,-3.37799308560871e-05,0.8334353615240325,0.0007660658343837378,0.10000000000000002,0.0
13,13,36,0.8324295032270657,0.0008371014694297939,1.0,19.978308077449576,0,0.10000000000000002,0.0,-2.3507953106323805e-05,0.8324295032270657,0.0008371014694297939,0.10000000000000002,0.0
14,14,37,0.8340941507303251,0.0007688145590494897,1.0,20.018259617527804,0,0.10000000000000002,0.0,7.570324729540279e-06,0.8340941507303251,0.0007688145590494897,0.10000000000000002,0.0
15,15,38,0.834561461243248,0.0007997904094304034,1.0,20.029475069837954,0,0.10000000000000002,0.0,2.5910571031255976e-05,0.834561461243248,0.0007997904094304034,0.10000000000000002,0.0
16,16,39,0.8363146930842987,0.0008156538631821221,1.0,20.07155263402317,0,0.10000000000000002,0.0,-1.6086075324155856e-06,0.8363146930842987,0.0008156538631821221,0.10000000000000002,0.0
17,17,40,0.8331356272665859,0.0007060225411389999,1.0,19.99525505439806,0,0.10000000000000002,0.0,-5.6491102380246355e-05,0.8331356272665859,0.0007060225411389999,0.10000000000000002,0.0
18,18,41,0.8347249004653992,0.0007557557450608208,1.0,20.03339761116958,0,0.10000000000000002,0.0,5.619164605003234e-06,0.8347249004653992,0.0007557557450608208,0.10000000000000002,0.0
19,19,42,0.8346049634753284,0.0007551287015044281,1.0,20.03051912340788,0,0.10000000000000002,0.0,-2.4424738938563708e-05,0.8346049634753284,0.0007551287015044281,0.10000000000000002,0.0
20,20,43,0.8363725511605913,0.000674153575940258,1.0,20.07294122785419,0,0.10000000000000002,0.0,5.255901275002991e-05,0.8363725511605913,0.000674153575940258,0.10000000000000002,0.0
21,21,44,0.8369749589575886,0.0006833015451168428,1.0,20.087399014982125,0,0.10000000000000002,0.0,3.603002217725935e-05,0.8369749589575886,0.0006833015451168428,0.10000000000000002,0.0
22,22,45,0.8385715486466041,0.0007275181097444188,1.0,20.1257171675185,0,0.10000000000000002,0.0,5.174424782131211e-05,0.8385715486466041,0.0007275181097444188,0.10000000000000002,0.0
23,23,46,0.8382084711948458,0.0007446424617026092,1.0,20.1170033086763,0,0.10000000000000002,0.0,-1.6318251345463457e-05,0.8382084711948458,0.0007446424617026092,0.10000000000000002,0.0
24,24,47,0.8367642894840754,0.0006760716340592862,1.0,20.08234294761781,0,0.10000000000000002,0.0,-2.2867674791058466e-05,0.8367642894840754,0.0006760716340592862,0.10000000000000002,0.0
25,25,48,0.8357751614342589,0.0006339977354577147,1.0,20.058603874422214,0,0.10000000000000002,0.0,6.736384675982367e-06,0.8357751614342589,0.0006339977354577147,0.10000000000000002,0.0
26,26,49,0.8353129723735998,0.0006073559333904465,1.0,20.047511336966394,0,0.10000000000000002,0.0,-6.500438117933623e-05,0.8353129723735998,0.0006073559333904465,0.10000000000000002,0.0
27,27,50,0.8372798464484803,0.0007414271877622065,1.0,20.094716314763527,0,0.10000000000000002,0.0,2.0750986562818425e-05,0.8372798464484803,0.0007414271877622065,0.10000000000000002,0.0
28,28,51,0.8377680889825821,0.0007463795130148195,1.0,20.10643413558197,0,0.10000000000000002,0.0,-5.592750346094968e-05,0.8377680889825821,0.0007463795130148195,0.10000000000000002,0.0
29,29,52,0.8379222508842626,0.0007351966356418322,1.0,20.110134021222304,0,0.10000000000000002,0.0,7.956369678642193e-06,0.8379222508842626,0.0007351966356418322,0.10000000000000002,0.0
30,30,53,0.8375349718498449,0.0007775472893199237,1.0,20.10083932439628,0,0.10000000000000002,0.0,-4.7667187046901964e-05,0.8375349718498449,0.0007775472893199237,0.10000000000000002,0.0
31,31,54,0.8354783568079734,0.0009166603562642684,1.0,20.05148056339136,0,0.10000000000000002,0.0,-5.841508392694133e-05,0.8354783568079734,0.0009166603562642684,0.10000000000000002,0.0
32,32,55,0.8343995765498581,0.0009559139968715638,1.0,20.025589837196595,0,0.10000000000000002,0.0,4.3601278464675606e-05,0.8343995765498581,0.0009559139968715638,0.10000000000000002,0.0
33,33,56,0.8340184718065192,0.0009605160816818948,1.0,20.016443323356462,0,0.10000000000000002,0.0,-2.7681326424570166e-05,0.8340184718065192,0.0009605160816818948,0.10000000000000002,0.0
34,34,57,0.8300133986181063,0.001074509149071718,1.0,19.920321566834552,0,0.10000000000000002,0.0,-1.7450547729556257e-05,0.8300133986181063,0.001074509149071718,0.10000000000000002,0.0
35,35,58,0.8255446290627385,0.0015465658786005113,0.9583333333333334,19.813071097505723,0,0.10000000000000002,0.0,-2.5317437772922552e-05,0.8255446290627385,0.0015465658786005113,0.10000000000000002,0.0
36,36,59,0.8253017142009625,0.0015570427595221618,0.9583333333333334,19.807241140823102,0,0.10000000000000002,1.0,-3.942414379822288e-05,0.8253017142009625,0.0015570427595221618,0.10000000000000002,0.0
37,37,60,0.8263094331268924,0.0015002844638999696,0.9583333333333334,19.83142639504542,0,0.10000000000000002,1.0,1.502829918519147e-05,0.8263094331268924,0.0015002844638999696,0.10000000000000002,0.0
38,38,61,0.8229792832352545,0.0017126113704158195,0.9166666666666666,19.751502797646108,0,0.10000000000000002,1.0,-6.116704170113268e-05,0.8229792832352545,0.0017126113704158195,0.10000000000000002,0.0
39,39,62,0.8173253386733025,0.0018813412285598626,0.9166666666666666,19.61580812815926,0,0.10000000000000002,1.0,-0.00011274251798925559,0.8173253386733025,0.0018813412285598626,0.10000000000000002,0.0
40,40,63,0.8133400286515546,0.001898521774063076,0.9166666666666666,19.52016068763731,0,0.10000000000000002,1.0,-3.427631667049977e-06,0.8133400286515546,0.001898521774063076,0.10000000000000002,0.0
41,41,64,0.8114632973541985,0.001977732497508067,0.9166666666666666,19.475119136500766,0,0.10000000000000002,1.0,-2.3669513543208504e-05,0.8114632973541985,0.001977732497508067,0.10000000000000002,0.0
42,42,65,0.8070484269243586,0.0019211006640423153,0.9166666666666666,19.369162246184608,0,0.10000000000000002,1.0,-4.3362119661306894e-05,0.8070484269243586,0.0019211006640423153,0.10000000000000002,0.0
