window_index,start_episode,end_episode,reward_mean,reward_variance,success_rate,cumulative_reward,switches,compute_cost_mean,recovery_time,learning_progress_mean,utility_reward_mean,utility_reward_variance,utility_compute_cost,utility_switch_cost
0,0,23,0.8179351087982712,0.0019400734336343555,0.875,19.63044261115851,0,0.10000000000000002,1.0,0.00032439264873717846,0.8179351087982712,0.0019400734336343555,0.10000000000000002,0.0
1,1,24,0.8211826500990494,0.0015485976536095082,0.9166666666666666,19.708383602377186,0,0.10000000000000002,1.0,4.722430320065918e-06,0.8211826500990494,0.0015485976536095082,0.10000000000000002,0.0
2,2,25,0.8231515067392216,0.0015298011571265135,0.9166666666666666,19.755636161741318,0,0.10000000000000002,1.0,5.2749092077755386e-05,0.8231515067392216,0.0015298011571265135,0.10000000000000002,0.0
3,3,26,0.8257094286613295,0.00130324061740789,0.9583333333333334,19.817026287871908,0,0.10000000000000002,1.0,-2.9214757995135336e-05,0.8257094286613295,0.00130324061740789,0.10000000000000002,0.0
4,4,27,0.8272071937091708,0.0012887302522202808,0.9583333333333334,19.8529726490201,0,0.10000000000000002,1.0,8.274441822450907e-05,0.8272071937091708,0.0012887302522202808,0.10000000000000002,0.0
5,5,28,0.8275815401987147,0.001286083107184345,0.9583333333333334,19.861956964769153,0,0.10000000000000002,1.0,-1.7045329815640944e-05,0.8275815401987147,0.001286083107184345,0.10000000000000002,0.0
6,6,29,0.8301913057518736,0.0014317154801533356,0.9583333333333334,19.924591338044966,0,0.10000000000000002,1.0,2.9294853002998566e-05,0.8301913057518736,0.0014317154801533356,0.10000000000000002,0.0
7,7,30,0.8339775003256985,0.001152724934739652,1.0,20.015460007816763,0,0.10000000000000002,0.0,1.2970089486034745e-05,0.8339775003256985,0.001152724934739652,0.10000000000000002,0.0
8,8,31,0.8321527556472564,0.0011677725973786794,1.0,19.971666135534154,0,0.10000000000000002,0.0,4.221395414713682e-05,0.8321527556472564,0.0011677725973786794,0.10000000000000002,0.0
9,9,32,0.8354618627148493,0.001035882764315444,1.0,20.051084705156384,0,0.10000000000000002,0.0,-7.33560975312999e-06,0.8354618627148493,0.001035882764315444,0.10000000000000002,0.0
10,10,33,0.8358490303701694,0.0010451598143552654,1.0,20.060376728884066,0,0.10000000000000002,0.0,2.189891475439945e-05,0.8358490303701694,0.0010451598143552654,0.10000000000000002,0.0
