evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
1,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
2,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
3,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
4,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
5,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
6,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
7,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
8,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
9,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
10,stay,tempered_reward,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.22,True
11,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0982, threshold=0.2200.",0.8136022559729698,0.9066649348505904,0.8071429243604539,0.9053861756821093,False,no_candidate_improvement,0.09824325132165546,0.22,False
12,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0974, threshold=0.2200.",0.814906043709982,0.9070083466827609,0.8094776682754123,0.906870979872068,False,no_candidate_improvement,0.09739331159665565,0.22,False
13,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0956, threshold=0.2200.",0.8159285343419386,0.9070327805930534,0.8113425872170453,0.9069202289431039,False,no_candidate_improvement,0.09557764172605854,0.22,False
14,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0939, threshold=0.2200.",0.816740070112735,0.9070377797138751,0.8130087922729821,0.9069304540832324,False,no_candidate_improvement,0.0939216618102503,0.22,False
15,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0930, threshold=0.2200.",0.8171082680523315,0.9070363605624294,0.8139269031143858,0.9069265308211752,False,no_candidate_improvement,0.09299962770678949,0.22,False
16,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0924, threshold=0.2200.",0.8173216180354307,0.9070371539687611,0.8144820061880275,0.9069282681023916,False,no_candidate_improvement,0.09244626191436411,0.22,False
17,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0918, threshold=0.2200.",0.8175523004078126,0.9070353008044005,0.8151065015196852,0.9069258884093333,False,no_candidate_improvement,0.09181938688964808,0.22,False
18,stay,tempered_reward,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=0.0918, threshold=0.2200.",0.8175487249330642,0.9070198355105359,0.8150982129782818,0.9069126513021756,False,no_candidate_improvement,0.0918144383238938,0.22,False
