episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8437042313286457,True,lcb_conservative,55,0.12,0.009823491369395023,False
1,0.9228514295715707,True,lcb_conservative,55,0.12,3.5657464685933214e-05,False
2,0.9629103694760179,True,lcb_conservative,55,0.12,1.0851467646879407e-07,False
3,0.9872433821636303,True,lcb_conservative,55,0.12,3.3023758475278243e-10,False
4,0.9922455401406106,True,lcb_conservative,55,0.12,1.0049981049385017e-12,False
5,1.0658798910727492,True,lcb_conservative,55,0.12,3.0601783733304314e-15,False
6,0.9704551747106346,True,lcb_conservative,55,0.12,0.0,False
7,0.9485277210690115,True,lcb_conservative,55,0.12,0.0,False
8,0.9369036195938072,True,lcb_conservative,55,0.12,0.0,False
9,0.9218389701763217,True,lcb_conservative,55,0.12,0.0,False
10,0.9071686496971202,True,lcb_conservative,55,0.12,0.0,False
11,1.0056791053833984,True,lcb_conservative,55,0.12,0.0,False
12,1.005884938192996,True,lcb_conservative,55,0.12,0.0,False
13,0.9595073602939614,True,lcb_conservative,55,0.12,0.0,False
14,0.8567656821799651,True,lcb_conservative,55,0.12,0.0,False
15,0.9696594415136063,True,lcb_conservative,55,0.12,0.0,False
16,1.0216850898169767,True,lcb_conservative,55,0.12,0.0,False
17,0.9817520700893814,True,lcb_conservative,55,0.12,0.0,False
18,0.9287090919272247,True,lcb_conservative,55,0.12,0.0,False
19,0.9607520081564329,True,lcb_conservative,55,0.12,0.0,False
20,0.983956126445351,True,lcb_conservative,55,0.12,0.0,False
21,1.0174718435402523,True,lcb_conservative,55,0.12,0.0,False
22,0.9309319416472946,True,lcb_conservative,55,0.12,0.0,False
23,1.0206497449678789,True,lcb_conservative,55,0.12,0.0,False
24,0.9366812019411391,True,lcb_conservative,55,0.12,0.0,False
25,1.011159194022485,True,lcb_conservative,55,0.12,0.0,False
26,1.016170886085139,True,lcb_conservative,55,0.12,0.0,False
27,1.082581469291704,True,lcb_conservative,55,0.12,0.0,False
28,0.9708504223047484,True,lcb_conservative,55,0.12,0.0,False
29,0.9970574965435715,True,lcb_conservative,55,0.12,0.0,False
30,0.8913696746837184,True,lcb_conservative,55,0.12,0.0,False
31,0.961720183646232,True,lcb_conservative,55,0.12,0.0,False
32,0.9871793979425353,True,lcb_conservative,55,0.12,0.0,False
33,0.9923680523470612,True,lcb_conservative,55,0.12,0.0,False
34,1.0223727340785813,True,lcb_conservative,55,0.12,0.0,False
35,0.9493771554379119,True,lcb_conservative,55,0.12,0.0,False
36,0.9892293729401626,True,lcb_conservative,55,0.12,0.0,False
37,1.0534282804088415,True,lcb_conservative,55,0.12,0.0,False
38,0.9335997884853374,True,lcb_conservative,55,0.12,0.0,False
39,0.9683465157837331,True,lcb_conservative,55,0.12,0.0,False
40,0.9873745114007155,True,lcb_conservative,55,0.12,0.0,False
41,1.0187033162650974,True,lcb_conservative,55,0.12,0.0,False
42,0.921755233732663,True,lcb_conservative,55,0.12,0.0,False
43,0.9706734543348186,True,lcb_conservative,55,0.12,0.0,False
44,0.9565985951480172,True,lcb_conservative,55,0.12,0.0,False
45,0.9242795666545952,True,lcb_conservative,55,0.12,0.0,False
46,1.0065186225238465,True,lcb_conservative,55,0.12,0.0,False
47,0.9773799118764471,True,lcb_conservative,55,0.12,0.0,False
48,0.9264871328581522,True,lcb_conservative,55,0.12,0.0,False
49,0.9070857432034355,True,lcb_conservative,55,0.12,0.0,False
50,1.0180513299187313,True,lcb_conservative,55,0.12,0.0,False
51,1.005547070751937,True,lcb_conservative,55,0.12,0.0,False
52,0.9481215663629012,True,lcb_conservative,55,0.12,0.0,False
53,0.9765038794619008,True,lcb_conservative,55,0.12,0.0,False
54,1.0049499738547254,True,lcb_conservative,55,0.12,0.0,False
55,0.9884480337017592,True,lcb_conservative,55,0.12,0.0,False
56,0.9466862874301025,True,lcb_conservative,55,0.12,0.0,False
57,0.9220149655127452,True,lcb_conservative,55,0.12,0.0,False
58,0.9507681058390923,True,lcb_conservative,55,0.12,0.0,False
59,0.9862493517719778,True,lcb_conservative,55,0.12,0.0,False
60,0.9771083526806742,True,lcb_conservative,55,0.12,0.0,False
61,0.9319400112838818,True,lcb_conservative,55,0.12,0.0,False
62,0.9384527333224576,True,lcb_conservative,55,0.12,0.0,False
63,0.9856021450984709,True,lcb_conservative,55,0.12,0.0,False
64,1.0165543618578836,True,lcb_conservative,55,0.12,0.0,False
65,0.9411315237710935,True,lcb_conservative,55,0.12,0.0,False
66,1.0179209494963546,True,lcb_conservative,55,0.12,0.0,False
67,0.929037962736248,True,lcb_conservative,55,0.12,0.0,False
68,0.9980123840623207,True,lcb_conservative,55,0.12,0.0,False
69,0.8844314485294226,True,lcb_conservative,55,0.12,0.0,False
70,1.0074994026292825,True,lcb_conservative,55,0.12,0.0,False
71,0.9701926065262927,True,lcb_conservative,55,0.12,0.0,False
72,0.9382679165599408,True,lcb_conservative,55,0.12,0.0,False
73,0.9116707774112616,True,lcb_conservative,55,0.12,0.0,False
74,1.0061212390298895,True,lcb_conservative,55,0.12,0.0,False
75,0.9843491727766002,True,lcb_conservative,55,0.12,0.0,False
76,1.0224694388723408,True,lcb_conservative,55,0.12,0.0,False
77,0.9757505167472945,True,lcb_conservative,55,0.12,0.0,False
78,0.9397803755333163,True,lcb_conservative,55,0.12,0.0,False
79,1.0111610589268456,True,lcb_conservative,55,0.12,0.0,False
80,0.996033786856772,True,lcb_conservative,55,0.12,0.0,False
81,0.9599871803652767,True,lcb_conservative,55,0.12,0.0,False
82,0.947652313562235,True,lcb_conservative,55,0.12,0.0,False
83,1.0499791232009157,True,lcb_conservative,55,0.12,0.0,False
84,0.9488090474917622,True,lcb_conservative,55,0.12,0.0,False
85,0.9783444824988663,True,lcb_conservative,55,0.12,0.0,False
