episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8739338930962407,True,lcb_conservative,55,0.12,0.009635797792976747,False
1,0.9170444979531431,True,lcb_conservative,55,0.12,3.5420050575669056e-05,False
2,0.9937495384004967,True,lcb_conservative,55,0.12,1.0779216533504413e-07,False
3,0.9998392283265164,True,lcb_conservative,55,0.12,3.2803880016403624e-10,False
4,0.9930401178457557,True,lcb_conservative,55,0.12,9.983064879809882e-13,False
5,0.9975733701035878,True,lcb_conservative,55,0.12,3.0379739128379283e-15,False
6,1.0134550597016898,True,lcb_conservative,55,0.12,0.0,False
7,0.9457901712021792,True,lcb_conservative,55,0.12,0.0,False
8,0.9058884951725097,True,lcb_conservative,55,0.12,0.0,False
9,0.9450262199396144,True,lcb_conservative,55,0.12,0.0,False
10,0.9600739003371428,True,lcb_conservative,55,0.12,0.0,False
11,0.9969060888824537,True,lcb_conservative,55,0.12,0.0,False
12,0.9458780990350205,True,lcb_conservative,55,0.12,0.0,False
13,0.9257630545816078,True,lcb_conservative,55,0.12,0.0,False
14,0.9824670126698651,True,lcb_conservative,55,0.12,0.0,False
15,0.9023181336194597,True,lcb_conservative,55,0.12,0.0,False
16,0.8828150213803323,True,lcb_conservative,55,0.12,0.0,False
17,0.9771337643748914,True,lcb_conservative,55,0.12,0.0,False
18,1.0003493539409163,True,lcb_conservative,55,0.12,0.0,False
19,0.9768320916396523,True,lcb_conservative,55,0.12,0.0,False
20,1.0088002413615378,True,lcb_conservative,55,0.12,0.0,False
21,1.0013614438664307,True,lcb_conservative,55,0.12,0.0,False
22,0.9034713625648247,True,lcb_conservative,55,0.12,0.0,False
23,0.8712831021663189,True,lcb_conservative,55,0.12,0.0,False
24,0.9941457619118822,True,lcb_conservative,55,0.12,0.0,False
25,1.0045378494835477,True,lcb_conservative,55,0.12,0.0,False
26,0.9327112417643415,True,lcb_conservative,55,0.12,0.0,False
27,0.9265037038754518,True,lcb_conservative,55,0.12,0.0,False
28,0.92333035785417,True,lcb_conservative,55,0.12,0.0,False
29,0.9461985010349511,True,lcb_conservative,55,0.12,0.0,False
30,0.995584013109887,True,lcb_conservative,55,0.12,0.0,False
31,0.9146652604397346,True,lcb_conservative,55,0.12,0.0,False
32,1.0147323673601616,True,lcb_conservative,55,0.12,0.0,False
33,1.0037100904767307,True,lcb_conservative,55,0.12,0.0,False
34,0.9238299287141958,True,lcb_conservative,55,0.12,0.0,False
35,0.9688755736282257,True,lcb_conservative,55,0.12,0.0,False
36,0.9906359492695963,True,lcb_conservative,55,0.12,0.0,False
37,0.9664829485618779,True,lcb_conservative,55,0.12,0.0,False
38,0.9202077953940732,True,lcb_conservative,55,0.12,0.0,False
