episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8070146758786864,True,lcb_conservative,55,0.12,0.010064469031850126,False
1,0.972127881408023,True,lcb_conservative,55,0.12,4.37234355372543e-05,False
2,1.0263330014085923,True,lcb_conservative,55,0.12,1.3306146422274104e-07,False
3,0.9545811432858138,True,lcb_conservative,55,0.12,4.0493966361894577e-10,False
4,1.0185351738840687,True,lcb_conservative,55,0.12,1.2323334272227012e-12,False
5,0.9336162223939203,True,lcb_conservative,55,0.12,3.750535235915529e-15,False
6,0.9947322503739169,True,lcb_conservative,55,0.12,2.0185873175002845e-18,False
7,0.9313306253379642,True,lcb_conservative,55,0.12,0.0,False
8,0.9624150909968711,True,lcb_conservative,55,0.12,0.0,False
9,0.9495737726319803,True,lcb_conservative,55,0.12,0.0,False
10,0.9192242781705323,True,lcb_conservative,55,0.12,0.0,False
11,0.9872255119464791,True,lcb_conservative,55,0.12,0.0,False
12,0.9344942278067037,True,lcb_conservative,55,0.12,0.0,False
13,0.9185019382686649,True,lcb_conservative,55,0.12,0.0,False
14,1.0475702532446318,True,lcb_conservative,55,0.12,0.0,False
15,0.9526342030476933,True,lcb_conservative,55,0.12,0.0,False
16,0.9011178030752525,True,lcb_conservative,55,0.12,0.0,False
17,0.951874902771543,True,lcb_conservative,55,0.12,0.0,False
18,0.9766214210597797,True,lcb_conservative,55,0.12,0.0,False
19,0.9641547530787751,True,lcb_conservative,55,0.12,0.0,False
20,0.9048531779444184,True,lcb_conservative,55,0.12,0.0,False
21,0.9578539404878322,True,lcb_conservative,55,0.12,0.0,False
22,0.9052939767169513,True,lcb_conservative,55,0.12,0.0,False
23,0.9384239731831353,True,lcb_conservative,55,0.12,0.0,False
24,0.9521771395981349,True,lcb_conservative,55,0.12,0.0,False
25,0.9757368475691679,True,lcb_conservative,55,0.12,0.0,False
26,1.0371157586810567,True,lcb_conservative,55,0.12,0.0,False
27,0.9132889883178535,True,lcb_conservative,55,0.12,0.0,False
28,0.953074609366144,True,lcb_conservative,55,0.12,0.0,False
29,1.0075499171794902,True,lcb_conservative,55,0.12,0.0,False
30,0.957164375548367,True,lcb_conservative,55,0.12,0.0,False
31,0.9582797314456633,True,lcb_conservative,55,0.12,0.0,False
32,0.9878037245103017,True,lcb_conservative,55,0.12,0.0,False
33,1.0091501919842516,True,lcb_conservative,55,0.12,0.0,False
34,0.9508684043478125,True,lcb_conservative,55,0.12,0.0,False
35,0.9182541362742496,True,lcb_conservative,55,0.12,0.0,False
36,0.9240045851528919,True,lcb_conservative,55,0.12,0.0,False
37,0.9696865277822797,True,lcb_conservative,55,0.12,0.0,False
38,0.9410777160407825,True,lcb_conservative,55,0.12,0.0,False
39,1.0195413293496685,True,lcb_conservative,55,0.12,0.0,False
40,0.9683551710520467,True,lcb_conservative,55,0.12,0.0,False
41,0.9540883413152957,True,lcb_conservative,55,0.12,0.0,False
42,0.9380570496283493,True,lcb_conservative,55,0.12,0.0,False
43,0.9142181433033263,True,lcb_conservative,55,0.12,0.0,False
44,0.9482617106522707,True,lcb_conservative,55,0.12,0.0,False
45,0.9490629049331789,True,lcb_conservative,55,0.12,0.0,False
46,0.9338036453776835,True,lcb_conservative,55,0.12,0.0,False
47,0.9674943661163583,True,lcb_conservative,55,0.12,0.0,False
48,0.9337532257520733,True,lcb_conservative,55,0.12,0.0,False
49,0.9632931336788096,True,lcb_conservative,55,0.12,0.0,False
50,0.9522950349767603,True,lcb_conservative,55,0.12,0.0,False
51,0.919116997444702,True,lcb_conservative,55,0.12,0.0,False
52,0.9164729351472299,True,lcb_conservative,55,0.12,0.0,False
53,0.986586606047657,True,lcb_conservative,55,0.12,0.0,False
54,0.9480920320896172,True,lcb_conservative,55,0.12,0.0,False
55,0.8927207197831764,True,lcb_conservative,55,0.12,0.0,False
56,0.9786669044336332,True,lcb_conservative,55,0.12,0.0,False
57,0.919308889713628,True,lcb_conservative,55,0.12,0.0,False
58,0.9775376277665945,True,lcb_conservative,55,0.12,0.0,False
59,0.895786465534616,True,lcb_conservative,55,0.12,0.0,False
60,0.9717059269082455,True,lcb_conservative,55,0.12,0.0,False
61,0.8971480543922878,True,lcb_conservative,55,0.12,0.0,False
62,0.91718311032016,True,lcb_conservative,55,0.12,0.0,False
63,0.9076799717542025,True,lcb_conservative,55,0.12,0.0,False
64,0.9750349655099908,True,lcb_conservative,55,0.12,0.0,False
65,1.021553178138344,True,lcb_conservative,55,0.12,0.0,False
66,0.8769386561383712,True,lcb_conservative,55,0.12,0.0,False
67,0.941053041260683,True,lcb_conservative,55,0.12,0.0,False
68,0.958105692853913,True,lcb_conservative,55,0.12,0.0,False
69,0.9473027332616897,True,lcb_conservative,55,0.12,0.0,False
70,0.9880302875725464,True,lcb_conservative,55,0.12,0.0,False
71,0.8659961671439712,True,lcb_conservative,55,0.12,0.0,False
72,0.9114592229913676,True,lcb_conservative,55,0.12,0.0,False
73,0.970927038802756,True,lcb_conservative,55,0.12,0.0,False
74,0.9951431648018852,True,lcb_conservative,55,0.12,0.0,False
75,1.0120895239529206,True,lcb_conservative,55,0.12,0.0,False
76,1.0160084121995852,True,lcb_conservative,55,0.12,0.0,False
77,0.980697082415871,True,lcb_conservative,55,0.12,0.0,False
78,1.0036855768179227,True,lcb_conservative,55,0.12,0.0,False
79,0.9881313681298572,True,lcb_conservative,55,0.12,0.0,False
80,1.0026335290874318,True,lcb_conservative,55,0.12,0.0,False
81,0.9102392759185064,True,lcb_conservative,55,0.12,0.0,False
82,0.9455478828409625,True,lcb_conservative,55,0.12,0.0,False
83,0.9765612441000563,True,lcb_conservative,55,0.12,0.0,False
84,1.010973138613249,True,lcb_conservative,55,0.12,0.0,False
85,0.9004297844848212,True,lcb_conservative,55,0.12,0.0,False
86,0.9571500755818699,True,lcb_conservative,55,0.12,0.0,False
87,1.0050828316403788,True,lcb_conservative,55,0.12,0.0,False
88,0.9082673900410407,True,lcb_conservative,55,0.12,0.0,False
89,0.9779493030251768,True,lcb_conservative,55,0.12,0.0,False
90,1.0168610958257853,True,lcb_conservative,55,0.12,0.0,False
91,0.9269729797367561,True,lcb_conservative,55,0.12,0.0,False
92,1.0002664153965506,True,lcb_conservative,55,0.12,0.0,False
93,0.9319031411882116,True,lcb_conservative,55,0.12,0.0,False
94,0.968039055707553,True,lcb_conservative,55,0.12,0.0,False
95,0.9820793158188492,True,lcb_conservative,55,0.12,0.0,False
