episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.41758184553731365,False,lcb_conservative,55,0.12,0.0038668185178074833,False
1,0.4461932797222452,False,lcb_conservative,55,0.12,6.123007869241015e-05,False
2,0.4154088825447582,False,lcb_conservative,55,0.12,2.0370269067951616e-06,False
3,0.4421908400663803,False,lcb_conservative,55,0.12,6.776863116332198e-08,False
4,0.4602630728605011,False,lcb_conservative,55,0.12,2.2545541009868297e-09,False
5,0.44520211863409404,False,lcb_conservative,55,0.12,7.500541400095141e-11,False
6,0.44192670381952864,False,lcb_conservative,55,0.12,2.4953110285123745e-12,False
7,0.4750997394411739,False,lcb_conservative,55,0.12,8.301440343219921e-14,False
8,0.4151640182990562,False,lcb_conservative,55,0.12,2.761427450340389e-15,False
9,0.4459704593676122,False,lcb_conservative,55,0.12,8.780854831126238e-17,False
10,0.4305556248895582,False,lcb_conservative,55,0.12,0.0,False
11,0.44290968151886795,False,lcb_conservative,55,0.12,0.0,False
12,0.48636485939581436,False,lcb_conservative,55,0.12,0.0,False
13,0.5261977466796292,False,lcb_conservative,55,0.12,0.0,False
14,0.4408227946139402,False,lcb_conservative,55,0.12,0.0,False
15,0.4961323034502623,False,lcb_conservative,55,0.12,0.0,False
16,0.46068578572490304,False,lcb_conservative,55,0.12,0.0,False
17,0.4743141272076427,False,lcb_conservative,55,0.12,0.0,False
18,0.41912514537197565,False,lcb_conservative,55,0.12,0.0,False
19,0.4547337636460855,False,lcb_conservative,55,0.12,0.0,False
20,0.49518464661104833,False,lcb_conservative,55,0.12,0.0,False
21,0.4734840215599552,False,lcb_conservative,55,0.12,0.0,False
22,0.44408946916725933,False,lcb_conservative,55,0.12,0.0,False
23,0.5710757839859827,False,lcb_conservative,55,0.12,0.0,False
24,0.41992992067534873,False,lcb_conservative,55,0.12,0.0,False
25,0.45746967125018495,False,lcb_conservative,55,0.12,0.0,False
26,0.48239378179209674,False,lcb_conservative,55,0.12,0.0,False
27,0.48565099746250356,False,lcb_conservative,55,0.12,0.0,False
28,0.4860946518623998,False,lcb_conservative,55,0.12,0.0,False
29,0.5039898238377089,False,lcb_conservative,55,0.12,0.0,False
30,0.3893259201353948,False,lcb_conservative,55,0.12,0.0,False
31,0.46976772322018573,False,lcb_conservative,55,0.12,0.0,False
32,0.3293631874549534,False,lcb_conservative,55,0.12,0.0,False
33,0.4676990294098173,False,lcb_conservative,55,0.12,0.0,False
34,0.434386693845082,False,lcb_conservative,55,0.12,0.0,False
35,0.49555293814338613,False,lcb_conservative,55,0.12,0.0,False
