evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
1,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
2,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
3,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
4,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
5,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
6,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
7,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
8,stay,lcb_conservative,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.21000000000000002,True
9,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0978, threshold=0.2100.",0.9494794143857506,0.8515358297240662,0.9405804806440977,0.8428276379134491,False,no_candidate_improvement,-0.09775284273064866,0.21000000000000002,False
10,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9518847976211307,0.8538849652879646,0.9459282427390929,0.8479289979070337,False,no_candidate_improvement,-0.09799924483205924,0.21000000000000002,False
11,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9532842313743746,0.8552842318911829,0.9498953698645537,0.851895371790383,False,no_candidate_improvement,-0.0979999980741707,0.21000000000000002,False
12,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9536620971913585,0.8556620971926719,0.9510148846164292,0.8530148846193818,False,no_candidate_improvement,-0.09799999999704745,0.21000000000000002,False
13,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9542027425947233,0.8562027425947273,0.9512716906502994,0.8532716906503093,False,no_candidate_improvement,-0.0979999999999901,0.21000000000000002,False
14,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9551002961017824,0.8571002961017825,0.9512047057733136,0.8532047057733138,False,no_candidate_improvement,-0.09799999999999986,0.21000000000000002,False
15,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9562677968363887,0.8582677968363889,0.9508299275488571,0.8528299275488572,False,no_candidate_improvement,-0.09799999999999986,0.21000000000000002,False
16,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9567403742406281,0.8587403742406281,0.9515416919204751,0.8535416919204751,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
17,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9572516958662876,0.8592516958662875,0.9519726109039759,0.8539726109039758,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
18,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9583196592634542,0.8603196592634541,0.9532799959501755,0.8552799959501755,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
19,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.958515077136062,0.860515077136062,0.9537030049756965,0.8557030049756965,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
20,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9574439082619459,0.8594439082619459,0.950717011646529,0.852717011646529,False,no_candidate_improvement,-0.09799999999999998,0.21000000000000002,False
21,stay,lcb_conservative,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0980, threshold=0.2100.",0.9570697324037681,0.859069732403768,0.9499282156333949,0.8519282156333948,False,no_candidate_improvement,-0.09800000000000009,0.21000000000000002,False
