sample_index,evaluation_index,current_strategy,candidate_strategy,action,switched,reason_code,decision_margin,decision_threshold,reason
511,2,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.02083333333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0319, candidate_std=0.0230, threshold=0.0140."
639,3,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.04296875,0.014,"Stay because utility uncertainty is too high: current_std=0.0157, candidate_std=0.0226, threshold=0.0140."
767,4,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.04817708333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0139, candidate_std=0.0256, threshold=0.0140."
895,5,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.046875,0.014,"Stay because utility uncertainty is too high: current_std=0.0103, candidate_std=0.0239, threshold=0.0140."
1023,6,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.03385416666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0080, candidate_std=0.0332, threshold=0.0140."
1151,7,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,-0.00390625,0.014,"Stay because utility uncertainty is too high: current_std=0.0164, candidate_std=0.0080, threshold=0.0140."
1279,8,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,0.015625,0.014,"Stay because utility uncertainty is too high: current_std=0.0139, candidate_std=0.0169, threshold=0.0140."
1407,9,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,0.02604166666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0338, candidate_std=0.0385, threshold=0.0140."
1535,10,river_logreg,river_hoeffding_tree,stay,False,high_uncertainty,0.03515625,0.014,"Stay because utility uncertainty is too high: current_std=0.0249, candidate_std=0.0314, threshold=0.0140."
1663,11,river_logreg,river_hoeffding_tree,switch,True,switch_advantage,0.03385416666666674,0.014,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.9818 - 0.9479 = 0.0339 > 0.0140.
1791,12,river_hoeffding_tree,windowed_rf,stay,False,high_uncertainty,-0.015625,0.014,"Stay because utility uncertainty is too high: current_std=0.0345, candidate_std=0.0513, threshold=0.0140."
1919,13,river_hoeffding_tree,river_logreg,stay,False,high_uncertainty,-0.01432291666666674,0.014,"Stay because utility uncertainty is too high: current_std=0.0560, candidate_std=0.0480, threshold=0.0140."
2047,14,river_hoeffding_tree,river_logreg,stay,False,high_uncertainty,0.01302083333333326,0.014,"Stay because utility uncertainty is too high: current_std=0.0622, candidate_std=0.0344, threshold=0.0140."
2175,15,river_hoeffding_tree,river_nb,stay,False,high_uncertainty,0.04427083333333337,0.014,"Stay because utility uncertainty is too high: current_std=0.0359, candidate_std=0.0239, threshold=0.0140."
2303,16,river_hoeffding_tree,river_logreg,switch,True,switch_advantage,0.04817708333333326,0.014,Switch because candidate LCB exceeds current LCB beyond the decision threshold: 0.8151 - 0.7669 = 0.0482 > 0.0140.
