metric,value
adaptive_score,0.8594412076271186
best_fixed_score,0.8768317443502824
oracle_score,0.9593926553672316
oracle_gain,0.08256091101694918
oracle_capture_ratio,0.0
delta_vs_best_fixed,-0.01739053672316382
switch_count,4
block_delta_mean,-0.017390536723163843
block_delta_std,0.058051903924139975
block_delta_ci95,0.006047430809640147
fixed_score::river_logreg,0.8768317443502824
fixed_score::river_nb,0.7287252824858758
fixed_score::river_hoeffding_tree,0.8339292019774012
fixed_score::windowed_rf,0.8017743644067796
fixed_score::windowed_histgb,0.7870762711864406
