episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.8346274277045818,True,fixed,30,0.05,0.017263619143935333,False
1,0.9834135766961974,True,fixed,30,0.05,0.0007318248115336212,False
2,0.9897207938872609,True,fixed,30,0.05,3.102290141544876e-05,False
3,0.9899881641294833,True,fixed,30,0.05,1.315096724056423e-06,False
4,0.9899994982637393,True,fixed,30,0.05,5.574847337837715e-08,False
5,0.9899999787308188,True,fixed,30,0.05,2.363242364763115e-09,False
6,0.9899999990983749,True,fixed,30,0.05,1.0018058234824897e-10,False
7,0.9899999999617793,True,fixed,30,0.05,4.246765901901502e-12,False
8,0.9899999999983798,True,fixed,30,0.05,1.8002266344296913e-13,False
9,0.9899999999999313,True,fixed,30,0.05,7.630932922590243e-15,False
10,0.9899999999999968,True,fixed,30,0.05,3.2566542055671256e-16,False
11,0.9899999999999991,True,fixed,30,0.05,0.0,False
12,0.9899999999999991,True,fixed,30,0.05,0.0,False
13,0.9899999999999991,True,fixed,30,0.05,0.0,False
14,0.9899999999999991,True,fixed,30,0.05,0.0,False
15,0.9899999999999991,True,fixed,30,0.05,0.0,False
16,0.9899999999999991,True,fixed,30,0.05,0.0,False
17,0.9899999999999991,True,fixed,30,0.05,0.0,False
18,0.9899999999999991,True,fixed,30,0.05,0.0,False
19,0.9899999999999991,True,fixed,30,0.05,0.0,False
20,0.9899999999999991,True,fixed,30,0.05,0.0,False
21,0.9899999999999991,True,fixed,30,0.05,0.0,False
22,0.9899999999999991,True,fixed,30,0.05,0.0,False
23,0.9899999999999991,True,fixed,30,0.05,0.0,False
24,0.9899999999999991,True,fixed,30,0.05,0.0,False
25,0.9899999999999991,True,fixed,30,0.05,0.0,False
26,0.9899999999999991,True,fixed,30,0.05,0.0,False
27,0.9899999999999991,True,fixed,30,0.05,0.0,False
28,0.9899999999999991,True,fixed,30,0.05,0.0,False
29,0.9899999999999991,True,fixed,30,0.05,0.0,False
30,0.9899999999999991,True,fixed,30,0.05,0.0,False
31,0.9899999999999991,True,fixed,30,0.05,0.0,False
32,0.9899999999999991,True,fixed,30,0.05,0.0,False
33,0.9899999999999991,True,fixed,30,0.05,0.0,False
34,0.9899999999999991,True,fixed,30,0.05,0.0,False
35,0.9899999999999991,True,fixed,30,0.05,0.0,False
36,0.9899999999999991,True,fixed,30,0.05,0.0,False
37,0.9899999999999991,True,fixed,30,0.05,0.0,False
38,0.9899999999999991,True,fixed,30,0.05,0.0,False
39,0.9899999999999991,True,fixed,30,0.05,0.0,False
40,0.9899999999999991,True,fixed,30,0.05,0.0,False
41,0.9899999999999991,True,fixed,30,0.05,0.0,False
42,0.9899999999999991,True,fixed,30,0.05,0.0,False
43,0.9899999999999991,True,fixed,30,0.05,0.0,False
44,0.9899999999999991,True,fixed,30,0.05,0.0,False
45,0.9899999999999991,True,fixed,30,0.05,0.0,False
46,0.9899999999999991,True,fixed,30,0.05,0.0,False
47,0.9899999999999991,True,fixed,30,0.05,0.0,False
48,0.9899999999999991,True,fixed,30,0.05,0.0,False
49,0.9899999999999991,True,fixed,30,0.05,0.0,False
50,0.9899999999999991,True,fixed,30,0.05,0.0,False
51,0.9899999999999991,True,fixed,30,0.05,0.0,False
52,0.9899999999999991,True,fixed,30,0.05,0.0,False
53,0.9899999999999991,True,fixed,30,0.05,0.0,False
54,0.9899999999999991,True,fixed,30,0.05,0.0,False
55,0.9899999999999991,True,fixed,30,0.05,0.0,False
56,0.9899999999999991,True,fixed,30,0.05,0.0,False
57,0.9899999999999991,True,fixed,30,0.05,0.0,False
58,0.9899999999999991,True,fixed,30,0.05,0.0,False
59,0.9899999999999991,True,fixed,30,0.05,0.0,False
60,0.9899999999999991,True,fixed,30,0.05,0.0,False
61,0.9899999999999991,True,fixed,30,0.05,0.0,False
62,0.9899999999999991,True,fixed,30,0.05,0.0,False
63,0.9899999999999991,True,fixed,30,0.05,0.0,False
64,0.9899999999999991,True,fixed,30,0.05,0.0,False
65,0.9899999999999991,True,fixed,30,0.05,0.0,False
66,0.9899999999999991,True,fixed,30,0.05,0.0,False
67,0.9899999999999991,True,fixed,30,0.05,0.0,False
68,0.9899999999999991,True,fixed,30,0.05,0.0,False
69,0.9899999999999991,True,fixed,30,0.05,0.0,False
70,0.9899999999999991,True,fixed,30,0.05,0.0,False
71,0.9899999999999991,True,fixed,30,0.05,0.0,False
72,0.9899999999999991,True,fixed,30,0.05,0.0,False
73,0.9899999999999991,True,fixed,30,0.05,0.0,False
74,0.9899999999999991,True,fixed,30,0.05,0.0,False
75,0.9899999999999991,True,fixed,30,0.05,0.0,False
76,0.9899999999999991,True,fixed,30,0.05,0.0,False
77,0.9899999999999991,True,fixed,30,0.05,0.0,False
78,0.9899999999999991,True,fixed,30,0.05,0.0,False
79,0.9899999999999991,True,fixed,30,0.05,0.0,False
