evaluation_index,action,current_strategy,candidate_strategy,reason,utility_current,utility_candidate,lcb_current,lcb_candidate,switched,reason_code,decision_margin,decision_threshold,is_fallback
0,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.1,True
1,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.1,True
2,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.1,True
3,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.1,True
4,stay,fixed,adaptive_meta,Stay because there are not enough metric samples for a stable comparison.,,,,,False,insufficient_samples,,0.1,True
5,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0539, threshold=0.1000.",0.9826008679222147,0.9293065565468965,0.977499926176231,0.9235711363483221,False,no_candidate_improvement,-0.05392878982790894,0.1,False
6,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849001611072489,0.9318912717278763,0.9846880801019936,0.9316603067744453,False,no_candidate_improvement,-0.05302777332754827,0.1,False
7,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849957710616956,0.9319953948527594,0.9849867881665808,0.9319856128322924,False,no_candidate_improvement,-0.053001175334288386,0.1,False
8,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849998207364229,0.9319998047896084,0.9849994399545079,0.9319993901343367,False,no_candidate_improvement,-0.05300004982017115,0.1,False
9,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849999924008196,0.9319999917248176,0.9849999762590573,0.931999974147129,False,no_candidate_improvement,-0.053000002111928346,0.1,False
10,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849999996778612,0.9319999996492049,0.9849999989935934,0.9319999989040665,False,no_candidate_improvement,-0.05300000008952688,0.1,False
11,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849999999863434,0.9319999999851287,0.9849999999573366,0.9319999999535415,False,no_candidate_improvement,-0.05300000000379501,0.1,False
12,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849999999994203,0.9319999999993688,0.9849999999981909,0.9319999999980298,False,no_candidate_improvement,-0.05300000000016103,0.1,False
13,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.9849999999999746,0.9319999999999724,0.9849999999999225,0.9319999999999158,False,no_candidate_improvement,-0.05300000000000671,0.1,False
14,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999998,0.9319999999999978,0.9849999999999959,0.9319999999999955,False,no_candidate_improvement,-0.05300000000000038,0.1,False
15,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
16,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
17,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
18,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
19,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
20,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
21,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
22,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
23,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
24,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
25,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
26,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
27,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
28,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
29,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
30,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
31,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
32,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
33,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
34,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
35,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
36,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
37,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
38,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
39,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
40,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
41,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
42,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
43,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
44,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
45,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
46,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
47,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
48,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
49,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
50,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
51,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
52,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
53,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
54,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
55,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
56,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
57,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
58,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
59,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
60,stay,fixed,adaptive_meta,"Stay because candidate improvement is not sufficient after LCB comparison: margin=-0.0530, threshold=0.1000.",0.984999999999999,0.9319999999999989,0.984999999999999,0.9319999999999989,False,no_candidate_improvement,-0.05300000000000005,0.1,False
