episode_index,reward,success,active_strategy,steps,compute_cost,learning_progress,fallback_triggered
0,0.9345328845025461,True,fixed,40,0.05,0.01551559659795583,True
1,1.132531161491471,True,fixed,40,0.05,0.00046407420165514026,False
2,1.1403721527344906,True,fixed,40,0.05,1.3880540350616478e-05,False
3,1.1386128722603035,True,fixed,40,0.05,4.1516938398822314e-07,False
4,1.139079376265251,True,fixed,40,0.05,1.2417788719520928e-08,False
5,1.1429693568139305,True,fixed,40,0.05,3.71418232281151e-10,False
6,1.140297813327538,True,fixed,40,0.05,1.110918301794328e-11,False
7,1.1430951490664507,True,fixed,40,0.05,3.3227587348250154e-13,False
8,1.1418993852853414,True,fixed,40,0.05,9.936496070395151e-15,False
9,1.1404791629867674,True,fixed,40,0.05,2.9420910152566647e-16,False
10,1.1383769749237054,True,fixed,40,0.05,0.0,False
11,1.1398681335248537,True,fixed,40,0.05,0.0,False
12,1.1379574899447245,True,fixed,40,0.05,0.0,False
13,1.138916677939051,True,fixed,40,0.05,0.0,False
14,1.1381799890969506,True,fixed,40,0.05,0.0,False
15,1.1419544523903196,True,fixed,40,0.05,0.0,False
16,1.1395187332030496,True,fixed,40,0.05,0.0,False
17,1.1418989390827436,True,fixed,40,0.05,0.0,False
18,1.139441960374799,True,fixed,40,0.05,0.0,False
19,1.137587304762381,True,fixed,40,0.05,0.0,False
20,1.1386268024175379,True,fixed,40,0.05,0.0,False
21,1.1394680284827898,True,fixed,40,0.05,0.0,False
22,1.1424454339736791,True,fixed,40,0.05,0.0,False
23,1.1402804397322515,True,fixed,40,0.05,0.0,False
24,1.1407328607907339,True,fixed,40,0.05,0.0,False
25,1.1387129057837968,True,fixed,40,0.05,0.0,False
26,1.1390478623493232,True,fixed,40,0.05,0.0,False
27,1.1408257071437544,True,fixed,40,0.05,0.0,False
28,1.1407998225811675,True,fixed,40,0.05,0.0,False
29,1.1413197564439206,True,fixed,40,0.05,0.0,False
30,1.1396799482627034,True,fixed,40,0.05,0.0,False
31,1.1384246338636934,True,fixed,40,0.05,0.0,False
32,1.143503552213789,True,fixed,40,0.05,0.0,False
33,1.1393630863973656,True,fixed,40,0.05,0.0,False
34,1.1402272229782866,True,fixed,40,0.05,0.0,False
35,1.1414422559137583,True,fixed,40,0.05,0.0,False
36,1.1419309380689577,True,fixed,40,0.05,0.0,False
37,1.1454403456777487,True,fixed,40,0.05,0.0,False
38,1.1388012471872766,True,fixed,40,0.05,0.0,False
39,1.1403424177295451,True,fixed,40,0.05,0.0,False
40,1.1408506526596625,True,fixed,40,0.05,0.0,False
41,1.13833254178305,True,fixed,40,0.05,0.0,False
42,1.1382592221270496,True,fixed,40,0.05,0.0,False
43,1.1404572568857696,True,fixed,40,0.05,0.0,False
44,1.1388238193714646,True,fixed,40,0.05,0.0,False
45,1.1420090742899225,True,fixed,40,0.05,0.0,False
46,1.1412912448819814,True,fixed,40,0.05,0.0,False
47,1.1411775263857427,True,fixed,40,0.05,0.0,False
48,1.1417403677999869,True,fixed,40,0.05,0.0,False
49,1.1391017762288544,True,fixed,40,0.05,0.0,False
50,1.1407526238740122,True,fixed,40,0.05,0.0,False
51,1.142077643484715,True,fixed,40,0.05,0.0,False
52,1.1406737483919747,True,fixed,40,0.05,0.0,False
53,1.139310426310018,True,fixed,40,0.05,0.0,False
54,1.1403727389598552,True,fixed,40,0.05,0.0,False
55,1.1415436315637773,True,fixed,40,0.05,0.0,False
56,1.1409822707870874,True,fixed,40,0.05,0.0,False
57,1.140989449858924,True,fixed,40,0.05,0.0,False
58,1.1380628261278418,True,fixed,40,0.05,0.0,False
59,1.1392792381812082,True,fixed,40,0.05,0.0,False
60,1.1400816569915917,True,fixed,40,0.05,0.0,False
61,1.139999202341663,True,fixed,40,0.05,0.0,False
62,1.1384205544332395,True,fixed,40,0.05,0.0,False
63,1.1401604102650997,True,fixed,40,0.05,0.0,False
64,1.1412607802113812,True,fixed,40,0.05,0.0,False
65,1.1410339396903957,True,fixed,40,0.05,0.0,False
66,1.1389243463210794,True,fixed,40,0.05,0.0,False
67,1.1377285319221309,True,fixed,40,0.05,0.0,False
68,1.1398603723842007,True,fixed,40,0.05,0.0,False
69,1.1411975749392655,True,fixed,40,0.05,0.0,False
70,1.1411677327744905,True,fixed,40,0.05,0.0,False
71,1.1401892272407554,True,fixed,40,0.05,0.0,False
72,1.1399649344323508,True,fixed,40,0.05,0.0,False
73,1.1406650865928363,True,fixed,40,0.05,0.0,False
74,1.140551658011464,True,fixed,40,0.05,0.0,False
75,1.139613845931396,True,fixed,40,0.05,0.0,False
76,1.1420242368589073,True,fixed,40,0.05,0.0,False
